offer_id,offer_type,property_type,location_district,location_city,location_area,agency,office_city
JuaCjfZIx81,sale,"2-room apartment","okres Ružomberok",Ružomberok,Roveň,"ODEKO manažment s.r.o.",Žilina
JuUnD0myJmK,sale,"2-room apartment","okres Žilina",Žilina,Hájik,"Piata Avenue",Žilina
JuIP59md355,sale,"4-room apartment","okres Ružomberok",Ružomberok,Roveň,"ODEKO manažment s.r.o.",Žilina
JuIh9K2txJ3,sale,"3-room apartment","okres Námestovo",Zubrohlava,Zubrohlava,"BeMi realitná kancelária",Nitra
Jub5nNi4yTF,sale,"2-room apartment","okres Žilina",Žilina,Vlčince,"RIEŠIME BÝVANIE",Bratislava
Juqj8-BDIgQ,sale,"3-room apartment","okres Námestovo","Oravské Veselé","Oravské Veselé","OREA, s.r.o.","Dolný Kubín"
JuQfQh_4sSF,sale,"2-room apartment","okres Žilina",Žilina,Hliny,"MGM reality",Žilina
JujYXXx5gXi,sale,"3-room apartment","okres Žilina",Žilina,"Staré mesto",NULL,NULL
JuxBkaifl6df,rent,"holiday apartment","okres Liptovský Mikuláš","Liptovský Mikuláš",Iľanovo,"Reality Alpia",Martin
JugTLMsHTVi,sale,"2-room apartment","okres Martin",Martin,Podháj,"B10 Slovensko, a. s.",Žilina
Jul7be3Lkz5,sale,"holiday apartment","okres Liptovský Mikuláš","Liptovský Mikuláš",Demänová,"RK SPIRIT s.r.o.","Liptovský Mikuláš"
JuPT1z2mBzV,sale,"1-room apartment","okres Žilina",Žilina,Vlčince,"R2 SK, s.r.o.",Žilina
Ju4hZgzLszu,sale,"2-room apartment","okres Tvrdošín",Trstená,Trstená,NULL,NULL
JuKlHRPhAEF,sale,"2-room apartment","okres Martin",Vrútky,"Horné Vrútky","HALO reality, s.r.o.",Prievidza
JuvFESSKGWN,sale,"3-room apartment","okres Martin",Vrútky,"Horné Vrútky","Reality D.P.A.",Martin
JusgW9odCAS,sale,"4-room apartment","okres Martin",Martin,Priekopa,Time4dreams,Nitra
Juvk9S_5ltU,sale,"2-room apartment","okres Žilina",Žilina,Hliny,NULL,NULL
JunBqR0DBP9,rent,"2-room apartment","okres Žilina",Žilina,"Staré mesto",NULL,NULL
JuDCMQupxo0,sale,"2-room apartment","okres Tvrdošín",Tvrdošín,Medvedzie,"TUreality s.r.o.",Žilina
JufAeKZk5m-,sale,"2-room apartment","okres Žilina",Bitarová,Bitarová,"Direct Real, spol. s r.o.",Bratislava
