offer_id,property_type,area,condition,price_m2,built_in,house_area,land_area,built_up_area,terrain,energy_certificate,electricity,water,location_district,location_city,location_area,agency,office_city
JuxpGt9B3Fh,house,150,unrenovated,1166.67,1980,150,2275,200,flat,"in preparation",on-site,"public water","okres Martin",Príbovce,Príbovce,"CreeX Reality s.r.o.",Trnava
Ju3Q6cuW_-I,house,120,unrenovated,665.83,1910,120,456,95,flat,"not available",on-site,well,"okres Ružomberok","Liptovské Revúce","Liptovské Revúce","RE/MAX Slovakia",Bratislava
Jul9YtuXJRu,house,180,"new construction",1582.22,2024,180,519,150,"mostly flat",A,NULL,NULL,"okres Ružomberok",Ružomberok,Baničné,"FISCHER & PARTNERS, s.r.o.",Ružomberok
Jukf6G0DA_c,house,240,"partially renovated",1145.83,1991,240,596,155,flat,NULL,on-site,well,"okres Bytča",Bytča,"Veľká Bytča","B10 Slovensko, a. s.",Žilina
JurJNQloNhD,house,90,unrenovated,1544.44,1970,90,362,130,NULL,"not available",NULL,NULL,"okres Kysucké Nové Mesto",Radoľa,Radoľa,"BR ACADEMY, s. r. o.","Kysucké Nové Mesto"
Ju_HmYYnmau,house,132,"new construction",1931.82,2024,132,550,132,flat,A,on-site,"public water","okres Martin",Martin,Stred,"ALT REAL, s.r.o.",Martin
Juoe47l29P7,house,160,"under construction",1715.85,2024,160,677,120,flat,"not available",on-site,"public water","okres Žilina",Žilina,Trnové,"R2 SK, s.r.o.",Žilina
Ju00Y-txNcF,house,339,"partially renovated",264.01,1980,339,NULL,NULL,NULL,"not available",NULL,NULL,"okres Liptovský Mikuláš",Pribylina,Pribylina,"TUreality s.r.o.",Žilina
Ju4LWhuX-Wj,house,524,"fully renovated",NULL,1980,524,524,NULL,"gently sloped","not available",NULL,well,"okres Ružomberok",Ružomberok,"Biely Potok","TUreality s.r.o.",Žilina
Jubn7zHTz__,house,240,"partially renovated",945.83,1970,240,1034,120,flat,"not available",on-site,"public water","okres Tvrdošín",Nižná,Nižná,"RK Dalmia s. r. o.","Dolný Kubín"
JuqnxCpkC06,house,146,"new construction",2361.33,2022,146,939,166,NULL,A,NULL,NULL,"okres Dolný Kubín","Oravská Poruba","Oravská Poruba","Georgi Conev",Žilina
Juic0vZirTi,house,563,"fully renovated",NULL,2025,563,NULL,NULL,flat,"not available","not available",well,"okres Martin",Martin,Stred,"Reality Alpia",Martin
JuS8ciWyKMi,house,200,unrenovated,1400.00,1900,200,1371,250,flat,"not available",NULL,NULL,"okres Ružomberok",Ružomberok,"Staré mesto","RE/MAX Slovakia",Bratislava
JubTPdj-awZ,house,117,"under construction",1109.12,2025,117,NULL,146,flat,"not available","at property line","public water","okres Turčianske Teplice",Budiš,Budiš,"Reality MT s.r.o.",Martin
JuGIhhHbPqD,house,754,"new construction",273.21,2011,754,754,76,flat,"not available",NULL,well,"okres Turčianske Teplice","Malý Čepčín","Malý Čepčín","TUreality s.r.o.",Žilina
JuxiHYI3lEP,house,112,"new construction",3651.79,2025,112,508,132,"mostly flat",NULL,NULL,NULL,"okres Žilina",Bitarová,Bitarová,"Realitná kancelária RED, s.r.o.",Žilina
JuS_u3LjF53,house,200,"partially renovated",NULL,1992,200,1200,130,NULL,"not available",NULL,NULL,"okres Martin",Martin,Stráne,"TARGETreal s. r. o.",Žilina
JuIAC6P7EYu,house,447,"new construction",536.91,1980,447,447,250,NULL,"not available",on-site,well,"okres Dolný Kubín",Párnica,Párnica,"TUreality s.r.o.",Žilina
