offer_id,price_m2,property_type,condition,location_district,location_area,agency,price_index
JuD_7kPVbjf,2972.84,"3-room apartment","partially renovated","okres Žilina","Staré mesto","Effecting s.r.o.",0.0483
JuOLPMJrkFk,3376.34,"3-room apartment","partially renovated","okres Žilina","Staré mesto","TUreality s.r.o.",0.1906
JuGqA0i3EO8,2362.50,"3-room apartment","partially renovated","okres Žilina","Staré mesto","DreamReality s.r.o.",-0.1669
JuQxdKNuhGj,2117.53,"3-room apartment","partially renovated","okres Žilina","Staré mesto","Piata Avenue",-0.2533
JuvUgr_LkF7,3527.51,"3-room apartment","new construction","okres Liptovský Mikuláš","Liptovská Ondrašová","Bosen Group s.r.o.",0.1794
Ju4N6fIAndO,2454.41,"3-room apartment","new construction","okres Liptovský Mikuláš","Liptovská Ondrašová","TUreality s.r.o.",-0.1794
JuB0hydoQt_,2088.61,"2-room apartment","partially renovated","okres Liptovský Mikuláš","Staré mesto","ADOMOS REAL s.r.o.",-0.1095
JukyEz3oR2iD,2103.51,"2-room apartment","partially renovated","okres Liptovský Mikuláš","Staré mesto","Direct Real, spol. s r.o.",-0.1032
Ju-lRWjvao3,2862.07,"2-room apartment","partially renovated","okres Liptovský Mikuláš","Staré mesto","RESIDENCE realitná kancelária",0.2202
JucceUznreI,2327.75,"2-room apartment","partially renovated","okres Liptovský Mikuláš","Staré mesto","BEŇO REALITY",-0.0076
JuBD3ecZzdA,3312.50,"2-room apartment","new construction","okres Žilina",Závodie,"Realitná kancelária RED, s.r.o.",0.0413
Jun4cFPr-JJ,3212.07,"2-room apartment","new construction","okres Žilina",Závodie,"R2 SK, s.r.o.",0.0097
Ju3z3M9TPDa,3019.23,"2-room apartment","new construction","okres Žilina",Závodie,"GAMA Reality, s.r.o.",-0.0509
JujnVWbv0Ea,1517.65,"3-room apartment",unrenovated,"okres Martin","Horné Vrútky","Reality Simply",-0.0749
JuDxBcaveH8,1763.53,"3-room apartment",unrenovated,"okres Martin","Horné Vrútky","Reality Center, s.r.o.",0.0749
Juz4W9SDfoY,2980.00,"2-room apartment","partially renovated","okres Žilina",Solinky,"RENOME REAL",-0.0604
Juq8SVDOmLX,3208.33,"2-room apartment","partially renovated","okres Žilina",Solinky,NULL,0.0116
Ju_5trjiiyY,3326.53,"2-room apartment","partially renovated","okres Žilina",Solinky,"Piata Avenue",0.0488
Ju4H966Coro,3725.00,"1-room apartment","fully renovated","okres Ružomberok",Bešeňová,"OREA, s.r.o.",-0.0717
JueZYUzuLYA,4300.00,"1-room apartment","fully renovated","okres Ružomberok",Bešeňová,"OREA, s.r.o.",0.0717
JudLFAAMGyd,2035.13,"3-room apartment",unrenovated,"okres Liptovský Mikuláš","Vrbica - Nábrežie","RESIDENCE realitná kancelária",-0.0094
JuYEF2k-qam,2085.71,"3-room apartment",unrenovated,"okres Liptovský Mikuláš","Vrbica - Nábrežie","RESIDENCE realitná kancelária",0.0153
Ju1Fw0u3Cah,2042.25,"3-room apartment",unrenovated,"okres Liptovský Mikuláš","Vrbica - Nábrežie","Direct Real, spol. s r.o.",-0.0059
JuW-h1lHUAf,5686.84,"2-room apartment","under construction","okres Liptovský Mikuláš","Staré mesto","TATRA CITY RESIDENCE s. r. o.",0.2261
JuEJsd-IFWc,3934.15,"2-room apartment","under construction","okres Liptovský Mikuláš","Staré mesto","TATRA CITY RESIDENCE s. r. o.",-0.1518
Jub6sy4N9gp,4293.88,"2-room apartment","under construction","okres Liptovský Mikuláš","Staré mesto","TATRA CITY RESIDENCE s. r. o.",-0.0743
JuN-wthtGNF,2028.61,"3-room apartment","under construction","okres Žilina",Hájik,"Realitná kancelária",-0.2450
Jumr_ISbK0Z,3344.87,"3-room apartment","under construction","okres Žilina",Hájik,"Reality Alpia",0.2450
JurI-U1p2qQ,1638.73,"1-room apartment","fully renovated","okres Liptovský Mikuláš","Staré mesto","XEMAR realitná spoločnosť s.r.o.",-0.3049
JucfuBBHTMn,2277.78,"1-room apartment","fully renovated","okres Liptovský Mikuláš","Staré mesto","KA Real",-0.0338
JulUy_Gy-T7,2284.76,"1-room apartment","fully renovated","okres Liptovský Mikuláš","Staré mesto","XEMAR realitná spoločnosť s.r.o.",-0.0308
JuzOH2MtpxX,1937.50,"2-room apartment","fully renovated","okres Martin",Sever,"NajBývanie, s.r.o.",-0.1138
JuQhVUDoHMr,2189.66,"2-room apartment","fully renovated","okres Martin",Sever,"Felicita Real s. r. o.",0.0015
JuTgtQtwGXl,2431.67,"2-room apartment","fully renovated","okres Martin",Sever,"RE/MAX Slovakia",0.1122
Juh1ajbcNdb,1801.47,"3-room apartment",unrenovated,"okres Martin",Ľadoveň,"Realitná kancelária",0.0958
JuAoUEm3GbZ,1486.49,"3-room apartment",unrenovated,"okres Martin",Ľadoveň,"ALT REAL, s.r.o.",-0.0958
JuhrMWK4tz6,2913.03,"3-room apartment","fully renovated","okres Liptovský Mikuláš","Staré mesto","RESIDENCE realitná kancelária",-0.1809
JuR7qWw7H0C,4200.00,"3-room apartment","fully renovated","okres Liptovský Mikuláš","Staré mesto",NULL,0.1809
Juwy9k5pZPS,3313.64,"holiday apartment","new construction","okres Martin",Valča,"Realitné kancelárie SR",0.0616
JuTBls071FE,3815.79,"holiday apartment","new construction","okres Martin",Valča,"B10 Slovensko, a. s.",0.2224
Ju3RyhBnxqn,6428.57,"3-room apartment","new construction","okres Liptovský Mikuláš","Demänovská Dolina","DLUGO reality",0.0270
Juj0AUCC2FC,6090.91,"3-room apartment","new construction","okres Liptovský Mikuláš","Demänovská Dolina","DLUGO reality",-0.0270
Ju_IKpLJHsv,4677.42,"holiday apartment","fully renovated","okres Ružomberok",Bešeňová,"OREA, s.r.o.",0.2152
JuZUv2TX6Jz,3697.75,"holiday apartment","fully renovated","okres Ružomberok",Bešeňová,"Reality Alpia",-0.0393
JuoHqPCC27P,3804.12,"holiday apartment","fully renovated","okres Ružomberok",Bešeňová,"REALITY SPOLU",-0.0116
Ju_WUvCjVPC,3562.65,"holiday apartment","fully renovated","okres Ružomberok",Bešeňová,"Reality Alpia",-0.0744
JuLyRXzb7sF,3547.62,"holiday apartment","fully renovated","okres Ružomberok",Bešeňová,"Reality Alpia",-0.0783
JupjDJ9XYhE,3804.12,"holiday apartment","fully renovated","okres Ružomberok",Bešeňová,"REALITY SPOLU",-0.0116
Ju7oSLy3Fih,3490.48,"holiday apartment","new construction","okres Ružomberok",Hrabovo,"All 4 Life, s.r.o.",0.0434
JuVihEbzRbP,3787.88,"holiday apartment","new construction","okres Ružomberok",Hrabovo,NULL,0.1323
JueWH91Qt062,3093.75,"holiday apartment","new construction","okres Ružomberok",Hrabovo,"DOMUM realitná spoločnosť s. r. o.",-0.0752
JuPcc0iMceY,3330.77,"holiday apartment","new construction","okres Ružomberok",Hrabovo,"ARCHEUS Partners a.s.",-0.0044
JuvBgKU_KI7,2663.37,"4-room apartment","fully renovated","okres Žilina","Staré mesto","Realitná kancelária RED, s.r.o.",0.0166
JuRirU25uGC,2654.32,"4-room apartment","fully renovated","okres Žilina","Staré mesto","Realitná kancelária RED, s.r.o.",0.0132
Ju-DQSmNMMQ,2733.33,"4-room apartment","fully renovated","okres Žilina","Staré mesto","Realitná kancelária RED, s.r.o.",0.0433
JurXcD9fbrUY,2654.32,"4-room apartment","fully renovated","okres Žilina","Staré mesto","Realitná kancelária RED, s.r.o.",0.0132
Juvr_afUfgc,269.23,"4-room apartment","fully renovated","okres Žilina","Staré mesto","Realitná kancelária RED, s.r.o.",-0.8972
Ju3Edwy5E9k,2663.37,"4-room apartment","fully renovated","okres Žilina","Staré mesto","Realitné kancelárie SR",0.0166
Ju892FRo72v,4734.43,"4-room apartment","fully renovated","okres Žilina","Staré mesto",NULL,0.8072
JuzAfAnhSmB,1451.61,"4-room apartment","partially renovated","okres Martin",Priekopa,"NajBývanie, s.r.o.",-0.2146
JuODe5tlbwG,2244.90,"4-room apartment","partially renovated","okres Martin",Priekopa,"FINREA - ak vám záleží na výsledku",0.2146
JuUaKO5dYge,3071.08,"3-room apartment","new construction","okres Dolný Kubín",Stred,"OREA, s.r.o.",0.0413
JuzSVrg19-5,3100.00,"3-room apartment","new construction","okres Dolný Kubín",Stred,"OREA, s.r.o.",0.0511
Ju1cdYuex4G,2910.13,"3-room apartment","new construction","okres Dolný Kubín",Stred,"RE/MAX Slovakia",-0.0133
Ju1vHkMA9-i,2716.30,"3-room apartment","new construction","okres Dolný Kubín",Stred,"RE/MAX Slovakia",-0.0790
Ju1cXQ08ziY,2585.71,"2-room apartment","new construction","okres Dolný Kubín",Brezovec,"RK Dalmia s. r. o.",-0.2466
Ju-a60L4yJH,4278.07,"2-room apartment","new construction","okres Dolný Kubín",Brezovec,"FINREA - ak vám záleží na výsledku",0.2466
JuVUnBR3tKh,3229.73,"2-room apartment","new construction","okres Žilina",Bôrik,"Realitná kancelária RED, s.r.o.",-0.0493
JuXll0okDmg,4653.85,"2-room apartment","new construction","okres Žilina",Bôrik,"Realitná kancelária RED, s.r.o.",0.3699
JuAxXn7nLOP,1240.83,"2-room apartment","new construction","okres Žilina",Bôrik,"ŽILINAREAL, s.r.o.",-0.6347
JuyMZex0bdp,4464.29,"2-room apartment","new construction","okres Žilina",Bôrik,"Renovo Reality",0.3141
JunNE3gm3lK,3470.59,"holiday apartment","new construction","okres Ružomberok",Bešeňová,"RK SPIRIT s.r.o.",-0.0139
JuxqWwCd3Bc,3547.62,"holiday apartment","new construction","okres Ružomberok",Bešeňová,"Reality Alpia",0.0080
Junr7vOGfgp,3021.74,"holiday apartment","new construction","okres Ružomberok",Bešeňová,"MK-CORP s.r.o.",-0.1414
JuF-0hmTSgb,3971.43,"holiday apartment","new construction","okres Ružomberok",Bešeňová,"MK-CORP s.r.o.",0.1285
JueZM646cTy,3872.50,"holiday apartment","new construction","okres Ružomberok",Bešeňová,"OREA, s.r.o.",0.1003
Jul4B6HJsMz,2791.18,"holiday apartment","new construction","okres Ružomberok",Bešeňová,"MK-CORP s.r.o.",-0.2069
Ju0hF7AM_5h,2213.85,"3-room apartment","partially renovated","okres Čadca",Kyčerka,NULL,0.0929
JuR8QLXp0Yx,2013.89,"3-room apartment","partially renovated","okres Ružomberok",Roveň,"Direct Real, spol. s r.o.",0.1842
JuEeA2GuHj3,1387.46,"3-room apartment","partially renovated","okres Ružomberok",Roveň,"A-Byt Consult, s.r.o.",-0.1842
JuFa19Ow0Dt,1885.96,"3-room apartment","partially renovated","okres Martin",Stred,"Felicita Real s. r. o.",-0.0153
Juf6pNtbqh1,2125.00,"3-room apartment","partially renovated","okres Martin",Stred,"RE/MAX Slovakia",0.1095
JuqQMoNXFYc,1885.96,"3-room apartment","partially renovated","okres Martin",Stred,"Reality Center, s.r.o.",-0.0153
JuEVkw9ddDA,1820.32,"3-room apartment","partially renovated","okres Martin",Stred,"Reality ASTORIA, s.r.o.",-0.0496
Ju-1tp0yEDG,1527.78,"3-room apartment","partially renovated","okres Martin",Stred,"FINREA - ak vám záleží na výsledku",-0.2023
JuV9QF4vC1L,2246.38,"3-room apartment","partially renovated","okres Martin",Stred,"Reality AK, spol. s r.o.",0.1729
JuxyNbJ2-r9,2676.06,"holiday apartment","partially renovated","okres Ružomberok",Hrabovo,"Reality Alpia",0.0674
JuSTl0QkI_h,2338.24,"holiday apartment","partially renovated","okres Ružomberok",Hrabovo,"NajBývanie, s.r.o.",-0.0674
Ju9UkKAGv88,2863.64,"4-room apartment","new construction","okres Žilina",Vlčince,"Realitná kancelária RED, s.r.o.",-0.0778
Julb0pINzt_,2863.64,"4-room apartment","new construction","okres Žilina",Vlčince,"Piata Avenue",-0.0778
JuEOy8Ch_fK,2720.78,"4-room apartment","new construction","okres Žilina",Vlčince,"Reinoo a.s.",-0.1238
Juz-nuV7qfY,2761.59,"4-room apartment","new construction","okres Žilina",Vlčince,"DreamReality s.r.o.",-0.1107
JuJZPVcldrZ,3143.08,"4-room apartment","new construction","okres Žilina",Vlčince,"HMS Services, a. s.",0.0122
Ju9DwSC6oJu,2142.86,"2-room apartment","fully renovated","okres Ružomberok",Polík,"RK Dalmia s. r. o.",0.0300
JuTc88Wux9w,2017.86,"2-room apartment","fully renovated","okres Ružomberok",Polík,"GARANT REALITY",-0.0300
JumX8n0CV3C,3611.20,"1-room apartment","under construction","okres Žilina",Hájik,"Realitná kancelária",-0.0424
Ju0FWK0oDmX,3931.19,"1-room apartment","under construction","okres Žilina",Hájik,"Reality Alpia",0.0424
JuiS9BjPEIo,4841.71,"2-room apartment","new construction","okres Liptovský Mikuláš","Demänovská Dolina","HD reality group s.r.o",-0.0821
JuunJga2z_k,5555.56,"2-room apartment","new construction","okres Liptovský Mikuláš","Demänovská Dolina","RE/MAX Slovakia",0.0532
JuIYGEaJFQ7,4500.00,"2-room apartment","new construction","okres Liptovský Mikuláš","Demänovská Dolina",G-REAL,-0.1469
JukheJ1B1aD,5986.84,"2-room apartment","new construction","okres Liptovský Mikuláš","Demänovská Dolina","RESIDENCE realitná kancelária",0.1350
JugsT-r1Fjq,3080.00,"studio apartment",unrenovated,"okres Martin",Sever,"RECLOUD Reality a.s.",0.0000
JuaBQ-omPcs,3080.00,"studio apartment",unrenovated,"okres Martin",Sever,"Realitná kancelária",0.0000
JuGV5aus1Gq,1943.06,"3-room apartment",unrenovated,"okres Kysucké Nové Mesto",Kamence,"WFG reality, s.r.o.",-0.1047
JuBgCxlwRO1,2397.44,"3-room apartment",unrenovated,"okres Kysucké Nové Mesto",Kamence,"Pro Real, s. r. o. realitná kancelária",0.1047
Jug3a9-mziM,2140.52,"2-room apartment","new construction","okres Liptovský Mikuláš",Celiny,"RK SPIRIT s.r.o.",-0.0171
JuUrbdc3pDN,2413.75,"2-room apartment","new construction","okres Liptovský Mikuláš",Celiny,"RK SPIRIT s.r.o.",0.1084
JulrtoBvNUl,2709.26,"4-room apartment","fully renovated","okres Žilina",Vlčince,"MGM reality",0.0806
JuNPxF24aaA,2388.89,"4-room apartment","fully renovated","okres Žilina",Vlčince,"Realitná kancelária RED, s.r.o.",-0.0472
JuRxO-wu66d,2500.00,"4-room apartment","fully renovated","okres Žilina",Vlčince,"LAVENTURA s.r.o.",-0.0029
JuPoZE57z5D,2430.89,"4-room apartment","fully renovated","okres Žilina",Vlčince,"RK4 REALITY",-0.0305
JuniaoRdvqE,3869.05,"2-room apartment","new construction","okres Liptovský Mikuláš","Staré mesto",G-REAL,0.2118
JutKisdKgjR,2770.03,"2-room apartment","new construction","okres Liptovský Mikuláš","Staré mesto","RESIDENCE realitná kancelária",-0.1324
Jul5uPR1of1,3214.29,"2-room apartment","new construction","okres Liptovský Mikuláš","Staré mesto","RESIDENCE realitná kancelária",0.0067
JuaEFYi_BYt,2715.42,"2-room apartment","new construction","okres Liptovský Mikuláš","Staré mesto","Realitné kancelárie SR",-0.1495
JuKqTd0J1IQ,2650.00,"2-room apartment","new construction","okres Liptovský Mikuláš","Staré mesto","RESIDENCE realitná kancelária",-0.1700
JuU5AQijDSV,3937.73,"2-room apartment","new construction","okres Liptovský Mikuláš","Staré mesto",G-REAL,0.2333
JuhS38paEh6,3827.60,"4-room apartment","development project","okres Žilina","Staré mesto","KORSO Project, s.r.o.",-0.0831
Ju2DPhpZEXH,3412.44,"4-room apartment","development project","okres Žilina","Staré mesto","KORSO Project, s.r.o.",-0.1825
JucNvh6xi3X,3802.29,"4-room apartment","development project","okres Žilina","Staré mesto","KORSO Project, s.r.o.",-0.0891
Ju9BdsvYTHj,5654.99,"4-room apartment","development project","okres Žilina","Staré mesto","Teraz, a.s.",0.3547
JuUW30jCiXY,2364.86,"3-room apartment","fully renovated","okres Liptovský Mikuláš",Podbreziny,"sunnyreal s.r.o.",0.0058
JuU7r63X4wA,2427.14,"3-room apartment","fully renovated","okres Liptovský Mikuláš",Podbreziny,"AstonReal s.r.o.",0.0323
Jug3tmEab8dn,2261.54,"3-room apartment","fully renovated","okres Liptovský Mikuláš",Podbreziny,"TUreality s.r.o.",-0.0381
Ju7UlN5liG9,2753.73,"3-room apartment","new construction","okres Martin",Jahodníky,"Buby reality, s.r.o.",0.0163
JuUwCeqXqPl,2669.46,"3-room apartment","new construction","okres Martin",Jahodníky,"Buby reality, s.r.o.",-0.0148
JuhmvsftjdY,2745.14,"3-room apartment","new construction","okres Martin",Jahodníky,"Buby reality, s.r.o.",0.0132
JuDeBuW3pN0,2669.46,"3-room apartment","new construction","okres Martin",Jahodníky,"Buby reality, s.r.o.",-0.0148
JuvSfTkJipf,2692.11,"2-room apartment","development project","okres Ružomberok",Baničné,"ODEKO manažment s.r.o.",-0.0052
Jue8OEdDtFX,2697.92,"2-room apartment","development project","okres Ružomberok",Baničné,"ODEKO manažment s.r.o.",-0.0031
JuDjC6lbUrb,2740.92,"2-room apartment","development project","okres Ružomberok",Baničné,"ODEKO manažment s.r.o.",0.0128
JunhLdbpvMU,2669.46,"3-room apartment","new construction","okres Martin",Stred,"Buby reality, s.r.o.",0.0202
JufWdbgp6A3,1960.78,"3-room apartment","new construction","okres Martin",Stred,"TARGETreal s. r. o.",-0.2506
JuXBeof4cBw,1498.78,"3-room apartment","development project","okres Ružomberok",Baničné,"ODEKO manažment s.r.o.",-0.1311
Jux9NoUYkfu,1951.25,"3-room apartment","development project","okres Ružomberok",Baničné,"ODEKO manažment s.r.o.",0.1311
JuCqI77KeMc,1875.00,"2-room apartment","partially renovated","okres Martin",Turany,"Reality MT s.r.o.",0.0000
JuYp1Zctty0,1875.00,"2-room apartment","partially renovated","okres Martin",Turany,"Reality Alpia",0.0000
JulLkJwhVa1,2013.43,"3-room apartment",unrenovated,"okres Martin",Sever,"Realitná kancelária",-0.0130
Ju7Y_BuXfpd,2043.94,"3-room apartment",unrenovated,"okres Martin",Sever,"Reality Center, s.r.o.",0.0020
Juwpt8fo8iw,2062.50,"3-room apartment",unrenovated,"okres Martin",Sever,"KARIN & PARTNERS, s.r.o.",0.0111
JuUknu_3A4k,2638.89,"2-room apartment","partially renovated","okres Žilina","Staré mesto",NULL,-0.1183
Jujvvp196-y,2980.77,"2-room apartment","partially renovated","okres Žilina","Staré mesto","TUreality s.r.o.",-0.0040
JuXqaBy1YwX,3129.63,"2-room apartment","partially renovated","okres Žilina","Staré mesto","Realitné kancelárie SR",0.0457
JuFQj_B37XO,3222.22,"2-room apartment","partially renovated","okres Žilina","Staré mesto","ROMDOM, s. r. o",0.0766
Ju0vPaBxKXU,2691.43,"2-room apartment","fully renovated","okres Liptovský Mikuláš","Vrbica - Nábrežie","RESIDENCE realitná kancelária",-0.0652
JuZWfK8jXMU,2208.03,"2-room apartment","fully renovated","okres Liptovský Mikuláš","Vrbica - Nábrežie","YFE, s.r.o.",-0.2331
JuHfT6EkWLg,3737.83,"2-room apartment","fully renovated","okres Liptovský Mikuláš","Vrbica - Nábrežie","J.M.H. s.r.o.",0.2983
JupibY8fOsV,1535.48,"3-room apartment",unrenovated,"okres Kysucké Nové Mesto","Horný Vadičov","RK4 REALITY",0.0000
JujKiw_LZU1,1535.48,"3-room apartment",unrenovated,"okres Kysucké Nové Mesto","Horný Vadičov","RK4 REALITY",0.0000
Jux-AEYjDab,3500.00,"2-room apartment","fully renovated","okres Žilina",Solinky,NULL,-0.0057
Julrxc4m4jW,3539.80,"2-room apartment","fully renovated","okres Žilina",Solinky,"MGM reality",0.0057
JuxK_a_NiWB,2173.91,"2-room apartment","fully renovated","okres Ružomberok",Roveň,"NajBývanie, s.r.o.",0.0605
Juacbmz9XNp,1925.93,"2-room apartment","fully renovated","okres Ružomberok",Roveň,"Reality Alpia",-0.0605
JuvTw1ebtHj,3120.96,"2-room apartment","under construction","okres Kysucké Nové Mesto",Kamence,"Istrofinal, s. r. o.",0.0000
JuJjSbvP3y1,3120.96,"2-room apartment","under construction","okres Kysucké Nové Mesto",Kamence,"Istrofinal, s. r. o.",0.0000
Ju7dMBplPsC,3120.96,"2-room apartment","under construction","okres Kysucké Nové Mesto",Kamence,"Istrofinal, s. r. o.",0.0000
Juga_SyTI4R,3428.57,"2-room apartment","new construction","okres Liptovský Mikuláš","Liptovská Mara - Tatralandia","RE/MAX Slovakia",-0.0769
JulVwlSvctK,4000.00,"2-room apartment","new construction","okres Liptovský Mikuláš","Liptovská Mara - Tatralandia","Prvá Realitná Kancelária, s.r.o.",0.0769
JuLxu_TUApX,3373.47,"2-room apartment","new construction","okres Žilina",Hájik,"ODEKO manažment s.r.o.",-0.0311
Juh13qbi4yL,3183.63,"2-room apartment","new construction","okres Žilina",Hájik,"ODEKO manažment s.r.o.",-0.0857
JuE40RXyw1_,3599.80,"2-room apartment","new construction","okres Žilina",Hájik,"Realitná kancelária RED, s.r.o.",0.0339
JuQPXllO6ks,3652.78,"2-room apartment","new construction","okres Žilina",Hájik,"ODEKO manažment s.r.o.",0.0491
JuSBcLlOavm,3599.98,"2-room apartment","new construction","okres Žilina",Hájik,"RIEŠIME BÝVANIE",0.0339
JuFDFNeJqxq,2434.78,"3-room apartment","fully renovated","okres Martin",Ľadoveň,"Reality D.P.A.",-0.0154
JufTJtipeK4,2510.77,"3-room apartment","fully renovated","okres Martin",Ľadoveň,"Felicita Real s. r. o.",0.0154
JuHXoN0ryfa,3127.91,"3-room apartment",unrenovated,"okres Žilina",Vlčince,"MGM reality",0.2190
JuzYHHeYN5Y,2071.95,"3-room apartment",unrenovated,"okres Žilina",Vlčince,"Safe reality s. r. o.",-0.1926
Ju1eGXbZzUb,2498.33,"3-room apartment",unrenovated,"okres Žilina",Vlčince,"Wealth Group, s.r.o.",-0.0264
JuP28alhfCi,2834.33,"3-room apartment","fully renovated","okres Žilina",Hliny,"B10 Slovensko, a. s.",-0.1878
JueA04xvA0H,3484.85,"3-room apartment","fully renovated","okres Žilina",Hliny,"RIEŠIME BÝVANIE",-0.0014
JuMvD_EgmbK,4150.00,"3-room apartment","fully renovated","okres Žilina",Hliny,"RIEŠIME BÝVANIE",0.1892
JuyxsUVgHii,2191.01,"4-room apartment","fully renovated","okres Dolný Kubín",Brezovec,"RK Dalmia s. r. o.",-0.0420
JuqDc5JA0z2,2383.23,"4-room apartment","fully renovated","okres Dolný Kubín",Brezovec,"OREA, s.r.o.",0.0420
JuRhJZ24FBr,1641.03,"3-room apartment","partially renovated","okres Ružomberok",Ľubochňa,NULL,-0.0077
JuOF4HNBZNF,1666.53,"3-room apartment","partially renovated","okres Ružomberok",Ľubochňa,"TUreality s.r.o.",0.0077
JuWE0lIaFPD,3000.00,"3-room apartment",unrenovated,"okres Žilina",Hliny,"TUreality s.r.o.",0.2683
Juk34S4WJno,1843.47,"3-room apartment",unrenovated,"okres Žilina",Hliny,"MGM reality",-0.2207
JuXHjhU272A,2498.44,"3-room apartment",unrenovated,"okres Žilina",Hliny,"Reality IQ, s.r.o.",0.0562
JuA0NKQExXq,2119.70,"3-room apartment",unrenovated,"okres Žilina",Hliny,"Pro Real, s. r. o. realitná kancelária",-0.1039
Jub_GkQafv9,2355.93,"2-room apartment","fully renovated","okres Martin",Podháj,"B10 Slovensko, a. s.",0.0283
Jutms5kvMoG,2285.71,"4-room apartment","fully renovated","okres Martin",Stred,"TUreality s.r.o.",-0.0433
JujtAMfUep-,2213.98,"4-room apartment","fully renovated","okres Martin",Stred,NULL,-0.0733
JulmjMPVf2y,2667.42,"4-room apartment","fully renovated","okres Martin",Stred,"Constario REALTY s.r.o.",0.1165
JunJ76UrnXo,2314.81,"2-room apartment","partially renovated","okres Martin",Sever,"FINREA - ak vám záleží na výsledku",0.2403
JuVrf5-P_w2,1696.97,"2-room apartment","partially renovated","okres Martin",Sever,"Reality AK, spol. s r.o.",-0.0908
JuIVEdX9aqM,1696.97,"2-room apartment","partially renovated","okres Martin",Sever,"FINREA - ak vám záleží na výsledku",-0.0908
JutAxM54sI9,1756.76,"2-room apartment","partially renovated","okres Martin",Sever,"Realitná kancelária",-0.0587
JuMd5Se4xMY,2000.00,"3-room apartment","fully renovated","okres Martin",Košúty,"Realitná kancelária",-0.0078
Jub-qUAwi4z,2031.25,"3-room apartment","fully renovated","okres Martin",Košúty,NULL,0.0078
JudVZxPODEn,2685.71,"3-room apartment","fully renovated","okres Žilina",Solinky,"Realitná kancelária RED, s.r.o.",0.0358
JuD4zRss3yP,2500.00,"3-room apartment","fully renovated","okres Žilina",Solinky,NULL,-0.0358
Ju8yXTZyQ0c,2640.45,"3-room apartment","partially renovated","okres Liptovský Mikuláš",Dovalovo,"TUreality s.r.o.",-0.0675
JuZdV5jCSUO,3022.47,"3-room apartment","partially renovated","okres Liptovský Mikuláš",Dovalovo,"TUreality s.r.o.",0.0675
JunEHNrbeFP,3330.95,"holiday apartment","fully renovated","okres Liptovský Mikuláš","Liptovský Ján","GERT , s.r.o.",-0.0159
JuNgEGp-EQa,3438.60,"holiday apartment","fully renovated","okres Liptovský Mikuláš","Liptovský Ján","Reality Alpia",0.0159
JuuvunHgeuI,2115.37,"2-room apartment","partially renovated","okres Tvrdošín",Medvedzie,"RE/MAX Slovakia",0.0497
Judr92_ylzz,1915.00,"2-room apartment","partially renovated","okres Tvrdošín",Medvedzie,"TUreality s.r.o.",-0.0497
JuyFJFlxmNe,3015.08,"holiday apartment",unrenovated,"okres Ružomberok",Hrabovo,"Reality Alpia",-0.1057
Ju1uEl1Mf6f,3648.65,"holiday apartment",unrenovated,"okres Ružomberok",Hrabovo,"Romantické Chalupy, s.r.o.",0.0823
JuDXnrUS-p1,3450.13,"holiday apartment",unrenovated,"okres Ružomberok",Hrabovo,"Reality Alpia",0.0234
JuDmcjiRx8S,2297.62,"4-room apartment","partially renovated","okres Žilina",Solinky,"ACTIVE - Reality, s. r. o.",0.0000
JuuvbPIMl4t,2297.62,"4-room apartment","partially renovated","okres Žilina",Solinky,"ACTIVE - Reality, s. r. o.",0.0000
Ju-cA70OjPb,3428.57,"2-room apartment","new construction","okres Liptovský Mikuláš","Liptovský Ján","TUreality s.r.o.",0.0085
Ju1swh97q_w,3370.97,"2-room apartment","new construction","okres Liptovský Mikuláš","Liptovský Ján","RE/MAX Slovakia",-0.0085
JueVg_uFAEX,1985.29,"3-room apartment","partially renovated","okres Martin",Záturčie,"Like Reality s.r.o.",-0.0195
JuMqUg0JlP-,2461.54,"4-room apartment","new construction","okres Ružomberok","Staré mesto","BB - REALITY,  s.r.o.",-0.0086
JuZUmgJDVA2,2504.24,"4-room apartment","new construction","okres Ružomberok","Staré mesto",NULL,0.0086
Jueqkk2FQTK,3684.21,"3-room apartment","new construction","okres Žilina",Bôrik,"DreamReality s.r.o.",-0.0072
JuuDv2Zd85o,3737.86,"3-room apartment","new construction","okres Žilina",Bôrik,"TUreality s.r.o.",0.0072
JuA1hP6Bd3t,3334.75,"4-room apartment","fully renovated","okres Liptovský Mikuláš",Demänová,G-REAL,-0.1031
JuCX2-0gKW3,4101.69,"4-room apartment","fully renovated","okres Liptovský Mikuláš",Demänová,"RK SPIRIT s.r.o.",0.1031
Jul_zSmXyuk,3309.46,"3-room apartment","new construction","okres Žilina",Bytčica,"Realitná kancelária RED, s.r.o.",-0.0288
Jus-du7SK4F,3505.97,"3-room apartment","new construction","okres Žilina",Bytčica,"Realitná kancelária RED, s.r.o.",0.0288
JuoJ6B-WiVu,4491.53,"2-room apartment","new construction","okres Liptovský Mikuláš",Demänová,"RE/MAX Slovakia",0.0689
JuviN4c9fMi,3444.44,"2-room apartment","new construction","okres Liptovský Mikuláš",Demänová,G-REAL,-0.1803
JuzxsN9HYse,4853.33,"2-room apartment","new construction","okres Liptovský Mikuláš",Demänová,"OVERENÉ REALITY",0.1550
JuupBH8LvJz,4018.87,"2-room apartment","new construction","okres Liptovský Mikuláš",Demänová,G-REAL,-0.0436
Juwx2mgp7mc,2077.97,"3-room apartment","partially renovated","okres Martin",Sever,"Reality AK, spol. s r.o.",-0.0462
