offer_id,price_m2,property_type,condition,location_district,location_area,agency,price_index
JuaWfCrgS3s,2742.57,"4-room apartment","under construction","okres Kysucké Nové Mesto",Kamence,"Istrofinal, s. r. o.",-0.0359
Ju5YBv9ykGI,2693.72,"4-room apartment","under construction","okres Kysucké Nové Mesto",Kamence,"Istrofinal, s. r. o.",-0.0530
JuiUg7kx_Xo,2832.33,"4-room apartment","under construction","okres Kysucké Nové Mesto",Kamence,"Istrofinal, s. r. o.",-0.0043
JuhY6PtUUUQ,2892.94,"4-room apartment","under construction","okres Kysucké Nové Mesto",Kamence,"Istrofinal, s. r. o.",0.0170
Ju7JTdVZY88,2892.94,"4-room apartment","under construction","okres Kysucké Nové Mesto",Kamence,"Istrofinal, s. r. o.",0.0170
JuU41-eIe2m,2905.85,"4-room apartment","under construction","okres Kysucké Nové Mesto",Kamence,"Istrofinal, s. r. o.",0.0215
JuZdOmvD2ic,2892.94,"4-room apartment","under construction","okres Kysucké Nové Mesto",Kamence,"Istrofinal, s. r. o.",0.0170
Ju8nwr--d8J,9362.00,"holiday apartment","under construction","okres Liptovský Mikuláš","Demänovská Dolina","Tatry mountain resorts, a.s.",-0.0974
Jun0m0ZrnOH,11206.08,"holiday apartment","under construction","okres Liptovský Mikuláš","Demänovská Dolina","Tatry mountain resorts, a.s.",0.0804
JuTSuAfPUaV,11181.23,"holiday apartment","under construction","okres Liptovský Mikuláš","Demänovská Dolina","Tatry mountain resorts, a.s.",0.0780
Ju6hdfe5kDA,10451.26,"holiday apartment","under construction","okres Liptovský Mikuláš","Demänovská Dolina","Tatry mountain resorts, a.s.",0.0076
JuvuB2q_3M4,9662.18,"holiday apartment","under construction","okres Liptovský Mikuláš","Demänovská Dolina","Tatry mountain resorts, a.s.",-0.0685
Jug2x-YuHAi,4148.48,"1-room apartment","new construction","okres Žilina","Staré mesto","WFG reality, s.r.o.",0.0138
JuaeBjYnlrd,4108.33,"1-room apartment","new construction","okres Žilina","Staré mesto","WFG reality, s.r.o.",0.0040
JuxCreRo0qw,4359.09,"1-room apartment","new construction","okres Žilina","Staré mesto","Financial Hotels Management, s.r.o.",0.0653
Ju7ymmOZXTG,4105.41,"1-room apartment","new construction","okres Žilina","Staré mesto","WFG reality, s.r.o.",0.0033
JuktNGvsiwv,4128.95,"1-room apartment","new construction","okres Žilina","Staré mesto","WFG reality, s.r.o.",0.0090
Ju3o-SF0dKF,3971.05,"1-room apartment","new construction","okres Žilina","Staré mesto","WFG reality, s.r.o.",-0.0296
JuFDFkP8ndy,4023.68,"1-room apartment","new construction","okres Žilina","Staré mesto","WFG reality, s.r.o.",-0.0167
Ju8MQ6z2y19,3997.37,"1-room apartment","new construction","okres Žilina","Staré mesto","WFG reality, s.r.o.",-0.0231
JuuQTLwI4_c,4105.41,"1-room apartment","new construction","okres Žilina","Staré mesto","WFG reality, s.r.o.",0.0033
JufchRWgj96,4023.08,"1-room apartment","new construction","okres Žilina","Staré mesto","WFG reality, s.r.o.",-0.0169
Ju0lQAOkvtE,4023.68,"1-room apartment","new construction","okres Žilina","Staré mesto","WFG reality, s.r.o.",-0.0167
JunSqXxyUya,4148.48,"1-room apartment","new construction","okres Žilina","Staré mesto","WFG reality, s.r.o.",0.0138
Jum788VaVl8,4148.48,"1-room apartment","new construction","okres Žilina","Staré mesto","WFG reality, s.r.o.",0.0138
JuSXCvc_TgO,3281.21,"2-room apartment","under construction","okres Žilina",Hájik,"Realitná kancelária",-0.0390
JuMrpN3u-gh,3547.72,"2-room apartment","under construction","okres Žilina",Hájik,"Reality Alpia",0.0390
JuL6Lg1QL2c,2068.97,"2-room apartment","partially renovated","okres Martin",Priekopa,"Realitná kancelária",0.0802
Junnm3hR6W5,1859.15,"2-room apartment","partially renovated","okres Martin",Priekopa,"Reality Alpia",-0.0294
Ju-seNslb4u,1818.18,"2-room apartment","partially renovated","okres Martin",Priekopa,"Realitná kancelária RED, s.r.o.",-0.0508
JuZJo0wlRRU,2927.59,"1-room apartment","new construction","okres Ružomberok","Liptovská Teplá",donidDevelop,0.0258
JuddoVYZYie,2780.22,"1-room apartment","new construction","okres Ružomberok","Liptovská Teplá",Limaxreal,-0.0258
JuUEgGZy7bV,5216.93,"holiday apartment","development project","okres Žilina",Terchová,"KORSO Project, s.r.o.",0.0507
JuXxgiFzaw2,4754.41,"holiday apartment","development project","okres Žilina",Terchová,"KORSO Project, s.r.o.",-0.0425
JuQIDFd_kHU,4989.12,"holiday apartment","development project","okres Žilina",Terchová,"KORSO Project, s.r.o.",0.0048
