location_district,location_area,property_type,condition,rent_count,sale_count,rent_share,min_ptr,avg_ptr,max_ptr,max_price_for_ptr_15,max_price_for_ptr_20
"okres Kysucké Nové Mesto",Nábrežie,"2-room apartment","partially renovated",2,2,0.5000,18.973608,18.9736080000,18.973608,NULL,2235.85
"okres Žilina","Staré mesto","4-room apartment","fully renovated",51,118,0.3018,1.912688,20.1168891667,41.794050,269.23,2733.33
"okres Dolný Kubín",Brezovec,"2-room apartment","new construction",8,21,0.2759,16.575064,21.9992950000,27.423526,NULL,2585.71
"okres Žilina",Vlčince,"2-room apartment","new construction",32,65,0.3299,19.631230,32.6070098500,55.012318,NULL,3229.73
"okres Žilina",Bôrik,"2-room apartment","new construction",7,25,0.2188,10.197485,27.9189267500,38.246631,1240.83,1240.83
"okres Žilina",Vlčince,"4-room apartment","new construction",32,65,0.3299,22.673167,25.8777223333,35.660250,NULL,NULL
"okres Žilina","Staré mesto","2-room apartment","partially renovated",51,118,0.3018,21.391780,27.0590536667,34.425427,NULL,NULL
"okres Žilina","Staré mesto","2-room apartment","fully renovated",51,118,0.3018,10.612238,19.8382898452,33.913833,3000.00,3829.55
"okres Martin",Košúty,"2-room apartment","fully renovated",6,15,0.2857,20.746888,20.7468880000,20.746888,NULL,NULL
"okres Žilina",Hájik,"2-room apartment","partially renovated",6,35,0.1463,17.040807,19.6617866667,22.222222,NULL,2924.49
"okres Liptovský Mikuláš",Podbreziny,"3-room apartment","fully renovated",2,18,0.1000,18.244111,18.9672476667,19.580026,NULL,2427.14
"okres Liptovský Mikuláš","Staré mesto","2-room apartment","new construction",17,55,0.2361,20.075758,25.3969015833,32.814417,NULL,NULL
"okres Žilina",Vlčince,"3-room apartment","fully renovated",32,65,0.3299,15.936984,23.8357090400,33.519304,NULL,3041.67
"okres Martin",Podháj,"2-room apartment","fully renovated",10,10,0.5000,16.275000,18.4545281000,20.930437,NULL,2355.93
"okres Liptovský Mikuláš","Staré mesto","2-room apartment","fully renovated",17,55,0.2361,8.056373,17.6632304722,28.092481,2380.00,2794.64
"okres Žilina","Staré mesto","3-room apartment","partially renovated",51,118,0.3018,23.066776,33.6239998000,43.286410,NULL,NULL
"okres Čadca",Centrum,"2-room apartment","partially renovated",10,12,0.4545,13.877800,13.8778000000,13.877800,2081.67,2081.67
"okres Martin","Horné Vrútky","3-room apartment","fully renovated",9,19,0.3214,16.870439,21.3101167500,24.476322,NULL,1645.88
"okres Martin",Sever,"2-room apartment","fully renovated",11,31,0.2619,15.554753,18.6347496667,21.930646,NULL,2431.67
"okres Liptovský Mikuláš","Vrbica - Nábrežie","2-room apartment","partially renovated",5,20,0.2000,14.854427,18.1174490000,19.756387,2000.00,2660.00
"okres Žilina",Hájik,"2-room apartment","fully renovated",6,35,0.1463,17.575449,17.5754490000,17.575449,NULL,2741.77
"okres Žilina",Hájik,"2-room apartment","new construction",6,35,0.1463,15.848417,17.3333930000,18.183891,NULL,3652.78
"okres Martin",Stred,"3-room apartment","new construction",48,58,0.4528,15.045887,22.9778043750,29.979403,NULL,1960.78
"okres Žilina",Vlčince,"studio apartment","fully renovated",32,65,0.3299,21.634664,21.7290965000,21.823529,NULL,NULL
"okres Žilina",Vlčince,"2-room apartment","partially renovated",32,65,0.3299,18.712654,19.6644530000,20.616252,NULL,2620.52
"okres Čadca",Čierne,"3-room apartment","partially renovated",2,10,0.1667,24.651379,24.6513790000,24.651379,NULL,NULL
"okres Ružomberok","Staré mesto","4-room apartment","partially renovated",1,24,0.0400,24.771357,24.7713570000,24.771357,NULL,NULL
"okres Čadca",Centrum,"3-room apartment","fully renovated",10,12,0.4545,13.814646,15.9845955000,18.154545,1367.65,1797.30
"okres Martin",Košúty,"1-room apartment","fully renovated",6,15,0.2857,20.392528,20.3925280000,20.392528,NULL,NULL
"okres Martin",Priekopa,"2-room apartment","new construction",8,52,0.1333,22.694248,23.8812226667,25.270888,NULL,NULL
"okres Žilina",Hliny,"2-room apartment","partially renovated",24,37,0.3934,15.777598,17.6903821000,20.381626,NULL,2734.38
"okres Martin",Jahodníky,"2-room apartment","fully renovated",3,33,0.0833,22.301083,22.7055070000,23.109931,NULL,NULL
"okres Martin",Priekopa,"2-room apartment","fully renovated",8,52,0.1333,18.183157,18.1831570000,18.183157,NULL,2470.00
"okres Liptovský Mikuláš","Staré mesto","2-room apartment","partially renovated",17,55,0.2361,19.147506,21.5024290000,26.238265,NULL,2103.51
"okres Žilina",Vlčince,"4-room apartment",unrenovated,32,65,0.3299,21.699328,21.6993280000,21.699328,NULL,NULL
"okres Martin",Stred,"3-room apartment","fully renovated",48,58,0.4528,24.379228,41.9610642857,97.158395,NULL,NULL
"okres Martin",Priekopa,"3-room apartment","fully renovated",8,52,0.1333,14.418092,17.8738265000,21.329561,1922.22,1922.22
"okres Martin",Stred,"2-room apartment","new construction",48,58,0.4528,13.467635,19.9889352222,31.494126,2500.00,3163.27
"okres Liptovský Mikuláš","Staré mesto","1-room apartment","fully renovated",17,55,0.2361,9.803362,14.4705796250,20.321123,2284.76,3228.62
"okres Čadca",Stred,"3-room apartment","partially renovated",3,19,0.1364,16.505323,17.2355300000,18.355360,NULL,2000.00
"okres Žilina",Bôrik,house,"partially renovated",7,25,0.2188,4253.472222,4693.6111110000,5133.750000,NULL,NULL
"okres Žilina",Bytčica,house,"new construction",2,20,0.0909,8.032083,18.7941665000,29.556250,771.08,771.08
"okres Liptovský Mikuláš",Važec,house,"partially renovated",1,9,0.1000,6.335470,16.5035468000,22.319444,575.00,575.00
"okres Žilina",Višňové,house,"fully renovated",1,26,0.0370,13.043773,17.0787395000,21.113706,2228.92,2228.92
"okres Námestovo","Oravská Polhora",house,"new construction",1,1,0.5000,23.896720,23.8967200000,23.896720,NULL,NULL
"okres Martin","Horné Vrútky","2-room apartment","fully renovated",9,19,0.3214,24.251590,24.2515900000,24.251590,NULL,NULL
"okres Čadca",Kyčerka,"3-room apartment","partially renovated",4,8,0.3333,18.185867,20.0960960000,22.015215,NULL,1837.50
"okres Žilina",Hliny,"4-room apartment","fully renovated",24,37,0.3934,15.922201,15.9222010000,15.922201,NULL,1956.52
