property_type,condition,location_district,dis_avg_rent,agency,agency_avg_rent,rent_diff
"3-room apartment",unrenovated,"okres Liptovský Mikuláš",6.880000,"Reality Alpia",6.880000,0.0000000000
"holiday apartment","fully renovated","okres Žilina",14.400000,"AnoReal, s.r.o.",14.400000,0.0000000000
"holiday apartment","fully renovated","okres Žilina",14.400000,"MK CAR, s.r.o.",NULL,NULL
"holiday apartment","fully renovated","okres Liptovský Mikuláš",NULL,liptoreal,NULL,NULL
"4-room apartment","partially renovated","okres Martin",8.670000,"Reality Alpia",8.670000,0.0000000000
"4-room apartment","partially renovated","okres Ružomberok",6.360000,"Reality Alpia",6.360000,0.0000000000
"4-room apartment",unrenovated,"okres Martin",7.000000,"Reality Alpia",7.000000,0.0000000000
"4-room apartment",unrenovated,"okres Turčianske Teplice",4.040000,"OVERENÉ REALITY",4.040000,0.0000000000
"4-room apartment",unrenovated,"okres Žilina",8.930000,"Direct Real, spol. s r.o.",8.930000,0.0000000000
"2-room apartment","development project","okres Žilina",12.670000,"Renovo Reality",12.670000,0.0000000000
"studio apartment",unrenovated,"okres Martin",13.040000,"Reality ASTORIA, s.r.o.",13.040000,0.0000000000
"commercial space","new construction","okres Martin",NULL,"iO Partners Slovakia s.r.o.",NULL,NULL
maisonette,unrenovated,"okres Liptovský Mikuláš",6.000000,"GERT , s.r.o.",6.000000,0.0000000000
"holiday apartment",unrenovated,"okres Tvrdošín",10.370000,"Realitné kancelárie SR",10.370000,0.0000000000
house,"partially renovated","okres Žilina",4.503333,NULL,0.030000,-0.9933382675
house,"partially renovated","okres Liptovský Mikuláš",3.900000,"REALITY TATRY",3.900000,0.0000000000
house,"partially renovated","okres Žilina",4.503333,"RENOME REAL",5.150000,0.1435974200
house,"partially renovated","okres Žilina",4.503333,"Realitná kancelária RED, s.r.o.",8.330000,0.8497410696
house,"fully renovated","okres Žilina",11.356667,"Effecting s.r.o.",5.200000,-0.5421191799
house,"fully renovated","okres Žilina",11.356667,"Piata Avenue",10.710000,-0.0569416185
house,"fully renovated","okres Žilina",11.356667,"BeMi realitná kancelária",14.240000,0.2538890151
house,"fully renovated","okres Ružomberok",6.940000,"Reality Alpia",6.940000,0.0000000000
house,"fully renovated","okres Martin",0.100000,"Reality ASTORIA, s.r.o.",0.100000,0.0000000000
house,"fully renovated","okres Žilina",11.356667,"MGM reality",13.940000,0.2274728140
house,"fully renovated","okres Žilina",11.356667,"Buby reality, s.r.o.",11.110000,-0.0217200170
house,"fully renovated","okres Žilina",11.356667,"Realitná kancelária RED, s.r.o.",12.940000,0.1394188101
house,unrenovated,"okres Čadca",3.130000,"Realitné kancelárie SR",3.130000,0.0000000000
house,unrenovated,"okres Liptovský Mikuláš",2.020000,"Direct Real, spol. s r.o.",2.020000,0.0000000000
house,"new construction","okres Námestovo",6.215000,NULL,8.670000,0.3950120676
house,"new construction","okres Námestovo",6.215000,"OREA, s.r.o.",3.760000,-0.3950120676
house,"new construction","okres Martin",8.106000,NULL,10.780000,0.3298791019
house,"new construction","okres Žilina",7.391667,"MGM reality",12.500000,0.6910934976
house,"new construction","okres Žilina",7.391667,"Realitná kancelária RED, s.r.o.",3.515000,-0.5244645085
house,"new construction","okres Čadca",9.375000,"SLNOVRAT, s.r.o.",8.750000,-0.0666666667
house,"new construction","okres Žilina",7.391667,"Mamud Reality s. r. o.",10.670000,0.4435174095
house,"new construction","okres Čadca",9.375000,"BeMi realitná kancelária",10.000000,0.0666666667
house,"new construction","okres Liptovský Mikuláš",6.270000,"RESIDENCE realitná kancelária",9.370000,0.4944178628
house,"new construction","okres Martin",8.106000,"Buby reality, s.r.o.",2.990000,-0.6311374291
house,"new construction","okres Martin",8.106000,"Reality Alpia",12.900000,0.5914137676
house,"new construction","okres Martin",8.106000,"Reality ASTORIA, s.r.o.",6.930000,-0.1450777202
house,"new construction","okres Žilina",7.391667,"RIEŠIME BÝVANIE",8.000000,0.0822998385
house,"new construction","okres Žilina",7.391667,"Realitné kancelárie SR",6.150000,-0.1679819992
house,"new construction","okres Bytča",9.720000,NULL,9.720000,0.0000000000
house,"new construction","okres Liptovský Mikuláš",6.270000,"AstonReal s.r.o.",4.720000,-0.2472089314
