offer_id,offer_type,property_type,condition,location_district,location_city,location_area,agency,office_city
JuLecgRv95A,sale,"3-room apartment","fully renovated","okres Žilina",Žilina,Bôrik,"RES GROUP, s.r.o.",Žilina
JuzjcjA88fI,rent,"2-room apartment","fully renovated","okres Bytča",Bytča,"Veľká Bytča","Fortio Popper s.r.o.",Bytča
JuR9IQwr1DX,rent,"3-room apartment","new construction","okres Žilina",Žilina,Hliny,"MGM reality",Žilina
JueQeTeryjC,rent,"4-room apartment","fully renovated","okres Dolný Kubín","Dolný Kubín",Brezovec,NULL,NULL
JufbBHYx-coz,sale,"1-room apartment","new construction","okres Liptovský Mikuláš","Liptovský Mikuláš","Staré mesto","AstonReal s.r.o.","Banská Bystrica"
JusEglMU0v8,sale,"3-room apartment",unrenovated,"okres Martin",Martin,Jahodníky,"HD reality group s.r.o","Banská Bystrica"
JuHU9WStTAs,sale,"3-room apartment","fully renovated","okres Martin",Necpaly,Necpaly,"B10 Slovensko, a. s.",Žilina
Ju-48631_aJ,sale,"3-room apartment",unrenovated,"okres Dolný Kubín","Dolný Kubín","Veľký Bysterec","RK Dalmia s. r. o.","Dolný Kubín"
JujzGN4k6bn,rent,"2-room apartment","fully renovated","okres Martin",Martin,Sever,"Reality Alpia",Martin
JuyUZh4v08L,rent,"2-room apartment","new construction","okres Liptovský Mikuláš","Liptovský Mikuláš",Palúdzka,NULL,NULL
Ju9d7v-lee8,sale,"3-room apartment","new construction","okres Tvrdošín",Zuberec,Zuberec,"OREA, s.r.o.","Dolný Kubín"
JuvALHP6cN9,sale,"2-room apartment","partially renovated","okres Kysucké Nové Mesto","Kysucké Nové Mesto",Sídlisko,"Safe reality s. r. o.",Žilina
Ju8a3kcGYvG,rent,"2-room apartment","new construction","okres Dolný Kubín","Dolný Kubín",Brezovec,"FINREA - ak vám záleží na výsledku","Dolný Kubín"
Jue47kLBSm8,sale,"3-room apartment","new construction","okres Čadca",Čadca,Centrum,"Vianema s.r.o.",Bratislava
JucquL8E-bM,rent,"3-room apartment","fully renovated","okres Martin",Martin,Stred,NULL,NULL
Jui14FUG-ZO,sale,"3-room apartment","partially renovated","okres Turčianske Teplice",Rakša,Rakša,"TUreality s.r.o.",Žilina
JuTiIF5zkxo3,rent,"2-room apartment","fully renovated","okres Dolný Kubín","Dolný Kubín",Záskalie,"VAŠA REALITKA s.r.o.",Ružomberok
JuFpZug_t62,sale,"1-room apartment","new construction","okres Kysucké Nové Mesto","Kysucké Nové Mesto",Kamence,"TRI LIPY, s. r. o.",Čadca
JuUnWH-g8Yz,sale,"3-room apartment","new construction","okres Žilina",Žilina,"Staré mesto","Realitné kancelárie SR",Bratislava
JuUCL8fPL9h,rent,"studio apartment","fully renovated","okres Martin",Vrútky,"Horné Vrútky","FINREA - ak vám záleží na výsledku","Dolný Kubín"
JuV8a82JG_s,sale,"4-room apartment","new construction","okres Žilina",Žilina,"Staré mesto",NULL,NULL
JuvjDSTvTKy,sale,"2-room apartment","fully renovated","okres Bytča","Veľké Rovné","Veľké Rovné","GAMA Reality, s.r.o.",Bytča
Ju3gs_noUEz,rent,"2-room apartment","new construction","okres Čadca","Krásno nad Kysucou",Kalinov,NULL,NULL
JuXcyij9eMf_,sale,"3-room apartment","new construction","okres Žilina",Žilina,"Staré mesto","Financial Hotels Management, s.r.o.",Žilina
JufYiP4E7Es,sale,"3-room apartment","partially renovated","okres Žilina",Žilina,Hliny,"ROMDOM, s. r. o",Žilina
JuKkjtqN4VW,sale,"2-room apartment","fully renovated","okres Martin",Martin,Stred,"RE/MAX Slovakia",Bratislava
JuH-SEIASle,sale,"3-room apartment","under construction","okres Ružomberok",Ružomberok,Roveň,"ODEKO manažment s.r.o.",Žilina
Ju_IBACCGzT,rent,"2-room apartment","partially renovated","okres Kysucké Nové Mesto","Kysucké Nové Mesto",Sídlisko,"Vianema s.r.o.",Bratislava
Ju_7fjs1rDI,sale,"2-room apartment","new construction","okres Liptovský Mikuláš","Liptovský Mikuláš","Liptovská Mara - Tatralandia","RK SPIRIT s.r.o.","Liptovský Mikuláš"
JuO3IQpQk2Q,sale,"2-room apartment","fully renovated","okres Čadca",Makov,Makov,"SLNOVRAT, s.r.o.",Olešná
JukCOBdi-HG,sale,"3-room apartment","fully renovated","okres Žilina",Žilina,Vlčince,"RIEŠIME BÝVANIE",Bratislava
JuatrleUyRX,rent,"3-room apartment","partially renovated","okres Liptovský Mikuláš","Liptovský Mikuláš",Podbreziny,"AstonReal s.r.o.","Banská Bystrica"
JuqBZCEixbC,rent,"2-room apartment","new construction","okres Žilina",Žilina,Hliny,"Reality Alpia",Martin
JuCuiefKh4P,sale,"4-room apartment",unrenovated,"okres Martin",Martin,Priekopa,Reality+,Žilina
JucFUY5N5xW,sale,"3-room apartment","partially renovated","okres Martin",Martin,Priekopa,"TARGETreal s. r. o.",Žilina
JuSPwAqNDjb,sale,"2-room apartment","new construction","okres Ružomberok",Ružomberok,Hrabovo,"OREA, s.r.o.","Dolný Kubín"
JujrtOK9Ltj,sale,"3-room apartment",unrenovated,"okres Žilina",Žilina,"Staré mesto","Safe reality s. r. o.",Žilina
Ju2TzdFfXkg,sale,"2-room apartment","partially renovated","okres Žilina",Žilina,"Staré mesto","Renovo Reality",Žilina
JuVO5WLrTZ3,sale,"2-room apartment","partially renovated","okres Kysucké Nové Mesto","Kysucké Nové Mesto",Sídlisko,"Safe reality s. r. o.",Žilina
JuC08OMa82u,sale,"4-room apartment","new construction","okres Žilina",Žilina,Hájik,"RIEŠIME BÝVANIE",Bratislava
Jupw1bQT1Jh,sale,"3-room apartment","new construction","okres Žilina",Žilina,Vlčince,"Reinoo a.s.",Žilina
JuFqSi2fYOk,sale,"2-room apartment","fully renovated","okres Kysucké Nové Mesto","Kysucké Nové Mesto",Nábrežie,"HOLESTIAK.sk reality s.r.o.",Čadca
JunnFbGwfA5,rent,"2-room apartment","partially renovated","okres Žilina",Žilina,Vlčince,"Wealth Group, s.r.o.","Nová Dedinka"
JuFv7NTgqug,sale,"holiday apartment","fully renovated","okres Čadca",Makov,Makov,"Ing. Gerlinda Bérešová - Esti",Žilina
JuxZgQdKO7u,sale,"2-room apartment","new construction","okres Bytča",Bytča,"Veľká Bytča","PRIMA reality s.r.o.",Žilina
Ju0iFsZ1mnv,sale,"2-room apartment","new construction","okres Liptovský Mikuláš","Liptovský Mikuláš","Liptovská Ondrašová","Bosen Group s.r.o.",Bratislava
JuN4KXjUyk-,sale,"4-room apartment","new construction","okres Čadca",Čadca,Podzávoz,"JPE. Reality - Jozef Pajer",Čadca
JuWV1dgtiBd,sale,"holiday apartment","new construction","okres Liptovský Mikuláš","Liptovský Mikuláš",Demänová,"Reality Alpia",Martin
Judmv08qh2A,sale,"4-room apartment",unrenovated,"okres Žilina",Žilina,"Staré mesto","RIEŠIME BÝVANIE",Bratislava
JugXYWqkt4N,rent,"1-room apartment","partially renovated","okres Martin",Vrútky,"Horné Vrútky","Reality ASTORIA, s.r.o.",Martin
JuqvNgpYqrd,rent,"1-room apartment","fully renovated","okres Dolný Kubín","Dolný Kubín",Mokraď,"OREA, s.r.o.","Dolný Kubín"
Ju_Lr-2Vc09,sale,"1-room apartment","partially renovated","okres Liptovský Mikuláš","Liptovský Hrádok",Dovalovo,"TUreality s.r.o.",Žilina
JubDtFpPZPz,sale,"holiday apartment","under construction","okres Turčianske Teplice","Turčianske Teplice",Stred,"Reality MT s.r.o.",Martin
Ju46Wlvz4BP,sale,"2-room apartment","new construction","okres Čadca",Čadca,Kyčerka,"Trioreality, s.r.o.",Čadca
Jus8fVVapj9,sale,"3-room apartment","under construction","okres Martin",Martin,Jahodníky,"CANGURU s.r.o.","Rajecké Teplice"
JurldwLKNhM,sale,"1-room apartment","fully renovated","okres Liptovský Mikuláš","Partizánska Ľupča","Partizánska Ľupča","A-Byt Consult, s.r.o.",Ružomberok
JulollxgJp5,sale,"2-room apartment","under construction","okres Martin",Martin,Jahodníky,"CANGURU s.r.o.","Rajecké Teplice"
JupBjnV0coU,sale,"3-room apartment","fully renovated","okres Čadca",Raková,Raková,"1. Reality Rent, s.r.o.",Žilina
JuqAM-ZO9ir,sale,"2-room apartment","new construction","okres Liptovský Mikuláš","Malé Borové","Malé Borové",NULL,NULL
Ju5VjRRX_4J,sale,"3-room apartment","partially renovated","okres Žilina",Žilina,Hliny,NULL,NULL
Juarr5O2upK,sale,"1-room apartment","under construction","okres Kysucké Nové Mesto","Kysucké Nové Mesto",Kamence,"Istrofinal, s. r. o.",Žilina
JuXRtZdfweI,sale,"4-room apartment","partially renovated","okres Martin",Martin,Ľadoveň,"Reality Center, s.r.o.",Martin
JuNZupA7Ru4,sale,"2-room apartment","new construction","okres Žilina","Rajecké Teplice","Rajecké Teplice","ŽILINAREAL, s.r.o.",Žilina
JuA8-pf41pn,rent,"3-room apartment","fully renovated","okres Martin",Martin,Stred,"Reality Alpia",Martin
JumbMyGo4iI,sale,"2-room apartment","fully renovated","okres Ružomberok",Bešeňová,Bešeňová,"RESIDENCE realitná kancelária","Liptovský Mikuláš"
JuaCjfZIx81,sale,"2-room apartment","under construction","okres Ružomberok",Ružomberok,Roveň,"ODEKO manažment s.r.o.",Žilina
JuUnD0myJmK,sale,"2-room apartment","partially renovated","okres Žilina",Žilina,Hájik,"Piata Avenue",Žilina
JuIP59md355,sale,"4-room apartment","under construction","okres Ružomberok",Ružomberok,Roveň,"ODEKO manažment s.r.o.",Žilina
JuIh9K2txJ3,sale,"3-room apartment","new construction","okres Námestovo",Zubrohlava,Zubrohlava,"BeMi realitná kancelária",Nitra
Jub5nNi4yTF,sale,"2-room apartment","partially renovated","okres Žilina",Žilina,Vlčince,"RIEŠIME BÝVANIE",Bratislava
Juqj8-BDIgQ,sale,"3-room apartment","new construction","okres Námestovo","Oravské Veselé","Oravské Veselé","OREA, s.r.o.","Dolný Kubín"
JuQfQh_4sSF,sale,"2-room apartment","new construction","okres Žilina",Žilina,Hliny,"MGM reality",Žilina
JujYXXx5gXi,sale,"3-room apartment","new construction","okres Žilina",Žilina,"Staré mesto",NULL,NULL
JuxBkaifl6df,rent,"holiday apartment","new construction","okres Liptovský Mikuláš","Liptovský Mikuláš",Iľanovo,"Reality Alpia",Martin
JugTLMsHTVi,sale,"2-room apartment",unrenovated,"okres Martin",Martin,Podháj,"B10 Slovensko, a. s.",Žilina
Jul7be3Lkz5,sale,"holiday apartment","new construction","okres Liptovský Mikuláš","Liptovský Mikuláš",Demänová,"RK SPIRIT s.r.o.","Liptovský Mikuláš"
JuPT1z2mBzV,sale,"1-room apartment","partially renovated","okres Žilina",Žilina,Vlčince,"R2 SK, s.r.o.",Žilina
Ju4hZgzLszu,sale,"2-room apartment","partially renovated","okres Tvrdošín",Trstená,Trstená,NULL,NULL
JuKlHRPhAEF,sale,"2-room apartment","fully renovated","okres Martin",Vrútky,"Horné Vrútky","HALO reality, s.r.o.",Prievidza
JuvFESSKGWN,sale,"3-room apartment","partially renovated","okres Martin",Vrútky,"Horné Vrútky","Reality D.P.A.",Martin
JusgW9odCAS,sale,"4-room apartment",unrenovated,"okres Martin",Martin,Priekopa,Time4dreams,Nitra
Juvk9S_5ltU,sale,"2-room apartment",unrenovated,"okres Žilina",Žilina,Hliny,NULL,NULL
JunBqR0DBP9,rent,"2-room apartment","new construction","okres Žilina",Žilina,"Staré mesto",NULL,NULL
JuDCMQupxo0,sale,"2-room apartment","partially renovated","okres Tvrdošín",Tvrdošín,Medvedzie,"TUreality s.r.o.",Žilina
JufAeKZk5m-,sale,"2-room apartment","partially renovated","okres Žilina",Bitarová,Bitarová,"Direct Real, spol. s r.o.",Bratislava
JuNguQDV0Zn,sale,"2-room apartment","fully renovated","okres Liptovský Mikuláš","Liptovský Mikuláš",Podbreziny,"Direct Real, spol. s r.o.",Bratislava
JuKOtZwcbir-,sale,"holiday apartment","fully renovated","okres Ružomberok",Ružomberok,Hrabovo,"Reality Alpia",Martin
JuMm4AW_gBf,sale,"5+ room apartment","partially renovated","okres Žilina","Rajecké Teplice","Rajecké Teplice","Reality IQ, s.r.o.",Žilina
JuSYwKOlQ-6,sale,"3-room apartment","new construction","okres Dolný Kubín","Dolný Kubín",NULL,"Nové bývanie",Nitra
JuZqtWo-t_S,sale,"holiday apartment","new construction","okres Liptovský Mikuláš","Liptovský Mikuláš","Liptovská Mara - Tatralandia","Prvá Realitná Kancelária, s.r.o.",Bratislava
JuJCzmrTicR,sale,"2-room apartment","new construction","okres Martin",Martin,Záturčie,NULL,NULL
JumsfvMXhg-,sale,"3-room apartment",unrenovated,"okres Žilina",Žilina,Solinky,"Direct Real, spol. s r.o.",Bratislava
JuymkoAFG_6,sale,"2-room apartment",unrenovated,"okres Kysucké Nové Mesto","Kysucké Nové Mesto",Sídlisko,"HOLESTIAK.sk reality s.r.o.",Čadca
JucOec67NRR,sale,"1-room apartment",unrenovated,"okres Tvrdošín",Nižná,Nižná,"Vianema s.r.o.",Bratislava
JuyOHLJxsdS,sale,"3-room apartment","fully renovated","okres Žilina",Žilina,"Staré mesto","Local reality s. r. o.",Malinovo
Ju_yl2A922o,sale,"2-room apartment",unrenovated,"okres Turčianske Teplice","Turčianske Teplice",Stred,NULL,NULL
JuDoLB83xqT,sale,"3-room apartment",unrenovated,"okres Liptovský Mikuláš",Malužiná,Malužiná,"HALO reality, s.r.o.",Prievidza
JuQvJ7BykSU,sale,"2-room apartment",unrenovated,"okres Martin",Martin,Sever,"WFG reality, s.r.o.",Žilina
JucOhPXEpxa,rent,"2-room apartment","partially renovated","okres Žilina",Žilina,"Staré mesto",NULL,NULL
JuFqVxR2Rua,rent,"2-room apartment","new construction","okres Liptovský Mikuláš","Liptovský Mikuláš",Palúdzka,"RESIDENCE realitná kancelária","Liptovský Mikuláš"
JuLEeBcqSvN,rent,"2-room apartment","fully renovated","okres Bytča",Bytča,"Veľká Bytča","Fortio Popper s.r.o.",Bytča
JuHLqjLk9w7,sale,"2-room apartment","fully renovated","okres Čadca",Oščadnica,Oščadnica,"1. Reality Rent, s.r.o.",Žilina
Juhlf1Su_tu,sale,"studio apartment","partially renovated","okres Žilina",Žilina,Závodie,"RIEŠIME BÝVANIE",Bratislava
Ju4aGAgIjVo,sale,"3-room apartment","partially renovated","okres Martin",Martin,Stred,"LIF REAL",Martin
JuHC3L7PHAo,rent,"studio apartment","partially renovated","okres Martin",Martin,Stred,"RE/MAX Slovakia",Bratislava
Ju4nG9JDEKF,sale,"3-room apartment","partially renovated","okres Martin",Martin,Ľadoveň,"TUreality s.r.o.",Žilina
JuxsO06uVZG,rent,"1-room apartment",unrenovated,"okres Žilina",Žilina,Hájik,"Realitná kancelária SYMPATIA REAL s. r. o.",Žilina
JuxQsJlXHSK,rent,"3-room apartment","fully renovated","okres Bytča",Bytča,"Veľká Bytča","Fortio Popper s.r.o.",Bytča
JuJrBHwvfXe,sale,"holiday apartment","new construction","okres Liptovský Mikuláš","Demänovská Dolina","Demänovská Dolina","AstonReal s.r.o.","Banská Bystrica"
JuVk3AeemQd,sale,"3-room apartment","under construction","okres Kysucké Nové Mesto","Kysucké Nové Mesto",Kamence,"Istrofinal, s. r. o.",Žilina
JucIMMNEosV,sale,"3-room apartment","partially renovated","okres Ružomberok",Ružomberok,Baničné,"A-Byt Consult, s.r.o.",Ružomberok
Ju2EMTkOn53,sale,"2-room apartment","new construction","okres Žilina",Žilina,Vlčince,"Reinoo a.s.",Žilina
JuYbhGZmbC7,sale,"2-room apartment",unrenovated,"okres Ružomberok","Liptovská Lúžna","Liptovská Lúžna","Obec Liptovská Lúžna","Liptovská Lúžna"
JucmUHZL9fQ,rent,"2-room apartment","new construction","okres Žilina",Žilina,"Staré mesto",NULL,NULL
Ju59v0S7Gi9,sale,"3-room apartment",unrenovated,"okres Liptovský Mikuláš","Liptovský Mikuláš",Podbreziny,"RK SPIRIT s.r.o.","Liptovský Mikuláš"
Ju4SvmwHoAg,sale,"3-room apartment","new construction","okres Ružomberok","Liptovská Teplá","Liptovská Teplá","FINREA - ak vám záleží na výsledku","Dolný Kubín"
JuJBn5ZeVAm,rent,"2-room apartment","partially renovated","okres Žilina",Žilina,Hliny,"Realitná kancelária",Bratislava
Juk9u-rNEqG,rent,"2-room apartment","fully renovated","okres Bytča",Bytča,"Veľká Bytča","Fortio Popper s.r.o.",Bytča
JuNRFKe9B5N6,sale,"4-room apartment","new construction","okres Martin",Sučany,Sučany,"TARGETreal s. r. o.",Žilina
JuG99-vnL8U,sale,"4-room apartment","new construction","okres Martin",Martin,Košúty,"Reality Alpia",Martin
JuvzAFSDr4x,sale,"3-room apartment","new construction","okres Žilina",Žilina,Bôrik,"Realitná kancelária",Bratislava
JuDorfwK08d,rent,"2-room apartment","partially renovated","okres Martin",Martin,Stred,"FINREA - ak vám záleží na výsledku","Dolný Kubín"
Jul_OGhX8QT,sale,"3-room apartment","partially renovated","okres Ružomberok",Ružomberok,Hrabovo,"Piešťany Reality",Piešťany
Ju7UFzA6VtL,sale,"2-room apartment","new construction","okres Žilina",Žilina,"Staré mesto","WFG reality, s.r.o.",Žilina
Ju9qrQrSqzm,rent,"studio apartment","new construction","okres Žilina",Žilina,Vlčince,NULL,NULL
Ju4Vd5pUjXm,sale,"3-room apartment","partially renovated","okres Liptovský Mikuláš","Liptovský Mikuláš","Staré mesto","Direct Real, spol. s r.o.",Bratislava
JuA1jb9HH8o,sale,"2-room apartment","partially renovated","okres Ružomberok",Ružomberok,"Staré mesto","Reality Alpia",Martin
JuVp8M6bnwG,rent,"3-room apartment","partially renovated","okres Liptovský Mikuláš","Liptovský Mikuláš",Palúdzka,"ŠIRINY, s.r.o.",Zvolen
JuKJT8WJuFF,rent,"1-room apartment","new construction","okres Čadca",Čadca,Centrum,"HOLESTIAK.sk reality s.r.o.",Čadca
Ju8mh8KzH4f,rent,"2-room apartment","fully renovated","okres Liptovský Mikuláš","Liptovský Mikuláš","Staré mesto","Realitná kancelária Peter Hubka","Liptovský Mikuláš"
Ju9k2e7JWOr,sale,"1-room apartment","partially renovated","okres Martin",Turany,Turany,"Like Reality s.r.o.","Považská Bystrica"
JuXNm9NwSwi,sale,"3-room apartment","new construction","okres Žilina",Žilina,Hájik,"MGM reality",Žilina
JuOnQ9rym-h,sale,"4-room apartment","partially renovated","okres Žilina",Žilina,"Staré mesto","RIEŠIME BÝVANIE",Bratislava
JuFNpzHutiG,sale,"3-room apartment","partially renovated","okres Žilina",Žilina,Hliny,"TUreality s.r.o.",Žilina
JuZ8UmPHnMd,sale,"2-room apartment","fully renovated","okres Čadca",Staškov,Staškov,"SLNOVRAT, s.r.o.",Olešná
JuWLCChouGh,sale,"3-room apartment","new construction","okres Martin",Sučany,Sučany,"TARGETreal s. r. o.",Žilina
JuS6qI_HXQ_,sale,"4-room apartment","partially renovated","okres Žilina",Žilina,Bôrik,"1. Reality Rent, s.r.o.",Žilina
JuvIFSCKDaN,sale,"2-room apartment","fully renovated","okres Martin",Martin,Priekopa,"TUreality s.r.o.",Žilina
JuJITXm9Zsf,sale,"3-room apartment","fully renovated","okres Liptovský Mikuláš","Liptovská Kokava","Liptovská Kokava","ARBIZ real estate & finance s. r. o.",Ružomberok
JueaFakyLvY,sale,"3-room apartment","development project","okres Žilina",Žilina,"Staré mesto","KORSO Project, s.r.o.",Žilina
Ju1F-eiNHx4,sale,"3-room apartment","fully renovated","okres Žilina",Žilina,"Staré mesto","RIEŠIME BÝVANIE",Bratislava
JuL3MT7o1WL,sale,"2-room apartment","fully renovated","okres Martin",Martin,Stred,"Realitná kancelária",Bratislava
Ju_qGSnLBzz,rent,"2-room apartment","new construction","okres Bytča",Bytča,"Thurzove sady",NULL,NULL
JuhigkHR5x2,sale,"4-room apartment","new construction","okres Liptovský Mikuláš","Demänovská Dolina","Demänovská Dolina","Occam New Home",Bratislava
Ju5eub1EsyB,sale,"3-room apartment","new construction","okres Žilina",Žilina,Bôrik,"Gro & Partners",Žilina
JuDetN4gLGy,sale,"holiday apartment","new construction","okres Liptovský Mikuláš","Demänovská Dolina","Demänovská Dolina","Tatra Invest",Podtureň
JuxJN0jj6xv,sale,"1-room apartment","new construction","okres Martin",Martin,Tomčany,"Reality AK, spol. s r.o.",Martin
JuQY1ZnmE4m,rent,"studio apartment","fully renovated","okres Dolný Kubín","Dolný Kubín",Brezovec,"OREA, s.r.o.","Dolný Kubín"
Ju9zHP-4dng,sale,"3-room apartment","partially renovated","okres Liptovský Mikuláš","Liptovský Mikuláš",Podbreziny,"HALO reality, s.r.o.",Prievidza
JuTy8iCXD6j,sale,"2-room apartment","new construction","okres Martin",Martin,Tomčany,"Reality AK, spol. s r.o.",Martin
JuMhyPasgwl,rent,"1-room apartment","fully renovated","okres Martin",Vrútky,"Horné Vrútky","B10 Slovensko, a. s.",Žilina
JuPet_Ep-JW,rent,"studio apartment","fully renovated","okres Liptovský Mikuláš","Liptovský Hrádok",NULL,"TUreality s.r.o.",Žilina
JuGJ3bcseaG,sale,"1-room apartment","partially renovated","okres Čadca",Čadca,Žarec,"Renovo Reality",Žilina
JuI3iwt9MRR,sale,"studio apartment","new construction","okres Dolný Kubín","Dolný Kubín",Brezovec,"OREA, s.r.o.","Dolný Kubín"
JumSU3uP1r7,sale,"holiday apartment","partially renovated","okres Čadca",Oščadnica,Oščadnica,NULL,NULL
JuCyeszuCeF,sale,"3-room apartment",unrenovated,"okres Čadca",Čadca,"Sídlisko 3",NULL,NULL
JuDZ3hA20uQ,sale,"4-room apartment","partially renovated","okres Dolný Kubín",Zázrivá,Zázrivá,"TUreality s.r.o.",Žilina
Ju1Cm4LoVXM,sale,"studio apartment","new construction","okres Ružomberok",Ružomberok,"Staré mesto",NULL,NULL
JuOOVFGvzwX,sale,"2-room apartment","new construction","okres Ružomberok","Liptovská Teplá","Liptovská Teplá",Limaxreal,"Liptovský Mikuláš"
JuuuYAHYGX8,sale,"2-room apartment","development project","okres Dolný Kubín","Dolný Kubín",Brezovec,NULL,NULL
Juw69usHNF6,rent,"3-room apartment","fully renovated","okres Žilina",Žilina,"Staré mesto","R2 SK, s.r.o.",Žilina
Jup6mGYDCrv,rent,"2-room apartment","fully renovated","okres Martin",Martin,Stred,"Reality Center, s.r.o.",Martin
Ju5R24o6GQR,sale,"3-room apartment",unrenovated,"okres Dolný Kubín","Dolný Kubín",Brezovec,"RK Dalmia s. r. o.","Dolný Kubín"
Ju8_AnIgnrX,sale,"2-room apartment","partially renovated","okres Čadca",Čadca,Žarec,"MENÍME BÝVANIE",Čadca
JuY4e0DxXsH,rent,"2-room apartment","new construction","okres Dolný Kubín","Dolný Kubín",Stred,"OREA, s.r.o.","Dolný Kubín"
Jue5OG4Sl5k,rent,"2-room apartment","fully renovated","okres Žilina",Žilina,"Staré mesto",NULL,NULL
Juo19uqWHqv,sale,"3-room apartment","fully renovated","okres Martin",Vrútky,"Horné Vrútky","Reality MT s.r.o.",Martin
JumQaXesU-y,rent,"studio apartment","new construction","okres Kysucké Nové Mesto","Kysucké Nové Mesto",Kamence,"Realitné kancelárie SR",Bratislava
JuEVg7e9gge,sale,"3-room apartment",unrenovated,"okres Martin",Martin,Záturčie,"R2 SK, s.r.o.",Žilina
JuXIzNjmik_,rent,"3-room apartment","fully renovated","okres Žilina",Žilina,"Staré mesto","Realitné kancelárie SR",Bratislava
Juv94EKwgh6,sale,"3-room apartment","new construction","okres Ružomberok","Liptovská Teplá","Liptovská Teplá","AstonReal s.r.o.","Banská Bystrica"
JukKH41KaWr,rent,"3-room apartment","fully renovated","okres Martin",Martin,Stred,"TUreality s.r.o.",Žilina
JuhxRDKuEfi,sale,"2-room apartment","new construction","okres Ružomberok","Liptovská Teplá","Liptovská Teplá",donidDevelop,"Dolný Kubín"
JuRJykTdszG,sale,"4-room apartment","fully renovated","okres Martin",Sučany,Sučany,"JKV REAL",Prievidza
JuDJ_hnDscM,sale,"2-room apartment","fully renovated","okres Martin",Martin,Stred,"Realitná kancelária",Bratislava
JulzEF1iR1R,sale,"2-room apartment","fully renovated","okres Žilina",Žilina,"Staré mesto","ŽILINAREAL, s.r.o.",Žilina
Jus2f1I5Shb,sale,"3-room apartment","partially renovated","okres Žilina",Žilina,Hliny,"MGM reality",Žilina
JuWzCETm2y0,rent,"3-room apartment","fully renovated","okres Čadca",Čadca,Kyčerka,"SLNOVRAT, s.r.o.",Olešná
Ju12shpSBga,sale,"3-room apartment","new construction","okres Liptovský Mikuláš","Liptovský Mikuláš",Demänová,"RESIDENCE realitná kancelária","Liptovský Mikuláš"
JuXnw8EKWYI,sale,"3-room apartment","new construction","okres Žilina",Žilina,"Staré mesto","RS Mansory s.r.o.",Bratislava
JuJM07aUO0O,sale,"5+ room apartment","partially renovated","okres Žilina",Žilina,Hliny,"RIEŠIME BÝVANIE",Bratislava
JuVtdEgquxp,sale,"3-room apartment","new construction","okres Dolný Kubín","Dolný Kubín",Brezovec,"OREA, s.r.o.","Dolný Kubín"
JuP6qyzD4rb,sale,"holiday apartment","new construction","okres Liptovský Mikuláš","Liptovský Mikuláš",Demänová,"RK SPIRIT s.r.o.","Liptovský Mikuláš"
JuP-xJVwuxh,sale,"3-room apartment","new construction","okres Martin","Košťany nad Turcom","Košťany nad Turcom","B10 Slovensko, a. s.",Žilina
Ju2skZ_XIuH,rent,"3-room apartment","partially renovated","okres Čadca",Čierne,Čierne,NULL,NULL
JuxYMJGR4NW,sale,"1-room apartment","partially renovated","okres Ružomberok",Ružomberok,Baničné,"OVERENÉ REALITY","Banská Bystrica"
JuWx4I1iGWR,rent,"2-room apartment","new construction","okres Námestovo",Mútne,Mútne,"BeMi realitná kancelária",Nitra
Jubx4f_wHQY,sale,"3-room apartment",unrenovated,"okres Žilina",Žilina,Vlčince,"RK4 REALITY",Bratislava
JuBjT8MmAiR,sale,"3-room apartment","under construction","okres Kysucké Nové Mesto","Kysucké Nové Mesto",Kamence,"Istrofinal, s. r. o.",Žilina
Ju8qAJxGCh0,sale,"3-room apartment","partially renovated","okres Martin",Martin,Záturčie,"Mgr. Silvia Lukáčová - RealPoint",Martin
Ju-DovddXIY,sale,"2-room apartment",unrenovated,"okres Liptovský Mikuláš","Liptovský Mikuláš","Vrbica - Nábrežie","RE/MAX Slovakia",Bratislava
Ju6ap4Twr5W,rent,"3-room apartment","partially renovated","okres Ružomberok",Ružomberok,Klačno,NULL,NULL
JuVlvDHUEHV,rent,"2-room apartment","fully renovated","okres Dolný Kubín","Dolný Kubín",Mokraď,"OREA, s.r.o.","Dolný Kubín"
JukzS9fkGsH,rent,"3-room apartment","fully renovated","okres Žilina",Žilina,Vlčince,"Safe reality s. r. o.",Žilina
Jum2zoM9dK0,sale,"2-room apartment","new construction","okres Žilina",Žilina,Vlčince,"Reinoo a.s.",Žilina
JuwxWNhZHvq,rent,"2-room apartment","fully renovated","okres Žilina",Žilina,"Staré mesto","DreamReality s.r.o.",Žilina
JuNh7AtADFs,rent,"2-room apartment","new construction","okres Čadca","Krásno nad Kysucou",Kalinov,"MGM reality",Žilina
JuoVEcjPg5o,rent,"3-room apartment","new construction","okres Námestovo",Rabčice,Rabčice,"RE/MAX Slovakia",Bratislava
JuyUHlMcv_Q,rent,"3-room apartment","fully renovated","okres Kysucké Nové Mesto","Kysucké Nové Mesto",Kamence,"Realitná kancelária RED, s.r.o.",Žilina
JuXQxA2vSe6,sale,"2-room apartment","fully renovated","okres Žilina",Žilina,Vlčince,"EASY centrum bývania, s.r.o.",Žilina
Jufd89QZCSO,sale,"holiday apartment","new construction","okres Liptovský Mikuláš","Pavčina Lehota","Pavčina Lehota","PASS Reality, s.r.o.",Bratislava
Ju2hVjHchsA,sale,"2-room apartment","new construction","okres Martin",Martin,Stred,"Buby reality, s.r.o.",Žilina
