property_type,condition,location_district,gen_count,gen_avg_price,dis_count,dis_avg_price,price_diff
"3-room apartment","development project","okres Žilina",3,2359.596667,1,3628.760000,53.7872997852
"4-room apartment","new construction","okres Liptovský Mikuláš",38,2797.552667,5,2746.960000,-1.8084616457
"1-room apartment","new construction","okres Martin",42,3762.587436,8,3375.320000,-10.2925830319
"1-room apartment","partially renovated","okres Čadca",20,2834.321111,5,2690.757500,-5.0651851141
"studio apartment","new construction","okres Dolný Kubín",8,3284.020000,1,3996.000000,21.6801359310
"holiday apartment","partially renovated","okres Čadca",5,2725.797500,2,3000.000000,10.0595330357
"3-room apartment",unrenovated,"okres Čadca",68,1900.298036,7,1761.202857,-7.3196507266
"4-room apartment","partially renovated","okres Dolný Kubín",27,2030.536667,2,1831.830000,-9.7859186800
"studio apartment","new construction","okres Ružomberok",8,3284.020000,1,1815.800000,-44.7080103044
"2-room apartment","development project","okres Dolný Kubín",9,3654.186250,2,2716.670000,-25.6559514447
"2-room apartment","partially renovated","okres Čadca",67,2358.305690,8,1970.446667,-16.4465117752
"4-room apartment","fully renovated","okres Martin",40,2351.017179,10,2216.265000,-5.7316543751
"2-room apartment","fully renovated","okres Žilina",99,2597.321264,28,2955.898333,13.8056494578
"3-room apartment","new construction","okres Liptovský Mikuláš",110,2940.550842,20,3608.368889,22.7106444637
"1-room apartment","partially renovated","okres Ružomberok",20,2834.321111,3,2825.350000,-0.3165171005
"2-room apartment",unrenovated,"okres Liptovský Mikuláš",35,2167.317353,6,3059.835000,41.1807548980
"1-room apartment",unrenovated,"okres Námestovo",11,2780.075000,3,2435.900000,-12.3800616890
"3-room apartment","fully renovated","okres Tvrdošín",90,2484.530476,2,2216.035000,-10.8066887725
"2-room apartment","new construction","okres Tvrdošín",125,3419.646726,1,2988.100000,-12.6196288850
"3-room apartment","new construction","okres Kysucké Nové Mesto",110,2940.550842,6,2572.368000,-12.5208799910
"3-room apartment","fully renovated","okres Ružomberok",90,2484.530476,5,1972.633333,-20.6033754846
"2-room apartment","under construction","okres Liptovský Mikuláš",25,3072.047727,6,3457.133333,12.5351439893
