property_type,condition,location_district,location_area,gen_count,gen_avg_price,area_count,dis_avg_price,price_diff
"2-room apartment","new construction","okres Bytča","Veľká Bytča",125,3419.646726,1,3082.220000,-9.8672977953
"2-room apartment","new construction","okres Liptovský Mikuláš","Liptovská Ondrašová",125,3419.646726,1,3968.250000,16.0426885569
"4-room apartment","new construction","okres Čadca",Podzávoz,38,2797.552667,1,NULL,NULL
"holiday apartment","new construction","okres Liptovský Mikuláš",Demänová,93,4666.350909,15,4467.148182,-4.2689187094
"4-room apartment",unrenovated,"okres Žilina","Staré mesto",12,1876.870000,4,1740.945000,-7.2421105351
"1-room apartment","partially renovated","okres Liptovský Mikuláš",Dovalovo,20,2834.321111,1,2941.180000,3.7701758134
"holiday apartment","under construction","okres Turčianske Teplice",Stred,9,8126.663750,1,4459.460000,-45.1255750553
"2-room apartment","new construction","okres Čadca",Kyčerka,125,3419.646726,1,2170.320000,-36.5337950409
"3-room apartment","under construction","okres Martin",Jahodníky,24,2895.789524,5,2720.364000,-6.0579514687
"1-room apartment","fully renovated","okres Liptovský Mikuláš","Partizánska Ľupča",20,2915.345556,1,1916.670000,-34.2558210276
"2-room apartment","under construction","okres Martin",Jahodníky,25,3072.047727,8,2701.693333,-12.0556197986
"3-room apartment","fully renovated","okres Čadca",Raková,90,2484.530476,4,1882.350000,-24.2371941828
"2-room apartment","new construction","okres Liptovský Mikuláš","Malé Borové",125,3419.646726,7,3233.665714,-5.4386030752
"1-room apartment","under construction","okres Kysucké Nové Mesto",Kamence,8,2954.628571,1,1420.210000,-51.9327060620
"4-room apartment","partially renovated","okres Martin",Ľadoveň,27,2030.536667,2,2269.375000,11.7623255409
"2-room apartment","new construction","okres Žilina","Rajecké Teplice",125,3419.646726,5,3298.330000,-3.5476391487
"2-room apartment","fully renovated","okres Ružomberok",Bešeňová,99,2597.321264,2,3645.565000,40.3586476009
"2-room apartment","under construction","okres Ružomberok",Roveň,25,3072.047727,3,3087.710000,0.5098316951
"2-room apartment","partially renovated","okres Žilina",Hájik,67,2358.305690,3,2900.353333,22.9846217689
"4-room apartment","under construction","okres Ružomberok",Roveň,18,2779.408889,2,2744.840000,-1.2437496741
"3-room apartment","new construction","okres Námestovo",Zubrohlava,110,2940.550842,3,2012.825000,-31.5493896160
"2-room apartment","partially renovated","okres Žilina",Vlčince,67,2358.305690,2,2753.810000,16.7706973560
"3-room apartment","new construction","okres Námestovo","Oravské Veselé",110,2940.550842,2,1781.530000,-39.4150927590
"2-room apartment","new construction","okres Žilina",Hliny,125,3419.646726,2,3798.180000,11.0693678128
