offer_id,agency,property_type,property_category,condition,location_district,location_area,agency_listings,district_listings,agency_price_m2,district_avg_price,price_index
JulFrto6Z8R,"Tatra Invest","holiday apartment",apartment,"new construction","okres Liptovský Mikuláš","Demänovská Dolina",3,36,5294.12,5609.228333,-0.0561767705
JuJrBHwvfXe,"AstonReal s.r.o.","holiday apartment",apartment,"new construction","okres Liptovský Mikuláš","Demänovská Dolina",1,36,5217.39,5609.228333,-0.0698560140
JucIMMNEosV,"A-Byt Consult, s.r.o.","3-room apartment",apartment,"partially renovated","okres Ružomberok",Baničné,1,3,1932.84,1888.773333,0.0233308392
JuD8hcoEgT4,"Realitná kancelária RED, s.r.o.","2-room apartment",apartment,"new construction","okres Žilina",Vlčince,1,10,3229.73,3595.462000,-0.1017204465
Juv94EKwgh6,"AstonReal s.r.o.","3-room apartment",apartment,"new construction","okres Ružomberok","Liptovská Teplá",2,3,2730.50,2647.816667,0.0312269856
JuJEoP397IJ,"AstonReal s.r.o.","3-room apartment",apartment,"new construction","okres Ružomberok","Liptovská Teplá",2,3,2738.36,2647.816667,0.0341954691
Ju4SvmwHoAg,"FINREA - ak vám záleží na výsledku","3-room apartment",apartment,"new construction","okres Ružomberok","Liptovská Teplá",1,3,2474.59,2647.816667,-0.0654224551
Jup8gJ48Fqt,"KORSO Project, s.r.o.","2-room apartment",apartment,"new construction","okres Žilina","Staré mesto",1,8,4489.50,3751.466250,0.1967320778
JuBnUuJa9ic,"Financial Hotels Management, s.r.o.","2-room apartment",apartment,"new construction","okres Žilina","Staré mesto",2,8,3894.16,3751.466250,0.0380367943
Ju7UFzA6VtL,"WFG reality, s.r.o.","2-room apartment",apartment,"new construction","okres Žilina","Staré mesto",4,8,3903.77,3751.466250,0.0405984593
JuuOQAIf3eQ,"WFG reality, s.r.o.","2-room apartment",apartment,"new construction","okres Žilina","Staré mesto",4,8,3398.44,3751.466250,-0.0941035388
JuEK28Decyb,"WFG reality, s.r.o.","2-room apartment",apartment,"new construction","okres Žilina","Staré mesto",4,8,3793.18,3751.466250,0.0111193190
Ju6-B7-KyuQ,"WFG reality, s.r.o.","2-room apartment",apartment,"new construction","okres Žilina","Staré mesto",4,8,3793.18,3751.466250,0.0111193190
Ju4Vd5pUjXm,"Direct Real, spol. s r.o.","3-room apartment",apartment,"partially renovated","okres Liptovský Mikuláš","Staré mesto",1,2,2307.68,2050.065000,0.1256618693
JuA1jb9HH8o,"Reality Alpia","2-room apartment",apartment,"partially renovated","okres Ružomberok","Staré mesto",1,2,2259.79,2154.175000,0.0490280502
Ju9k2e7JWOr,"Like Reality s.r.o.","1-room apartment",apartment,"partially renovated","okres Martin",Turany,1,2,2236.84,2418.420000,-0.0750820784
JuXNm9NwSwi,"MGM reality","3-room apartment",apartment,"new construction","okres Žilina",Hájik,1,7,2932.00,2949.562857,-0.0059543932
JuOnQ9rym-h,"RIEŠIME BÝVANIE","4-room apartment",apartment,"partially renovated","okres Žilina","Staré mesto",1,3,2517.24,2360.743333,0.0662912672
JuGJ3bcseaG,"Renovo Reality","1-room apartment",apartment,"partially renovated","okres Čadca",Žarec,1,3,2341.22,2431.283333,-0.0370435365
JuhxRDKuEfi,donidDevelop,"2-room apartment",apartment,"new construction","okres Ružomberok","Liptovská Teplá",1,4,2620.69,2613.040000,0.0029276245
JuOOVFGvzwX,Limaxreal,"2-room apartment",apartment,"new construction","okres Ružomberok","Liptovská Teplá",1,4,2731.71,2613.040000,0.0454145363
Ju5R24o6GQR,"RK Dalmia s. r. o.","3-room apartment",apartment,unrenovated,"okres Dolný Kubín",Brezovec,1,2,2094.10,2484.550000,-0.1571511944
Ju1BpgSKaaX,"MGM reality","2-room apartment",apartment,"partially renovated","okres Čadca",Žarec,1,4,1960.16,2030.935000,-0.0348484811
Ju8_AnIgnrX,"MENÍME BÝVANIE","2-room apartment",apartment,"partially renovated","okres Čadca",Žarec,1,4,2092.05,2030.935000,0.0300920512
Juo19uqWHqv,"Reality MT s.r.o.","3-room apartment",apartment,"fully renovated","okres Martin","Horné Vrútky",1,4,2088.24,2079.015000,0.0044371974
JuEVg7e9gge,"R2 SK, s.r.o.","3-room apartment",apartment,unrenovated,"okres Martin",Záturčie,1,4,2070.11,1655.357500,0.2505516180
JulzEF1iR1R,"ŽILINAREAL, s.r.o.","2-room apartment",apartment,"fully renovated","okres Žilina","Staré mesto",2,12,2234.96,2789.291667,-0.1987356409
JukTLg0JPLo,"ŽILINAREAL, s.r.o.","2-room apartment",apartment,"fully renovated","okres Žilina","Staré mesto",2,12,2613.33,2789.291667,-0.0630847140
Ju12shpSBga,"RESIDENCE realitná kancelária","3-room apartment",apartment,"new construction","okres Liptovský Mikuláš",Demänová,1,2,4369.64,5448.710000,-0.1980413713
Ju2W2fwASSP,"TUreality s.r.o.","3-room apartment",apartment,"new construction","okres Dolný Kubín",Brezovec,1,2,3049.48,2558.525000,0.1918898584
JuVtdEgquxp,"OREA, s.r.o.","3-room apartment",apartment,"new construction","okres Dolný Kubín",Brezovec,1,2,2067.57,2558.525000,-0.1918898584
JuXQxA2vSe6,"EASY centrum bývania, s.r.o.","2-room apartment",apartment,"fully renovated","okres Žilina",Vlčince,1,4,3785.71,2931.480000,0.2913988838
Ju2hVjHchsA,"Buby reality, s.r.o.","2-room apartment",apartment,"new construction","okres Martin",Stred,2,6,2902.19,2769.700000,0.0478355057
JuLuLPY-Qsq,"Buby reality, s.r.o.","2-room apartment",apartment,"new construction","okres Martin",Stred,2,6,2309.43,2769.700000,-0.1661804528
JuPDRHaKHGy,"ŽILINAREAL, s.r.o.","2-room apartment",apartment,"fully renovated","okres Žilina",Hliny,1,3,2830.51,2889.576667,-0.0204412874
Ju9Zm5FKDvx,"Realitná kancelária RED, s.r.o.","2-room apartment",apartment,"fully renovated","okres Žilina",Hliny,1,3,2929.31,2889.576667,0.0137505723
JuzzHVLtL7p,"Vianema s.r.o.","3-room apartment",apartment,"fully renovated","okres Tvrdošín",Medvedzie,1,2,2246.36,2216.035000,0.0136843507
JuZK70yldNu,"OVERENÉ REALITY","1-room apartment",apartment,"new construction","okres Liptovský Mikuláš","Liptovská Mara - Tatralandia",1,2,3461.54,3314.105000,0.0444871240
JukBZSTP0a5,"TARGETreal s. r. o.","2-room apartment",apartment,"new construction","okres Turčianske Teplice",Stred,1,2,3180.00,4070.915000,-0.2188488337
JuWACwgZ0JW,"Reality Alpia","3-room apartment",apartment,"partially renovated","okres Bytča","Veľké Rovné",1,3,1784.52,1772.920000,0.0065428784
JunBxeMXtVv,"RIEŠIME BÝVANIE","3-room apartment",apartment,"partially renovated","okres Bytča","Veľké Rovné",2,3,1767.12,1772.920000,-0.0032714392
Ju2PTXS03nR,"RIEŠIME BÝVANIE","3-room apartment",apartment,"partially renovated","okres Bytča","Veľké Rovné",2,3,1767.12,1772.920000,-0.0032714392
Ju1v-rz6S-g,"TUreality s.r.o.","3-room apartment",apartment,unrenovated,"okres Žilina",Rajec,1,2,2187.50,2017.800000,0.0841014967
JuCtiU-W9oK,"BEEVAM, s.r.o.","3-room apartment",apartment,"fully renovated","okres Ružomberok",Klačno,1,2,1897.08,1968.275000,-0.0361712667
Ju6FesX3XoQ,"Realitná kancelária","3-room apartment",apartment,unrenovated,"okres Martin",Turany,1,2,1523.08,1442.095000,0.0561578814
JuJTUgZNUdL,"Reality D.P.A.","3-room apartment",apartment,unrenovated,"okres Martin",Turany,1,2,1361.11,1442.095000,-0.0561578814
JugdzCpEbZl,"KES - RV s.r.o.","2-room apartment",apartment,"partially renovated","okres Žilina",Hliny,1,5,2543.42,2605.696000,-0.0238999484
JuN-Pnp6KBM,"Safe reality s. r. o.","3-room apartment",apartment,unrenovated,"okres Čadca",Stred,1,2,1613.85,1606.925000,0.0043094731
JuJ1fx159Ms,OPENREALITY,"3-room apartment",apartment,unrenovated,"okres Čadca",Stred,1,2,1600.00,1606.925000,-0.0043094731
JuUWRcxAAYr,"KA Real","2-room apartment",apartment,"fully renovated","okres Liptovský Mikuláš","Staré mesto",2,9,1314.80,2172.504444,-0.3947998571
JuyIru5Z-bn,"KA Real","2-room apartment",apartment,"fully renovated","okres Liptovský Mikuláš","Staré mesto",2,9,2227.27,2172.504444,0.0252084897
JuhSIJae8jB,"Porto Real Group","holiday apartment",apartment,"new construction","okres Liptovský Mikuláš",Smrečany,1,2,3229.17,2983.845000,0.0822177425
Ju20KERTu8I,"RESIDENCE realitná kancelária","2-room apartment",apartment,unrenovated,"okres Liptovský Mikuláš",Podbreziny,1,3,2118.64,2122.606667,-0.0018687716
JuMrpN3u-gh,"Reality Alpia","2-room apartment",apartment,"under construction","okres Žilina",Hájik,1,2,3547.72,3414.465000,0.0390266118
Ju-seNslb4u,"Realitná kancelária RED, s.r.o.","2-room apartment",apartment,"partially renovated","okres Martin",Priekopa,1,3,1818.18,1915.433333,-0.0507735411
JuddoVYZYie,Limaxreal,"1-room apartment",apartment,"new construction","okres Ružomberok","Liptovská Teplá",1,2,2780.22,2853.905000,-0.0258190094
JuQxdKNuhGj,"Piata Avenue","3-room apartment",apartment,"partially renovated","okres Žilina","Staré mesto",1,5,2117.53,2835.822000,-0.2532923435
Ju4N6fIAndO,"TUreality s.r.o.","3-room apartment",apartment,"new construction","okres Liptovský Mikuláš","Liptovská Ondrašová",1,2,2454.41,2990.960000,-0.1793905636
JucceUznreI,"BEŇO REALITY","2-room apartment",apartment,"partially renovated","okres Liptovský Mikuláš","Staré mesto",1,4,2327.75,2345.485000,-0.0075613359
Jun4cFPr-JJ,"R2 SK, s.r.o.","2-room apartment",apartment,"new construction","okres Žilina",Závodie,1,3,3212.07,3181.266667,0.0096827259
Ju3z3M9TPDa,"GAMA Reality, s.r.o.","2-room apartment",apartment,"new construction","okres Žilina",Závodie,1,3,3019.23,3181.266667,-0.0509346383
JuDxBcaveH8,"Reality Center, s.r.o.","3-room apartment",apartment,unrenovated,"okres Martin","Horné Vrútky",1,2,1763.53,1640.590000,0.0749364558
Ju_5trjiiyY,"Piata Avenue","2-room apartment",apartment,"partially renovated","okres Žilina",Solinky,1,3,3326.53,3171.620000,0.0488425473
Ju1Fw0u3Cah,"Direct Real, spol. s r.o.","3-room apartment",apartment,unrenovated,"okres Liptovský Mikuláš","Vrbica - Nábrežie",1,3,2042.25,2054.363333,-0.0058963927
Jumr_ISbK0Z,"Reality Alpia","3-room apartment",apartment,"under construction","okres Žilina",Hájik,1,2,3344.87,2686.740000,0.2449548523
JucfuBBHTMn,"KA Real","1-room apartment",apartment,"fully renovated","okres Liptovský Mikuláš","Staré mesto",2,4,2277.78,2357.472500,-0.0338042119
JulUy_Gy-T7,"XEMAR realitná spoločnosť s.r.o.","1-room apartment",apartment,"fully renovated","okres Liptovský Mikuláš","Staré mesto",2,4,2284.76,2357.472500,-0.0308434139
JurI-U1p2qQ,"XEMAR realitná spoločnosť s.r.o.","1-room apartment",apartment,"fully renovated","okres Liptovský Mikuláš","Staré mesto",2,4,1638.73,2357.472500,-0.3048784238
JuTgtQtwGXl,"RE/MAX Slovakia","2-room apartment",apartment,"fully renovated","okres Martin",Sever,1,3,2431.67,2186.276667,0.1122425797
JuAoUEm3GbZ,"ALT REAL, s.r.o.","3-room apartment",apartment,unrenovated,"okres Martin",Ľadoveň,1,2,1486.49,1643.980000,-0.0957980024
JuTBls071FE,"B10 Slovensko, a. s.","holiday apartment",apartment,"new construction","okres Martin",Valča,1,3,3815.79,3121.503333,0.2224206073
JupjDJ9XYhE,"REALITY SPOLU","holiday apartment",apartment,"fully renovated","okres Ružomberok",Bešeňová,2,6,3804.12,3848.946667,-0.0116464765
JuoHqPCC27P,"REALITY SPOLU","holiday apartment",apartment,"fully renovated","okres Ružomberok",Bešeňová,2,6,3804.12,3848.946667,-0.0116464765
JueWH91Qt062,"DOMUM realitná spoločnosť s. r. o.","holiday apartment",apartment,"new construction","okres Ružomberok",Hrabovo,1,5,3093.75,3345.338000,-0.0752055547
JuPcc0iMceY,"ARCHEUS Partners a.s.","holiday apartment",apartment,"new construction","okres Ružomberok",Hrabovo,1,5,3330.77,3345.338000,-0.0043547169
JuODe5tlbwG,"FINREA - ak vám záleží na výsledku","4-room apartment",apartment,"partially renovated","okres Martin",Priekopa,1,2,2244.90,1848.255000,0.2146051275
Ju1vHkMA9-i,"RE/MAX Slovakia","3-room apartment",apartment,"new construction","okres Dolný Kubín",Stred,2,4,2716.30,2949.377500,-0.0790259979
Ju1cdYuex4G,"RE/MAX Slovakia","3-room apartment",apartment,"new construction","okres Dolný Kubín",Stred,2,4,2910.13,2949.377500,-0.0133070453
Ju-a60L4yJH,"FINREA - ak vám záleží na výsledku","2-room apartment",apartment,"new construction","okres Dolný Kubín",Brezovec,1,2,4278.07,3431.890000,0.2465638467
JuXll0okDmg,"Realitná kancelária RED, s.r.o.","2-room apartment",apartment,"new construction","okres Žilina",Bôrik,2,4,4653.85,3397.175000,0.3699176522
JuVUnBR3tKh,"Realitná kancelária RED, s.r.o.","2-room apartment",apartment,"new construction","okres Žilina",Bôrik,2,4,3229.73,3397.175000,-0.0492894832
JuAxXn7nLOP,"ŽILINAREAL, s.r.o.","2-room apartment",apartment,"new construction","okres Žilina",Bôrik,1,4,1240.83,3397.175000,-0.6347465173
JuyMZex0bdp,"Renovo Reality","2-room apartment",apartment,"new construction","okres Žilina",Bôrik,1,4,4464.29,3397.175000,0.3141183483
Jul4B6HJsMz,"MK-CORP s.r.o.","holiday apartment",apartment,"new construction","okres Ružomberok",Bešeňová,3,7,2791.18,3519.351429,-0.2069050061
JuF-0hmTSgb,"MK-CORP s.r.o.","holiday apartment",apartment,"new construction","okres Ružomberok",Bešeňová,3,7,3971.43,3519.351429,0.1284550805
Junr7vOGfgp,"MK-CORP s.r.o.","holiday apartment",apartment,"new construction","okres Ružomberok",Bešeňová,3,7,3021.74,3519.351429,-0.1413929353
JuEeA2GuHj3,"A-Byt Consult, s.r.o.","3-room apartment",apartment,"partially renovated","okres Ružomberok",Roveň,1,2,1387.46,1700.675000,-0.1841709909
JuV9QF4vC1L,"Reality AK, spol. s r.o.","3-room apartment",apartment,"partially renovated","okres Martin",Stred,1,6,2246.38,1915.233333,0.1729014744
JuSTl0QkI_h,"NajBývanie, s.r.o.","holiday apartment",apartment,"partially renovated","okres Ružomberok",Hrabovo,1,2,2338.24,2507.150000,-0.0673713180
JuJZPVcldrZ,"HMS Services, a. s.","4-room apartment",apartment,"new construction","okres Žilina",Vlčince,1,6,3143.08,3105.326667,0.0121576044
JuTc88Wux9w,"GARANT REALITY","2-room apartment",apartment,"fully renovated","okres Ružomberok",Polík,1,2,2017.86,2080.360000,-0.0300428772
Ju0FWK0oDmX,"Reality Alpia","1-room apartment",apartment,"under construction","okres Žilina",Hájik,1,2,3931.19,3771.195000,0.0424255442
JukheJ1B1aD,"RESIDENCE realitná kancelária","2-room apartment",apartment,"new construction","okres Liptovský Mikuláš","Demänovská Dolina",1,6,5986.84,5274.893333,0.1349689220
JuaBQ-omPcs,"Realitná kancelária","studio apartment",apartment,unrenovated,"okres Martin",Sever,1,2,3080.00,3080.000000,0.0000000000
JuBgCxlwRO1,"Pro Real, s. r. o. realitná kancelária","3-room apartment",apartment,unrenovated,"okres Kysucké Nové Mesto",Kamence,1,2,2397.44,2170.250000,0.1046837922
JuPoZE57z5D,"RK4 REALITY","4-room apartment",apartment,"fully renovated","okres Žilina",Vlčince,1,4,2430.89,2507.260000,-0.0304595455
JujdOeJ69tb,"Realitná kancelária","3-room apartment",apartment,unrenovated,"okres Martin",Jahodníky,2,3,1828.95,1887.360000,-0.0309479908
JuHzNQ7Qr-d,"Realitná kancelária","3-room apartment",apartment,unrenovated,"okres Martin",Jahodníky,2,3,1820.09,1887.360000,-0.0356423788
JuauSxK_Grt,"TUreality s.r.o.","3-room apartment",apartment,unrenovated,"okres Dolný Kubín","Veľký Bysterec",1,2,2076.92,2057.415000,0.0094803431
JuJvNTKAcv8,"MG real, s.r.o.","1-room apartment",apartment,"new construction","okres Kysucké Nové Mesto",Kamence,1,2,3685.71,3728.340000,-0.0114340430
JuBT9IU3F1g,"KORSO Project, s.r.o.","3-room apartment",apartment,"new construction","okres Žilina","Staré mesto",1,9,3682.75,3410.800000,0.0797320277
JupURRP8axF,"WFG reality, s.r.o.","4-room apartment",apartment,"new construction","okres Žilina","Staré mesto",1,7,3323.81,3508.330000,-0.0525948243
JufGDO__GbO,"KORSO Project, s.r.o.","4-room apartment",apartment,"new construction","okres Žilina","Staré mesto",3,7,3629.54,3508.330000,0.0345492015
JucmQgleApT,"KORSO Project, s.r.o.","4-room apartment",apartment,"new construction","okres Žilina","Staré mesto",3,7,3518.45,3508.330000,0.0028845633
Jun79Tn_Ep0,"KRALIKOVA reality","3-room apartment",apartment,"fully renovated","okres Žilina",Vlčince,1,5,3507.46,2883.514000,0.2163838983
JupEyEEjkVM,"Jacek reality s. r. o.","3-room apartment",apartment,"fully renovated","okres Žilina",Vlčince,1,5,2549.28,2883.514000,-0.1159120434
Ju6Co8ebtz8,"B10 Slovensko, a. s.","4-room apartment",apartment,"new construction","okres Žilina",Hájik,1,3,2557.25,2623.350000,-0.0251967904
JuluCbW3ZHE,"HMS Services, a. s.","3-room apartment",apartment,"new construction","okres Žilina",Vlčince,1,11,3357.08,3177.283636,0.0565880748
Ju7XXF2jsra,"Realitná kancelária RED, s.r.o.","3-room apartment",apartment,"new construction","okres Žilina",Vlčince,1,11,3621.21,3177.283636,0.1397188337
JuogofXpdYk,liptoreal,"holiday apartment",apartment,"new construction","okres Liptovský Mikuláš",Demänová,1,11,5192.31,4467.148182,0.1623321610
Ju6GKonKAZ1,"RESIDENCE realitná kancelária","holiday apartment",apartment,"new construction","okres Liptovský Mikuláš",Demänová,2,11,4764.18,4467.148182,0.0664924927
JuX5UJf-pU4,"RESIDENCE realitná kancelária","holiday apartment",apartment,"new construction","okres Liptovský Mikuláš",Demänová,2,11,5325.58,4467.148182,0.1921655121
Ju5yq04Fo6g,"REALITY SPOLU","holiday apartment",apartment,"new construction","okres Liptovský Mikuláš",Demänová,1,11,4756.76,4467.148182,0.0648314778
JuZFqxjae7G,"ML realitný& finančny servis s.r.o. , BrokerSoft s.r.o. , Monika Launerová - SZČO","holiday apartment",apartment,"new construction","okres Liptovský Mikuláš",Demänová,1,11,4189.19,4467.148182,-0.0622227360
JulDE6qv7sX,"Realitná kancelária DOM","4-room apartment",apartment,unrenovated,"okres Žilina","Staré mesto",1,4,1611.11,1740.945000,-0.0745773129
JuVooxZWg4s,"ŽILINAREAL, s.r.o.","4-room apartment",apartment,unrenovated,"okres Žilina","Staré mesto",1,4,2031.25,1740.945000,0.1667513908
JujxzbLeFDf,"STAREA, s. r. o.","2-room apartment",apartment,"new construction","okres Žilina","Rajecké Teplice",2,5,3058.63,3298.330000,-0.0726731406
Juea9VaEEz4,"STAREA, s. r. o.","2-room apartment",apartment,"new construction","okres Žilina","Rajecké Teplice",2,5,3033.44,3298.330000,-0.0803103389
JuKfm2wXtCP,"B10 Slovensko, a. s.","2-room apartment",apartment,"new construction","okres Žilina","Rajecké Teplice",1,5,4050.00,3298.330000,0.2278941161
JuauRurLCyp,"Realitné kancelárie SR","2-room apartment",apartment,"partially renovated","okres Žilina",Hájik,1,3,2924.49,2900.353333,0.0083219747
JudSBCw12x9,"TUreality s.r.o.","2-room apartment",apartment,"partially renovated","okres Žilina",Vlčince,1,2,2620.52,2753.810000,-0.0484020321
JuIhf4tExMf,"NajBývanie, s.r.o.","3-room apartment",apartment,"partially renovated","okres Martin","Horné Vrútky",1,6,1710.14,1730.700000,-0.0118795863
Ju5Pax6FaXd,"TUreality s.r.o.","2-room apartment",apartment,unrenovated,"okres Žilina",Hliny,1,4,2307.69,2579.510000,-0.1053766025
Ju_PmXVPtoo,"Crystin reality, s.r.o.","2-room apartment",apartment,unrenovated,"okres Žilina",Hliny,1,4,2725.45,2579.510000,0.0565766366
JuTapZ_iKYW,"Mamud Reality s. r. o.","3-room apartment",apartment,"fully renovated","okres Žilina","Staré mesto",1,9,3152.63,2757.621111,0.1432426258
JutKizwTOP3,"Reality IQ, s.r.o.","3-room apartment",apartment,"fully renovated","okres Žilina","Staré mesto",1,9,2724.95,2757.621111,-0.0118475707
JuUTD1Lj0lr,"Realitná kancelária RED, s.r.o.","3-room apartment",apartment,"fully renovated","okres Žilina","Staré mesto",2,9,2437.50,2757.621111,-0.1160859662
JuIQ6bOnZsGz,"Realitná kancelária RED, s.r.o.","3-room apartment",apartment,"fully renovated","okres Žilina","Staré mesto",2,9,3049.59,2757.621111,0.1058770865
Jujveqa78vA,"ŽILINAREAL, s.r.o.","3-room apartment",apartment,"fully renovated","okres Žilina","Staré mesto",1,9,2410.26,2757.621111,-0.1259640455
Ju4lV1--VGV,"Realitka pre každého","3-room apartment",apartment,"fully renovated","okres Žilina","Staré mesto",1,9,3361.88,2757.621111,0.2191232460
JuLJzHZSfxX,"RIEŠIME BÝVANIE","2-room apartment",apartment,unrenovated,"okres Martin",Sever,1,3,1757.14,1981.350000,-0.1131602190
Ju0roQQA2MK,"ML realitný& finančny servis s.r.o. , BrokerSoft s.r.o. , Monika Launerová - SZČO","holiday apartment",apartment,"new construction","okres Liptovský Mikuláš","Demänovská Dolina",1,36,4459.46,5609.228333,-0.2049779871
Jultmw18Gne,"Occam New Home","holiday apartment",apartment,"new construction","okres Liptovský Mikuláš","Demänovská Dolina",1,36,3498.45,5609.228333,-0.3763045837
JuX_Y10XQMs,"Juraj Hegyi Reality & Development s.r.o.","holiday apartment",apartment,"new construction","okres Liptovský Mikuláš","Demänovská Dolina",1,36,7407.22,5609.228333,0.3205417145
JuHNiSC8Wtj,"J.M.H. s.r.o.","holiday apartment",apartment,"new construction","okres Liptovský Mikuláš","Demänovská Dolina",2,36,3878.05,5609.228333,-0.3086303909
JuztOys4YDo,"J.M.H. s.r.o.","holiday apartment",apartment,"new construction","okres Liptovský Mikuláš","Demänovská Dolina",2,36,5300.00,5609.228333,-0.0551284980
Ju8yXfa5xfL,"TUreality s.r.o.","3-room apartment",apartment,"partially renovated","okres Ružomberok",Baničné,1,3,1879.08,1888.773333,-0.0051320785
Juxpt8YRG2_,"Reality Alpia","3-room apartment",apartment,"partially renovated","okres Ružomberok",Baničné,1,3,1854.40,1888.773333,-0.0181987602
JuEE_KosY1x,"Realitné kancelárie SR","2-room apartment",apartment,"new construction","okres Žilina","Staré mesto",1,8,2732.56,3751.466250,-0.2716021369
Ju0fvkzNIT_,"RESIDENCE realitná kancelária","3-room apartment",apartment,"partially renovated","okres Liptovský Mikuláš","Staré mesto",1,2,1792.45,2050.065000,-0.1256618693
JuIVoMRmHSz,"TUreality s.r.o.","1-room apartment",apartment,"partially renovated","okres Martin",Turany,1,2,2600.00,2418.420000,0.0750820784
JuXYI9YrjoJ,"ODEKO manažment s.r.o.","3-room apartment",apartment,"new construction","okres Žilina",Hájik,5,7,3119.67,2949.562857,0.0576719844
Juw-fZcag7r,"ODEKO manažment s.r.o.","3-room apartment",apartment,"new construction","okres Žilina",Hájik,5,7,2403.85,2949.562857,-0.1850148254
JuAF6zTk4aw,"ODEKO manažment s.r.o.","3-room apartment",apartment,"new construction","okres Žilina",Hájik,5,7,3110.78,2949.562857,0.0546579784
Ju-lEoc2XSC,"ODEKO manažment s.r.o.","3-room apartment",apartment,"new construction","okres Žilina",Hájik,5,7,2687.82,2949.562857,-0.0887395420
JuQKqXinTqJ,"ODEKO manažment s.r.o.","3-room apartment",apartment,"new construction","okres Žilina",Hájik,5,7,3460.82,2949.562857,0.1733331913
JukVrVsK1ht,"Realitná kancelária RED, s.r.o.","3-room apartment",apartment,"new construction","okres Žilina",Hájik,1,7,2932.00,2949.562857,-0.0059543932
JuwolRsTXje,"OVERENÉ REALITY","3-room apartment",apartment,"partially renovated","okres Liptovský Mikuláš",Podbreziny,1,4,2261.54,2326.605000,-0.0279656409
JunWCB0DrwG,"1. Reality Rent, s.r.o.","3-room apartment",apartment,unrenovated,"okres Čadca","Sídlisko 3",1,2,1822.58,1772.830000,0.0280624764
JuuQ3yxLaqS,"AstonReal s.r.o.","2-room apartment",apartment,"new construction","okres Ružomberok","Liptovská Teplá",2,4,2549.88,2613.040000,-0.0241710804
JuBe2LSvIsNx,"AstonReal s.r.o.","2-room apartment",apartment,"new construction","okres Ružomberok","Liptovská Teplá",2,4,2549.88,2613.040000,-0.0241710804
JuUS8gVE7MB,"JPE. Reality - Jozef Pajer","2-room apartment",apartment,"partially renovated","okres Čadca",Žarec,1,4,1945.15,2030.935000,-0.0422391657
JuxMPXZzAel,"BeMi realitná kancelária","2-room apartment",apartment,"partially renovated","okres Čadca",Žarec,1,4,2126.38,2030.935000,0.0469955956
Ju7yQFu2G0Z,"Realitná kancelária","3-room apartment",apartment,"fully renovated","okres Martin","Horné Vrútky",1,4,2194.03,2079.015000,0.0553218712
Ju4y_fscQPu,"FINREA - ak vám záleží na výsledku","3-room apartment",apartment,"fully renovated","okres Martin","Horné Vrútky",1,4,1645.88,2079.015000,-0.2083366402
JuQKd8tqljP,"LIF REAL","3-room apartment",apartment,unrenovated,"okres Martin",Záturčie,1,4,1500.00,1655.357500,-0.0938513282
JuGtWZEOQoM,"TUreality s.r.o.","2-room apartment",apartment,"fully renovated","okres Žilina","Staré mesto",1,12,3000.00,2789.291667,0.0755418788
JupinWd8ZQVD,"TARGETreal s. r. o.","2-room apartment",apartment,"fully renovated","okres Žilina","Staré mesto",1,12,2750.00,2789.291667,-0.0140866111
Jus-41FaUT-,"Safe reality s. r. o.","2-room apartment",apartment,"fully renovated","okres Žilina","Staré mesto",1,12,2768.75,2789.291667,-0.0073644744
Juo05IpENrn,"Svoboda&Williams Slovakia s.r.o.","3-room apartment",apartment,"new construction","okres Liptovský Mikuláš",Demänová,1,2,6527.78,5448.710000,0.1980413713
JuMvMAnJyAh,"Reality Center, s.r.o.","2-room apartment",apartment,"new construction","okres Martin",Stred,1,6,3163.27,2769.700000,0.1420984222
JuR1WqY3g_N,"Georgi Conev","2-room apartment",apartment,"fully renovated","okres Žilina",Hliny,1,3,2908.91,2889.576667,0.0066907147
JuQydtvhuaC,"TUreality s.r.o.","3-room apartment",apartment,"fully renovated","okres Tvrdošín",Medvedzie,1,2,2185.71,2216.035000,-0.0136843507
Ju-rzMotwKF,"ARCHEUS Partners a.s.","1-room apartment",apartment,"new construction","okres Liptovský Mikuláš","Liptovská Mara - Tatralandia",1,2,3166.67,3314.105000,-0.0444871240
Juuarx0CWmR,"Estate Invest","2-room apartment",apartment,"new construction","okres Turčianske Teplice",Stred,1,2,4961.83,4070.915000,0.2188488337
JuAyS5TfUDQ,"Direct Real, spol. s r.o.","3-room apartment",apartment,unrenovated,"okres Žilina",Rajec,1,2,1848.10,2017.800000,-0.0841014967
Jut2p_8fnwk,"AstonReal s.r.o.","3-room apartment",apartment,"fully renovated","okres Ružomberok",Klačno,1,2,2039.47,1968.275000,0.0361712667
JuNxbiZtMJl,"StorkReal s. r. o.","2-room apartment",apartment,"partially renovated","okres Žilina",Hliny,1,5,2983.87,2605.696000,0.1451335843
JuqcGRiE3sH,"OVERENÉ REALITY","2-room apartment",apartment,"fully renovated","okres Liptovský Mikuláš","Staré mesto",1,9,2173.91,2172.504444,0.0006469750
JuPkeS3sVco,"Direct Real, spol. s r.o.","2-room apartment",apartment,"fully renovated","okres Liptovský Mikuláš","Staré mesto",1,9,2794.64,2172.504444,0.2863679095
JuGTmonCdFp,"Realitné kancelárie SR","2-room apartment",apartment,"fully renovated","okres Liptovský Mikuláš","Staré mesto",1,9,2071.24,2172.504444,-0.0466118467
JuwJKqBh04b,"AstonReal s.r.o.","2-room apartment",apartment,"fully renovated","okres Liptovský Mikuláš","Staré mesto",1,9,2380.00,2172.504444,0.0955098419
