offer_id,agency,property_type,property_category,condition,location_district,location_area,agency_listings,district_listings,agency_price_m2,district_avg_price,price_index
JuDFS7ZcUKC,"AP REAL, s.r.o.","standard plot",land,NULL,"okres Čadca",Makov,1,5,29.00,52.086000,-0.4432285067
Ju_mTTZVoJx,"DreamReality s.r.o.","standard plot",land,NULL,"okres Žilina","Kotrčiná Lúčka",1,4,98.28,95.720000,0.0267446720
JuGRHQWEm6t,"Real Estate Group4U","standard plot",land,NULL,"okres Žilina",Divina,1,2,259.56,194.965000,0.3313158772
JudMigoHhfK,"TUreality s.r.o.","small plot",land,NULL,"okres Liptovský Mikuláš","Liptovská Sielnica",1,5,90.00,75.252000,0.1959815022
Junb65_vEvr,"Safe reality s. r. o.","large plot",land,NULL,"okres Žilina","Kotrčiná Lúčka",1,3,53.27,65.560000,-0.1874618670
JuGs0JNeT94,"TARGETreal s. r. o.","extra large plot",land,NULL,"okres Liptovský Mikuláš","Liptovská Anna",1,2,100.00,100.000000,0.0000000000
JuNiupBfJ_W,"Trioreality, s.r.o.","standard plot",land,NULL,"okres Čadca",Oščadnica,1,3,110.00,85.423333,0.2877043793
Ju7pU7Ouw32,"RECLOUD Reality a.s.","standard plot",land,NULL,"okres Čadca",Korňa,1,3,25.06,27.493333,-0.0885062935
JusTHrdS9S-,"TRI LIPY, s. r. o.","standard plot",land,NULL,"okres Čadca",Korňa,1,3,33.08,27.493333,0.2032007905
JuyY6pWleh8,"BALAŽI REAL ESTATE s.r.o.","standard plot",land,NULL,"okres Martin","Košťany nad Turcom",1,2,124.25,102.995000,0.2063692412
JuscZOsY1gt,"Safe reality s. r. o.","standard plot",land,NULL,"okres Čadca",Staškov,1,5,55.56,54.130000,0.0264178829
JuvZDfX9h0j,"HOLESTIAK.sk reality s.r.o.","standard plot",land,NULL,"okres Čadca",Staškov,1,5,82.00,54.130000,0.5148716054
JupHBupprCN,"Vianema s.r.o.","extra large plot",land,NULL,"okres Bytča","Veľké Rovné",1,2,30.27,42.635000,-0.2900199367
JufNsLwTyrG,"Piata Avenue","extra large plot",land,NULL,"okres Martin",Tomčany,1,2,57.40,58.700000,-0.0221465077
JuOPdmvhEwO,"B10 Slovensko, a. s.","small plot",land,NULL,"okres Martin",Necpaly,1,2,108.48,101.020000,0.0738467630
JuMkkypcseP,"Pro Real, s. r. o. realitná kancelária","standard plot",land,NULL,"okres Kysucké Nové Mesto",Suľkov,1,2,117.65,119.235000,-0.0132930767
JuUM9axhhyU,"Realitné kancelárie SR","large plot",land,NULL,"okres Žilina","Lietavská Svinná-Babkov",1,2,77.58,98.790000,-0.2146978439
Ju_yHqt6C9a,"BEŇO REALITY","small plot",land,NULL,"okres Liptovský Mikuláš",Podbreziny,1,6,198.14,186.811667,0.0606403935
JuN4Ko5MTcJ,"Direct Real, spol. s r.o.","small plot",land,NULL,"okres Liptovský Mikuláš",Podbreziny,1,6,159.43,186.811667,-0.1465736452
Ju7IL3wpb9W,"RS Mansory s.r.o.","standard plot",land,NULL,"okres Čadca",Raková,1,7,60.19,74.402857,-0.1910256887
JuRt0myx8AI,"1. Reality Rent, s.r.o.","standard plot",land,NULL,"okres Čadca",Raková,1,7,99.90,74.402857,0.3426903755
