house_no,actual_price_m2,predicted_price_m2
278,3628.57,3028.91
279,3428.57,3028.91
280,1564.89,1736.13
281,592.98,668.36
282,169.23,18.22
283,1625.00,1826.84
284,2102.80,1735.4
285,1054.29,1389.79
286,1603.98,1921.54
287,1245.00,1455.41
288,997.14,1389.79
289,503.37,946.7
290,1500.00,1530.08
291,4990.57,2640.47
292,138.09,48.68
293,503.37,946.7
294,311.00,911.25
295,1860.00,1379.37
296,350.00,55.93
297,928.57,1069.43
298,2464.29,2474.22
299,2222.22,1713.89
300,332.54,800.71
301,2191.67,1522.38
302,906.25,989.46
303,4239.13,2718.08
304,1552.91,2402.51
305,645.54,1291.14
306,3250.73,2545.12
307,1552.43,2229.27
308,1472.18,1857.74
309,2332.22,1928.81
310,1275.00,1429.52
311,542.42,969.22
312,933.33,1270.72
313,2753.85,1904.5
314,1782.74,2059.85
315,3109.09,2248.02
316,0.00,742.83
317,883.33,1403.15
318,2457.14,2249.47
319,2416.67,2017.32
320,558.82,950.89
321,600.00,933.08
322,1055.56,1379.83
323,1999.00,2107.72
324,1411.48,1890.01
325,2570.97,2293.14
326,1330.65,2248.27
327,1411.48,1890.01
328,1999.00,2300.87
329,1218.75,1292.43
330,1218.75,1292.43
331,3511.45,2240.57
332,3511.45,2240.57
333,3511.45,2237.07
334,1330.65,2248.27
335,621.43,887.24
336,950.00,836.92
337,326.46,638.88
338,1250.00,1422.08
339,2237.50,2024.03
340,1352.94,1202.79
341,863.33,791.64
342,596.54,692.89
343,596.54,692.89
344,596.54,692.89
345,1750.00,1426.18
346,1076.00,1289.61
347,1075.00,1364.17
348,1438.89,1871.7
349,1076.00,1289.61
350,2213.57,1570.34
351,2000.00,1785.15
352,253.81,563.12
353,3083.33,2546.41
354,2098.95,1885.46
355,889.88,1392.9
356,1947.92,1540.64
357,537.69,782.43
358,1738.46,1630.1
359,2461.54,1851.45
360,2307.69,2015.87
361,933.96,2137.97
362,2961.54,2503.42
363,1519.84,2280.02
364,2571.43,2697.67
365,2231.40,2319.27
366,1793.33,1636.2
367,1715.85,2383.11
368,2500.00,2245.56
369,653.85,720.88
370,118.25,27.64
371,2065.70,1135.97
372,117.19,454.69
373,173.67,213.69
374,213.31,-17.43
375,1236.36,1217.27
376,780.70,809.57
377,665.83,780.63
378,185.29,60.41
379,720.00,999.56
380,869.13,613.64
381,1000.00,1569.94
382,2345.45,2162.99
383,686.67,1045.78
384,1961.54,1928.4
385,1205.29,1727.44
386,2318.18,2210.1
387,2232.67,2144.65
388,1395.42,1873.19
389,232.88,1190.03
390,2920.21,1800.52
391,2584.27,2371.78
392,1395.42,1873.19
393,515.87,616.79
394,757.83,688.96
395,821.74,1313.51
396,2100.00,1891.19
397,405.22,1354.68
398,821.74,1313.51
399,2153.85,1857.2
400,2375.00,2577.81
401,1544.44,1928.87
402,211.17,321.5
403,890.00,1154.38
404,1336.63,1311.69
405,448.47,160.98
406,555.00,2895.92
407,1468.75,980.5
408,899.67,2600.89
409,1300.00,1877.71
410,1142.86,1391.65
411,1625.00,1541.7
412,1300.00,1808.96
413,1435.00,2076.27
414,2361.33,2243.14
415,1109.12,1496.07
416,1586.67,1382.81
417,1538.46,1470.58
418,273.21,744.26
419,2193.33,1957.71
420,1493.53,1676.54
421,536.91,1267.95
422,2276.49,1907.25
423,1249.88,1435.71
424,1645.51,1951.08
425,954.55,1259.94
426,1833.33,2533.99
427,0.00,1302.86
428,1619.05,1078.59
429,1583.33,1565.98
430,3790.70,2366.97
431,573.77,1446.82
432,187.50,34.54
433,1280.49,1166.72
434,1300.00,1464.61
435,1180.91,1540.83
436,260.00,609.7
437,3074.77,2704.91
438,1189.29,1789.33
439,2551.66,2222.91
440,1020.00,610.36
441,354.17,399.82
442,866.67,780.28
443,1314.29,890.95
444,745.00,834.65
445,1909.00,1834.17
446,999.00,1065.47
447,573.08,697.11
448,3555.56,2594.05
449,1839.08,1536.48
450,1163.33,965.73
451,1276.92,1197.72
452,758.00,415.81
453,1400.00,888.03
454,1650.00,1649.2
455,1718.75,1894.8
456,3312.50,2442.7
457,2024.39,1581.05
458,856.43,929.12
459,1150.00,1172.47
460,2616.28,1836.07
461,837.84,1019.39
462,695.00,893.61
463,3061.54,2423.49
464,1083.33,734.68
465,428.57,541.36
466,747.51,616.87
467,1246.44,539.62
468,314.29,874.01
469,1789.86,1732.74
470,1393.55,1816.12
471,266.54,-507.87
472,1166.67,650.39
473,173.53,-242.87
474,1212.12,989.29
475,173.53,-242.87
476,1795.00,2384.14
477,2354.33,2624.12
478,3194.17,2819.77
479,3094.29,2140.4
480,440.00,1178.04
481,149.46,-415.64
482,1351.56,1280.56
483,710.53,1005.69
484,1998.18,2410.88
485,2441.18,2362.82
486,733.33,1418.31
487,2263.64,2319.21
488,2441.18,2362.82
489,2007.46,2205.23
490,2090.91,2600.68
491,2881.48,2133.5
492,314.72,688.14
493,2758.93,2087.07
494,2881.48,2130
495,1397.16,1507.31
496,463.53,1087.26
497,1044.55,1002.09
498,998.52,1209.57
499,816.11,815.01
500,296.50,887.68
501,575.00,544.87
502,749.50,649.12
503,947.26,1286.18
504,2213.57,1839.21
505,1325.00,1372.06
506,204.44,681.56
507,477.27,746.46
508,1056.25,1201.16
509,1035.00,1142.61
510,576.47,787.41
511,1555.56,1392.25
512,609.71,1701.89
513,2739.13,2370.42
514,1230.16,1479.48
515,961.47,1529.76
516,3809.52,2728.15
517,1103.63,2177.8
518,1103.63,2177.8
519,1743.21,2600.08
520,1454.55,1450.95
521,2420.17,2437.88
522,1230.00,1099.12
523,3062.50,2631.31
524,68.42,132.06
525,493.75,396.95
526,227.27,301.87
527,533.33,928.11
528,153.33,497.98
529,900.00,692
530,500.00,NULL
531,914.29,746.33
532,499.98,910.61
533,421.43,1353.1
534,519.96,638.62
535,2373.02,1942.89
536,378.57,787.06
537,804.76,784.02
538,836.96,775.91
539,1201.92,2214.94
540,1612.47,2021.79
541,1868.75,1818
542,1025.00,1002.08
543,933.33,846.49
544,2990.34,2033.04
545,218.37,565.77
546,2385.87,2262.78
547,3034.48,2470.31
548,1013.89,1008.48
549,850.00,1378.49
550,475.00,862.3
551,945.60,370.8
