offer_id,agency,property_type,property_category,condition,location_district,location_area,agency_listings,district_listings,agency_price_m2,district_avg_price,price_index,area_price_index,area_category
JuJSekEM4oc,"Apollo House","standard house",house,"new construction","okres Ružomberok","Liptovské Sliače",2,4,2441.18,2288.365000,0.0667791196,-0.0711715674,average
Ju3zQ1Nh4jQ,"Apollo House","standard house",house,"new construction","okres Ružomberok","Liptovské Sliače",2,4,2441.18,2288.365000,0.0667791196,-0.0711715674,average
Ju1cp4Zdad9,donidDevelop,"standard house",house,"new construction","okres Ružomberok","Liptovské Sliače",2,4,2007.46,2288.365000,-0.1227535817,-0.0711715674,average
Juq9xnQNQkn,donidDevelop,"standard house",house,"new construction","okres Ružomberok","Liptovské Sliače",2,4,2263.64,2288.365000,-0.0108046575,-0.0711715674,average
JuaDU5eWN9y,"ADH-REAL s.r.o. Hirjaková Adriana","standard house",house,"under construction","okres Čadca","Stará Bystrica",1,2,1645.51,1961.000000,-0.1608822030,-0.0256631012,average
Juwr4hT_Hw4,"Reality AK, spol. s r.o.","large house",house,"partially renovated","okres Martin",Priekopa,1,4,956.00,1109.977500,-0.1387212804,0.5581583932,premium
JucsRg9RieN,"Reality ASTORIA, s.r.o.","large house",house,"partially renovated","okres Martin",Priekopa,1,4,1572.58,1109.977500,0.4167674570,0.5581583932,premium
JuUMimgiwBf,"HALO reality, s.r.o.","standard house",house,unrenovated,"okres Kysucké Nové Mesto","Budatínska Lehota",1,2,1230.00,1342.275000,-0.0836453037,0.1388267065,expensive
JuBqrsBTBJs,"ALT REAL, s.r.o.","standard house",house,"new construction","okres Ružomberok","Staré mesto",1,2,1607.14,1049.725000,0.5310105028,-0.1477842693,average
JuE1L7QIb5r,"Reality Simply","large house",house,unrenovated,"okres Martin",Priekopa,1,2,1020.00,1020.000000,0.0000000000,0.5581583932,premium
JuRC_sngF0m,"1. Reality Rent, s.r.o.","large house",house,"fully renovated","okres Žilina",Terchová,1,4,2010.67,1635.102500,0.2296904934,0.1729012605,expensive
Ju0MsknUaYA,"Realitná kancelária RED, s.r.o.","large house",house,"fully renovated","okres Žilina",Terchová,2,4,1512.00,1635.102500,-0.0752873291,0.1729012605,expensive
Ju34HqZzlYZ,"Realitná kancelária RED, s.r.o.","large house",house,"fully renovated","okres Žilina",Terchová,2,4,1409.09,1635.102500,-0.1382252795,0.1729012605,expensive
Ju1tsUeFhRS,"TUreality s.r.o.","standard house",house,"fully renovated","okres Žilina",Rosina,1,2,1552.43,1552.670000,-0.0001545724,0.2682717788,expensive
JuiKlGUbKmU,"OREA, s.r.o.","large house",house,"partially renovated","okres Tvrdošín",Vitanová,1,2,933.33,979.165000,-0.0468102924,-0.2855176272,cheap
JuHEeYDAKYc,"Ing. Marcela Pišteková","large house",house,unrenovated,"okres Čadca",Zákopčie,1,2,475.00,1217.875000,-0.6099763933,-0.1802043847,average
Ju9NWPjsyPl,"HOLESTIAK.sk reality s.r.o.","large house",house,unrenovated,"okres Čadca",Zákopčie,1,2,1960.75,1217.875000,0.6099763933,-0.1802043847,average
