offer_id,agency,property_type,property_category,condition,location_district,location_area,agency_listings,district_listings,agency_price_m2,district_avg_price,price_index,area_price_index,area_category
JutUghljOFb,"TARGETreal s. r. o.","standard house",house,"new construction","okres Martin","Košťany nad Turcom",1,5,2657.96,2190.774000,0.2132515723,-0.0830285942,average
JuOxQMLskud,"ETHOS reality, s. r. o.","standard house",house,"new construction","okres Žilina",Mojš,1,2,1741.07,3008.290000,-0.4212426329,0.0039380882,average
JumiXs0CTuk,"RIEŠIME BÝVANIE","large house",house,unrenovated,"okres Žilina",Bôrik,1,2,1625.00,2234.375000,-0.2727272727,0.6153654994,premium
JuqQL7cMBce,"WFG reality, s.r.o.","large house",house,unrenovated,"okres Žilina",Bôrik,1,2,2843.75,2234.375000,0.2727272727,0.6153654994,premium
Ju5rRr5_rO4,"Realitná kancelária RED, s.r.o.","large house",house,"new construction","okres Žilina",Bitarová,1,3,1954.25,1898.290000,0.0294791628,0.0902103437,average
Ju3B-41JURa,"ŽILINAREAL, s.r.o.","large house",house,"new construction","okres Žilina",Bitarová,2,3,1870.31,1898.290000,-0.0147395814,0.0902103437,average
JurXt03mBLY,"ŽILINAREAL, s.r.o.","large house",house,"new construction","okres Žilina",Bitarová,2,3,1870.31,1898.290000,-0.0147395814,0.0902103437,average
Ju-DaLUFFrZO,"1. Reality Rent, s.r.o.","small house",house,unrenovated,"okres Čadca",Zákopčie,1,2,1013.89,931.945000,0.0879290087,-0.1802043847,average
JuvFd0GqZEL,"Romantické Chalupy, s.r.o.","small house",house,unrenovated,"okres Čadca",Zákopčie,1,2,850.00,931.945000,-0.0879290087,-0.1802043847,average
Ju_rwk44XIO,"MGM reality","large house",house,unrenovated,"okres Žilina",Závodie,1,2,1043.18,1216.035000,-0.1421464020,0.1524054311,expensive
JuTYVNH1hyq,"Realitná kancelária RED, s.r.o.","large house",house,unrenovated,"okres Žilina",Závodie,1,2,1388.89,1216.035000,0.1421464020,0.1524054311,expensive
JuEn5otkiFX,"ALT REAL, s.r.o.","large house",house,unrenovated,"okres Martin",Stráne,1,2,860.00,898.540000,-0.0428918023,-0.0089918347,average
JusBzzX4MYn,"Financie a reality od A po Z","large house",house,unrenovated,"okres Martin",Stráne,1,2,937.08,898.540000,0.0428918023,-0.0089918347,average
JuKaa51rOO4,"RES GROUP, s.r.o.","standard house",house,"new construction","okres Žilina",Turie,1,2,2354.33,2774.250000,-0.1513634316,0.4268231895,premium
JuWdcFlgLA9,"Realitná kancelária RED, s.r.o.","standard house",house,"new construction","okres Žilina",Turie,1,2,3194.17,2774.250000,0.1513634316,0.4268231895,premium
JuX-Od8Y1qK,"ŽILINAREAL, s.r.o.","large house",house,"fully renovated","okres Žilina","Malá Praha",1,2,1596.70,1596.350000,0.0002192502,0.7415410285,premium
JuIIElHC0cU,"1. Reality Rent, s.r.o.","large house",house,"fully renovated","okres Žilina","Malá Praha",1,2,1596.00,1596.350000,-0.0002192502,0.7415410285,premium
JuNWUZoKon_,"Realitné kancelárie SR","large house",house,"new construction","okres Žilina",Trnové,1,2,2961.54,2240.690000,0.3217089379,0.4033710286,premium
JuhhjX7seSg,"Reality IQ, s.r.o.","large house",house,"new construction","okres Žilina",Trnové,1,2,1519.84,2240.690000,-0.3217089379,0.4033710286,premium
JutBfnbUyCO,"SLNOVRAT, s.r.o.","large house",house,"partially renovated","okres Čadca",Stred,1,2,754.46,926.650000,-0.1858198888,-0.1367068093,average
JugwkPLjiSd,"KUBALA REALITY, s.r.o.","large house",house,"partially renovated","okres Čadca",Stred,1,2,1098.84,926.650000,0.1858198888,-0.1367068093,average
JuKdkYrCkFc,"Realitná kancelária RED, s.r.o.","standard house",house,unrenovated,"okres Žilina","Staré mesto",1,2,2233.33,2843.470000,-0.2145758527,0.2523570386,expensive
JuaNEutdar9,"TUreality s.r.o.","standard house",house,unrenovated,"okres Žilina","Staré mesto",1,2,3453.61,2843.470000,0.2145758527,0.2523570386,expensive
Ju2Gi9KH9b9,"Reality Alpia","extra large house",house,"partially renovated","okres Žilina",Varín,1,2,815.42,805.300000,0.0125667453,-0.0174866874,average
JuVUBQ_BboU,"Mamud Reality s. r. o.","extra large house",house,"partially renovated","okres Žilina",Varín,1,2,795.18,805.300000,-0.0125667453,-0.0174866874,average
JutVFvRJpYd,"Realitné kancelárie SR","large plot",land,NULL,"okres Žilina",Višňové,1,2,169.20,129.440000,0.3071693449,0.2264074791,expensive
Ju5Ehcheq2v,"RIEŠIME BÝVANIE","large plot",land,NULL,"okres Žilina",Višňové,1,2,89.68,129.440000,-0.3071693449,0.2264074791,expensive
JuG7n8qbXvU,"WFG reality, s.r.o.","small plot",land,NULL,"okres Žilina",Trnové,1,5,281.82,306.140000,-0.0794407787,0.4033710286,premium
JuAINHKEpb9,"Ing. Gerlinda Bérešová - Esti","small plot",land,NULL,"okres Žilina",Trnové,1,5,241.67,306.140000,-0.2105899262,0.4033710286,premium
JuZenYjsJ5j,"Safe reality s. r. o.","standard plot",land,NULL,"okres Žilina","Lietavská Svinná-Babkov",1,5,82.01,141.444000,-0.4201945646,0.0175395213,average
JuO__97iq4d,"RS Mansory s.r.o.","standard plot",land,NULL,"okres Žilina","Lietavská Svinná-Babkov",1,5,122.98,141.444000,-0.1305392947,0.0175395213,average
JujU-NvkZd5,"BALAŽI REAL ESTATE s.r.o.","standard plot",land,NULL,"okres Žilina","Lietavská Svinná-Babkov",1,5,135.43,141.444000,-0.0425185939,0.0175395213,average
JubBzZv3CZ4,"Realitné kancelárie SR","standard plot",land,NULL,"okres Žilina","Lietavská Svinná-Babkov",1,5,125.00,141.444000,-0.1162580244,0.0175395213,average
Ju55_tGfxfr,"KRUPPKY, s.r.o.","standard plot",land,NULL,"okres Liptovský Mikuláš",Stošice,1,3,150.00,119.300000,0.2573344510,-0.0247534358,average
JuWu8X5e0jn,"Direct Real, spol. s r.o.","standard plot",land,NULL,"okres Liptovský Mikuláš",Stošice,1,3,145.60,119.300000,0.2204526404,-0.0247534358,average
Juv_OE5QhUq,"EASY centrum bývania, s.r.o.","standard plot",land,NULL,"okres Žilina",Terchová,1,6,196.72,164.213333,0.1979538836,0.1729012605,expensive
Ju8TvPJCfAu,"HOLESTIAK.sk reality s.r.o.","standard plot",land,NULL,"okres Žilina",Terchová,1,6,135.80,164.213333,-0.1730269551,0.1729012605,expensive
JuV3Yr0Tkt7,"Realitné kancelárie SR","standard plot",land,NULL,"okres Žilina",Terchová,1,6,179.00,164.213333,0.0900454715,0.1729012605,expensive
JuSTrxbH01x,"B10 Slovensko, a. s.","standard plot",land,NULL,"okres Žilina",Terchová,1,6,153.76,164.213333,-0.0636570296,0.1729012605,expensive
Ju5paSEB6Nv,"RS Mansory s.r.o.","standard plot",land,NULL,"okres Žilina",Terchová,2,6,160.00,164.213333,-0.0256576791,0.1729012605,expensive
JuiAYjSrynL,"RS Mansory s.r.o.","standard plot",land,NULL,"okres Žilina",Terchová,2,6,160.00,164.213333,-0.0256576791,0.1729012605,expensive
JuzcT2nMl5E,"Mamud Reality s. r. o.","standard plot",land,NULL,"okres Kysucké Nové Mesto","Horný Vadičov",1,4,38.08,46.877500,-0.1876699909,-0.0528494707,average
JuX4tTXYKir,"SLNOVRAT, s.r.o.","standard plot",land,NULL,"okres Kysucké Nové Mesto","Horný Vadičov",1,4,35.21,46.877500,-0.2488933924,-0.0528494707,average
JuaCQD06zTh,"ROSA reality","standard plot",land,NULL,"okres Kysucké Nové Mesto","Horný Vadičov",1,4,65.22,46.877500,0.3912857981,-0.0528494707,average
JudOJ7xWOxA,"Reality Alpia","large plot",land,NULL,"okres Turčianske Teplice","Turčiansky Michal",1,2,65.00,52.500000,0.2380952381,-0.1108450076,average
Juv5TkPsj9T,"Reality Center, s.r.o.","large plot",land,NULL,"okres Turčianske Teplice","Turčiansky Michal",1,2,40.00,52.500000,-0.2380952381,-0.1108450076,average
JuicyD7lpub,"EASY centrum bývania, s.r.o.","standard plot",land,NULL,"okres Žilina",Budatín,1,9,108.75,280.980000,-0.6129617766,0.5129449150,premium
JuuNE4PQz6D,"RIEŠIME BÝVANIE","standard plot",land,NULL,"okres Žilina",Budatín,1,9,231.40,280.980000,-0.1764538401,0.5129449150,premium
JumDim2HAtJ,"X-REAL, s. r. o.","standard plot",land,NULL,"okres Žilina",Budatín,1,9,189.80,280.980000,-0.3245070824,0.5129449150,premium
Jur-h57QXWc,"Georgi Conev","standard plot",land,NULL,"okres Žilina",Budatín,1,9,178.30,280.980000,-0.3654352623,0.5129449150,premium
JuB6HhfZSPN,"WFG reality, s.r.o.","standard plot",land,NULL,"okres Žilina",Budatín,2,9,189.80,280.980000,-0.3245070824,0.5129449150,premium
JuEGNHbH38e,"WFG reality, s.r.o.","standard plot",land,NULL,"okres Žilina",Budatín,2,9,120.90,280.980000,-0.5697202648,0.5129449150,premium
JuRufzqYfTo,"Real Estate Group4U","standard plot",land,NULL,"okres Žilina",Budatín,3,9,558.64,280.980000,0.9881842124,0.5129449150,premium
JupQ7ehcKIt,"Real Estate Group4U","standard plot",land,NULL,"okres Žilina",Budatín,3,9,392.59,280.980000,0.3972168838,0.5129449150,premium
Juod5b-P5x2,"Real Estate Group4U","standard plot",land,NULL,"okres Žilina",Budatín,3,9,558.64,280.980000,0.9881842124,0.5129449150,premium
JuC0KIbI5oB,"1. Reality Rent, s.r.o.","large plot",land,NULL,"okres Čadca",Raková,1,8,75.00,54.851250,0.3673343816,-0.2205749760,average
Ju97QEdz5sX,"RS Mansory s.r.o.","large plot",land,NULL,"okres Čadca",Raková,1,8,62.93,54.851250,0.1472847018,-0.2205749760,average
Ju4d7oCmzgt,"SLNOVRAT, s.r.o.","large plot",land,NULL,"okres Čadca",Raková,3,8,60.00,54.851250,0.0938675053,-0.2205749760,average
Jug0yKTQ2pn,"SLNOVRAT, s.r.o.","large plot",land,NULL,"okres Čadca",Raková,3,8,55.00,54.851250,0.0027118799,-0.2205749760,average
JuBBCee0nxo,"SLNOVRAT, s.r.o.","large plot",land,NULL,"okres Čadca",Raková,3,8,26.00,54.851250,-0.5259907477,-0.2205749760,average
JuUooEhgJl4,"TRI LIPY, s. r. o.","large plot",land,NULL,"okres Čadca",Raková,1,8,68.88,54.851250,0.2557598961,-0.2205749760,average
JuEJOqphXdZ,"ETHOS reality, s. r. o.","large plot",land,NULL,"okres Čadca",Raková,1,8,65.00,54.851250,0.1850231307,-0.2205749760,average
Jus3WMnENIj,"WFG reality, s.r.o.","small plot",land,NULL,"okres Žilina",Zbyňov,2,3,65.00,99.783333,-0.3485886065,0.2098321937,expensive
Ju7Ywnw6_Bk,"WFG reality, s.r.o.","small plot",land,NULL,"okres Žilina",Zbyňov,2,3,65.00,99.783333,-0.3485886065,0.2098321937,expensive
JuUCvHHqEXR,"ŽILINAREAL, s.r.o.","standard plot",land,NULL,"okres Žilina",Krasňany,1,3,160.00,194.466667,-0.1772368886,0.2802335082,expensive
JuLSvBwv_I5,"RS Mansory s.r.o.","standard plot",land,NULL,"okres Žilina",Krasňany,1,3,250.00,194.466667,0.2855673615,0.2802335082,expensive
JugrI7ZBfpT,"1. Reality Rent, s.r.o.","standard plot",land,NULL,"okres Žilina",Krasňany,1,3,173.40,194.466667,-0.1083304780,0.2802335082,expensive
JuiwS-gpQB1,"B10 Slovensko, a. s.","large plot",land,NULL,"okres Martin",Laskár,1,2,68.00,68.000000,0.0000000000,-0.3342035163,cheap
Ju7o2vN-Kj5,"RES GROUP, s.r.o.","standard plot",land,NULL,"okres Žilina",Trnové,1,7,104.32,145.131429,-0.2812032465,0.4033710286,premium
Ju051T1JZ-l,"Realitné kancelárie SR","standard plot",land,NULL,"okres Žilina",Trnové,1,7,79.97,145.131429,-0.4489822050,0.4033710286,premium
JuPNAYZ0O8w,"RIEŠIME BÝVANIE","standard plot",land,NULL,"okres Žilina",Trnové,1,7,250.00,145.131429,0.7225765757,0.4033710286,premium
JuOd8JFAh_B,"Piata Avenue","standard plot",land,NULL,"okres Žilina",Trnové,1,7,230.00,145.131429,0.5847704497,0.4033710286,premium
Ju7_LrB_NNB,"BeMi realitná kancelária","standard plot",land,NULL,"okres Žilina",Trnové,1,7,73.76,145.131429,-0.4917710071,0.4033710286,premium
JuR5ionId5V,"ALT REAL, s.r.o.","standard plot",land,NULL,"okres Martin",Blatnica,2,3,117.24,113.220000,0.0355060943,-0.0280191227,average
JudYr0kY49Z,"ALT REAL, s.r.o.","standard plot",land,NULL,"okres Martin",Blatnica,2,3,117.24,113.220000,0.0355060943,-0.0280191227,average
Judk1z1b1Nd,"RECLOUD Reality a.s.","standard plot",land,NULL,"okres Martin",Blatnica,1,3,105.18,113.220000,-0.0710121887,-0.0280191227,average
Ju5LTX3e1H6,"BeMi realitná kancelária","small plot",land,NULL,"okres Čadca",Oščadnica,1,7,126.55,89.798571,0.4092651875,-0.2204248485,average
JuiaMHS2a8S,"SLNOVRAT, s.r.o.","small plot",land,NULL,"okres Čadca",Oščadnica,3,7,67.53,89.798571,-0.2479835787,-0.2204248485,average
JuVP0HZPxQP,"SLNOVRAT, s.r.o.","small plot",land,NULL,"okres Čadca",Oščadnica,3,7,85.63,89.798571,-0.0464213512,-0.2204248485,average
Ju-SZF8QBN4,"SLNOVRAT, s.r.o.","small plot",land,NULL,"okres Čadca",Oščadnica,3,7,56.10,89.798571,-0.3752684550,-0.2204248485,average
JuYxVfR__Nx,"HOLESTIAK.sk reality s.r.o.","small plot",land,NULL,"okres Čadca",Oščadnica,1,7,55.45,89.798571,-0.3825068775,-0.2204248485,average
JuIwevgorag,"Reality D.P.A.","standard plot",land,NULL,"okres Martin",Sučany,2,4,120.00,126.262500,-0.0495990496,-0.1913181231,average
JuWpmO3Yrkb,"Reality D.P.A.","standard plot",land,NULL,"okres Martin",Sučany,2,4,148.00,126.262500,0.1721611722,-0.1913181231,average
JulD1JVCqAd,"RECLOUD Reality a.s.","standard plot",land,NULL,"okres Martin",Sučany,1,4,113.86,126.262500,-0.0982278982,-0.1913181231,average
JuxusjEdK8z,"LAWIS s.r.o.","standard plot",land,NULL,"okres Martin",Sučany,1,4,123.19,126.262500,-0.0243342243,-0.1913181231,average
JubU6tCkKGs,"Kristína Čanády","standard plot",land,NULL,"okres Žilina",Ovčiarsko,1,6,126.11,111.521667,0.1308116476,-0.0235273024,average
Jukt7sZSrva,"TARGETreal s. r. o.","standard plot",land,NULL,"okres Žilina",Ovčiarsko,1,6,158.71,111.521667,0.4231315247,-0.0235273024,average
JuQ2QYedCFa,"Reality Now","standard plot",land,NULL,"okres Žilina",Ovčiarsko,1,6,80.00,111.521667,-0.2826506082,-0.0235273024,average
Juisb1V01uC,"RS Mansory s.r.o.","standard plot",land,NULL,"okres Žilina",Ovčiarsko,3,6,107.09,111.521667,-0.0397381703,-0.0235273024,average
JuAewW0gIjM,"RS Mansory s.r.o.","standard plot",land,NULL,"okres Žilina",Ovčiarsko,3,6,102.34,111.521667,-0.0823307905,-0.0235273024,average
JuQE6iaf57k,"RS Mansory s.r.o.","standard plot",land,NULL,"okres Žilina",Ovčiarsko,3,6,94.88,111.521667,-0.1492236213,-0.0235273024,average
JuUpsFDNSQ5,"Reality Now","small plot",land,NULL,"okres Žilina",Ovčiarsko,1,7,60.00,134.110000,-0.5526060696,-0.0235273024,average
Juh_NFZPlxN,"PRIMA reality s.r.o.","small plot",land,NULL,"okres Žilina",Ovčiarsko,1,7,179.00,134.110000,0.3347252256,-0.0235273024,average
JumG3BQ732C,"RIEŠIME BÝVANIE","small plot",land,NULL,"okres Žilina",Ovčiarsko,2,7,90.41,134.110000,-0.3258519126,-0.0235273024,average
JuMFxRcxLzj,"RIEŠIME BÝVANIE","small plot",land,NULL,"okres Žilina",Ovčiarsko,2,7,90.41,134.110000,-0.3258519126,-0.0235273024,average
JuWpZopSoYC,"TARGETreal s. r. o.","small plot",land,NULL,"okres Žilina",Ovčiarsko,1,7,185.00,134.110000,0.3794646186,-0.0235273024,average
Ju_nFFJjAlC,"R2 SK, s.r.o.","small plot",land,NULL,"okres Žilina",Ovčiarsko,1,7,182.59,134.110000,0.3614942957,-0.0235273024,average
Ju9rSU4gBpn,"DRR INVEST, s. r. o.","small plot",land,NULL,"okres Žilina",Ovčiarsko,1,7,151.36,134.110000,0.1286257550,-0.0235273024,average
JuPGBZu28Sz,"RE/MAX Slovakia","large plot",land,NULL,"okres Čadca",Oščadnica,1,6,53.53,34.530000,0.5502461628,-0.2204248485,average
JuGKRtmsaxJ,"1. Reality Rent, s.r.o.","large plot",land,NULL,"okres Čadca",Oščadnica,4,6,22.15,34.530000,-0.3585288155,-0.2204248485,average
Ju2UzK1gp3R,"1. Reality Rent, s.r.o.","large plot",land,NULL,"okres Čadca",Oščadnica,4,6,27.00,34.530000,-0.2180712424,-0.2204248485,average
JuiJEU2gvVS,"1. Reality Rent, s.r.o.","large plot",land,NULL,"okres Čadca",Oščadnica,4,6,48.00,34.530000,0.3900955691,-0.2204248485,average
JuDgMZQaDeJ,"1. Reality Rent, s.r.o.","large plot",land,NULL,"okres Čadca",Oščadnica,4,6,48.50,34.530000,0.4045757312,-0.2204248485,average
JuscYJe7Tsp,"Realitné kancelárie SR","standard plot",land,NULL,"okres Žilina",Bitarová,1,6,134.40,154.900000,-0.1323434474,0.0902103437,average
JuFMSKsdInV,"Realitná kancelária","standard plot",land,NULL,"okres Žilina",Bitarová,1,6,155.83,154.900000,0.0060038735,0.0902103437,average
Ju5AeA4FaTa,"Mamud Reality s. r. o.","standard plot",land,NULL,"okres Žilina",Bitarová,1,6,99.00,154.900000,-0.3608779858,0.0902103437,average
Jurn7Tjk47J,"Real Estate Group4U","standard plot",land,NULL,"okres Žilina",Bitarová,1,6,289.09,154.900000,0.8663008393,0.0902103437,average
JuVv2XDLd9H,"TUreality s.r.o.","standard plot",land,NULL,"okres Žilina",Varín,1,4,173.19,129.615000,0.3361879412,-0.0174866874,average
JugjLuDjRtG,"R2 SK, s.r.o.","standard plot",land,NULL,"okres Žilina",Varín,1,4,149.75,129.615000,0.1553446746,-0.0174866874,average
JuEOlFJy7eI,"Realitná kancelária","large plot",land,NULL,"okres Liptovský Mikuláš","Svätý Kríž",1,2,44.22,44.220000,0.0000000000,0.1101855587,expensive
JuhCsanvxln,"SLNOVRAT, s.r.o.","large plot",land,NULL,"okres Čadca",Svrčinovec,1,2,62.70,58.035000,0.0803825278,-0.5161943179,cheap
JuCdo9RybP_,"BeMi realitná kancelária","large plot",land,NULL,"okres Čadca",Svrčinovec,1,2,53.37,58.035000,-0.0803825278,-0.5161943179,cheap
JuTu2EKoaZM,donidDevelop,"standard plot",land,NULL,"okres Dolný Kubín",Veličná,2,6,125.00,134.938333,-0.0736509247,0.1420767098,expensive
JuowzNUzni4,donidDevelop,"standard plot",land,NULL,"okres Dolný Kubín",Veličná,2,6,140.22,134.938333,0.0391413387,0.1420767098,expensive
JuoEkan0OM3,"OREA, s.r.o.","standard plot",land,NULL,"okres Dolný Kubín",Veličná,1,6,120.00,134.938333,-0.1107048877,0.1420767098,expensive
JuXDdV7DuGH,"bezmaklérov, s.r.o.","standard plot",land,NULL,"okres Dolný Kubín",Veličná,1,6,151.52,134.938333,0.1228832951,0.1420767098,expensive
JuDFkgbrvLz,"RK Dalmia s. r. o.","standard plot",land,NULL,"okres Dolný Kubín",Veličná,2,6,152.89,134.938333,0.1330360810,0.1420767098,expensive
JuuLvwvMnqi,"RK Dalmia s. r. o.","standard plot",land,NULL,"okres Dolný Kubín",Veličná,2,6,120.00,134.938333,-0.1107048877,0.1420767098,expensive
JuB1sJQkopm,"RS Mansory s.r.o.","standard plot",land,NULL,"okres Kysucké Nové Mesto",Povina,1,2,53.63,76.815000,-0.3018290698,-0.1194309292,average
JuI3WIo1gnr,Envire,"standard plot",land,NULL,"okres Kysucké Nové Mesto",Povina,1,2,100.00,76.815000,0.3018290698,-0.1194309292,average
JuIBgVzzEhH,"1. Reality Rent, s.r.o.","small plot",land,NULL,"okres Čadca",Raková,1,2,51.72,40.860000,0.2657856094,-0.2205749760,average
Jue_IKSyNYA,"JPE. Reality - Jozef Pajer","small plot",land,NULL,"okres Čadca",Raková,1,2,30.00,40.860000,-0.2657856094,-0.2205749760,average
JuCdelRdGA1,"Reality D.P.A.","standard plot",land,NULL,"okres Martin","Karvaša a Bláhovca",1,5,148.00,131.582000,0.1247739052,-0.1199430995,average
JuSvmhJEqG1,"FINREA - ak vám záleží na výsledku","standard plot",land,NULL,"okres Martin","Karvaša a Bláhovca",1,5,60.00,131.582000,-0.5440105790,-0.1199430995,average
JuXs9XHVo90,"Realitná kancelária","standard plot",land,NULL,"okres Martin","Karvaša a Bláhovca",1,5,131.43,131.582000,-0.0011551732,-0.1199430995,average
Jufp6SmYJxs,"LIF REAL","standard plot",land,NULL,"okres Martin","Karvaša a Bláhovca",1,5,131.43,131.582000,-0.0011551732,-0.1199430995,average
JuXoUVcEWR0,"BeMi realitná kancelária","large plot",land,NULL,"okres Žilina",Ovčiarsko,1,6,170.04,129.943333,0.3085704058,-0.0235273024,average
JuqxH07lW-i,"RS Mansory s.r.o.","large plot",land,NULL,"okres Žilina",Ovčiarsko,2,6,44.26,129.943333,-0.6593899896,-0.0235273024,average
Ju6XcncfywZ,"RS Mansory s.r.o.","large plot",land,NULL,"okres Žilina",Ovčiarsko,2,6,43.64,129.943333,-0.6641613002,-0.0235273024,average
JuKcCOH5Bgu,"Realitné kancelárie SR","large plot",land,NULL,"okres Žilina",Ovčiarsko,1,6,68.98,129.943333,-0.4691532193,-0.0235273024,average
JuCzxidULuR,"Safe reality s. r. o.","standard plot",land,NULL,"okres Kysucké Nové Mesto",Snežnica,1,5,21.02,69.630000,-0.6981186270,0.0388107773,average
JuqQ2VY6uD-,"RS Mansory s.r.o.","standard plot",land,NULL,"okres Kysucké Nové Mesto",Snežnica,1,5,130.15,69.630000,0.8691655895,0.0388107773,average
JuJGNURQ8kY,"Realitné kancelárie SR","standard plot",land,NULL,"okres Kysucké Nové Mesto",Snežnica,2,5,37.53,69.630000,-0.4610081861,0.0388107773,average
Jua_BRtxi_0,"Realitné kancelárie SR","standard plot",land,NULL,"okres Kysucké Nové Mesto",Snežnica,2,5,120.00,69.630000,0.7233950883,0.0388107773,average
JuY_o0Hq1ua,"Reality IQ, s.r.o.","standard plot",land,NULL,"okres Kysucké Nové Mesto",Snežnica,1,5,39.45,69.630000,-0.4334338647,0.0388107773,average
Jul88RI0614,"Direct Real, spol. s r.o.","standard plot",land,NULL,"okres Liptovský Mikuláš",Beňadiková,1,2,167.00,153.000000,0.0915032680,-0.1163509904,average
Ju9DTwAgiHG,"RE/MAX Slovakia","standard plot",land,NULL,"okres Liptovský Mikuláš",Beňadiková,1,2,139.00,153.000000,-0.0915032680,-0.1163509904,average
JuvBlvKpVOg,jabyvam.sk,"standard plot",land,NULL,"okres Liptovský Mikuláš",Jamník,1,5,96.61,105.986000,-0.0884645142,-0.0462433293,average
JuCWsWXxn1N,"Delta Property s.r.o.","standard plot",land,NULL,"okres Liptovský Mikuláš",Jamník,1,5,91.32,105.986000,-0.1383767667,-0.0462433293,average
JuARnh9cPNq,"Realitné kancelárie SR","standard plot",land,NULL,"okres Liptovský Mikuláš",Jamník,2,5,108.00,105.986000,0.0190025098,-0.0462433293,average
JuD52DaFWEx,"Realitné kancelárie SR","standard plot",land,NULL,"okres Liptovský Mikuláš",Jamník,2,5,115.00,105.986000,0.0850489687,-0.0462433293,average
JuPmyuLY0AU,"Q REAL s.r.o.","small plot",land,NULL,"okres Liptovský Mikuláš",Podtureň,1,5,123.00,123.000000,0.0000000000,0.4129810808,premium
Juxlwl0cqfI,"BEŇO REALITY","small plot",land,NULL,"okres Liptovský Mikuláš",Podtureň,1,5,123.00,123.000000,0.0000000000,0.4129810808,premium
Ju_Khlvp1_L,"NFA Group, s.r.o.","small plot",land,NULL,"okres Liptovský Mikuláš",Podtureň,1,5,123.00,123.000000,0.0000000000,0.4129810808,premium
JuhDFgB8Eya,"1. Reality Rent, s.r.o.","large plot",land,NULL,"okres Kysucké Nové Mesto",Povina,1,4,90.00,66.915000,0.3449899126,-0.1194309292,average
Ju3DHGm3SX3,"Real Estate Group4U","standard plot",land,NULL,"okres Žilina","Žilinská Lehota",1,2,385.38,242.690000,0.5879517079,0.3631516130,expensive
Ju8tqbpzEho,"TUreality s.r.o.","standard plot",land,NULL,"okres Bytča",Štiavnik,2,3,134.12,94.830000,0.4143203628,-0.0925397061,average
JucXLuegzy5,"TUreality s.r.o.","standard plot",land,NULL,"okres Bytča",Štiavnik,2,3,61.42,94.830000,-0.3523146684,-0.0925397061,average
Ju7-tv2yvGe,"Romantické Chalupy, s.r.o.","standard plot",land,NULL,"okres Bytča",Štiavnik,1,3,88.95,94.830000,-0.0620056944,-0.0925397061,average
JuMg-KktE1Q,"RE/MAX Slovakia","extra large plot",land,NULL,"okres Dolný Kubín",Zázrivá,1,2,18.00,26.715000,-0.3262212240,-0.1311993948,average
Ju3pFJiSu2s,"RK Dalmia s. r. o.","extra large plot",land,NULL,"okres Dolný Kubín",Zázrivá,1,2,35.43,26.715000,0.3262212240,-0.1311993948,average
JupsaGq4wbB,"MartinTham s. r. o.","large plot",land,NULL,"okres Martin",Turany,1,2,46.84,42.295000,0.1074595106,-0.3267598337,cheap
JuJ6A83KPJ2,"Renovo Reality","standard plot",land,NULL,"okres Žilina",Stránske,1,4,132.81,105.755000,0.2558271477,0.1612251241,expensive
Jul34-9Uznd,"Realitné kancelárie SR","standard plot",land,NULL,"okres Žilina",Stránske,1,4,106.63,105.755000,0.0082738405,0.1612251241,expensive
JusMGCS4uqf,"Ing. Gerlinda Bérešová - Esti","standard plot",land,NULL,"okres Žilina",Stránske,2,4,91.04,105.755000,-0.1391423573,0.1612251241,expensive
Ju2dDwgittj,"Ing. Gerlinda Bérešová - Esti","standard plot",land,NULL,"okres Žilina",Stránske,2,4,92.54,105.755000,-0.1249586308,0.1612251241,expensive
Juml9ZbpWBM,"MGM reality","standard plot",land,NULL,"okres Žilina",Rosina,1,5,169.07,238.928000,-0.2923809683,0.2682717788,expensive
Jut0tUa88wB,"BeMi realitná kancelária","standard plot",land,NULL,"okres Žilina",Rosina,1,5,247.59,238.928000,0.0362535994,0.2682717788,expensive
JuyrQlq623r,"Realitné kancelárie SR","standard plot",land,NULL,"okres Žilina",Rosina,1,5,270.00,238.928000,0.1300475457,0.2682717788,expensive
Ju-hAf6SLZe,"RECLOUD Reality a.s.","standard plot",land,NULL,"okres Námestovo","Oravská Jasenica",2,3,70.00,84.333333,-0.1699604710,-0.1450063521,average
JuLYYDsAsCoc,"RECLOUD Reality a.s.","standard plot",land,NULL,"okres Námestovo","Oravská Jasenica",2,3,70.00,84.333333,-0.1699604710,-0.1450063521,average
Ju7mSPUl1TY3,"RE/MAX Slovakia","standard plot",land,NULL,"okres Námestovo","Oravská Jasenica",1,3,113.00,84.333333,0.3399209539,-0.1450063521,average
JuoqzBB_9Ic,donidDevelop,"standard plot",land,NULL,"okres Dolný Kubín",Párnica,1,2,98.87,131.455000,-0.2478795025,-0.1470570937,average
Ju2_HPkQ8s2,"RE/MAX Slovakia","standard plot",land,NULL,"okres Dolný Kubín",Párnica,1,2,164.04,131.455000,0.2478795025,-0.1470570937,average
JubUi5eOFbH,"RE/MAX Slovakia","standard plot",land,NULL,"okres Ružomberok","Liptovská Štiavnica",1,2,89.39,86.785000,0.0300167080,-0.1731106261,average
JuXGG7E_fDg,"AstonReal s.r.o.","standard plot",land,NULL,"okres Ružomberok","Liptovská Štiavnica",1,2,84.18,86.785000,-0.0300167080,-0.1731106261,average
