offer_id,property_type,area,terrain,price_m2,location_district,location_city,location_area,agency,office_city
JuCxQUnpNN5,land,18139,NULL,25.00,"okres Turčianske Teplice","Turčianske Teplice",Diviaky,NULL,NULL
JuOoDP05xJ-,land,969,flat,87.72,"okres Liptovský Mikuláš","Liptovské Matiašovce","Liptovské Matiašovce","RE/MAX Slovakia",Bratislava
JujWzeAd4Mq,land,600,flat,80.00,"okres Martin",Karlová,Karlová,"Piata Avenue",Žilina
JuhYAT13Gs1,land,3653,NULL,85.00,"okres Martin",Martin,Záturčie,"BALAŽI REAL ESTATE s.r.o.",Topoľčany
JuHoLMOAPyD,land,634,NULL,276.03,"okres Žilina",Višňové,Višňové,NULL,NULL
JuvDIHl7nu4,land,1039,NULL,47.93,"okres Čadca",Dunajov,Dunajov,"RES GROUP, s.r.o.",Žilina
JuW5XYXfIA2,land,542,NULL,79.00,"okres Čadca",Skalité,Skalité,"BeMi realitná kancelária",Nitra
JufKEzTwdq8,land,2367,"mostly flat",17.32,"okres Čadca",Čadca,Milošová,"TRI LIPY, s. r. o.",Čadca
JuZ7zgc43wy,land,586,"gently sloped",NULL,"okres Martin",Martin,Podháj,"Reality Center, s.r.o.",Martin
JuG8w7lDdu46,land,898,NULL,NULL,"okres Martin",Turany,Turany,"BALAŽI REAL ESTATE s.r.o.",Topoľčany
JunGp6hRXR2,land,963,flat,NULL,"okres Žilina",Divina,Divina,"Reality IQ, s.r.o.",Žilina
JumKl3xs_Yl,land,821,flat,NULL,"okres Martin",Vrútky,"Karvaša a Bláhovca","Reality Center, s.r.o.",Martin
JuHRetqPaNB,land,809,NULL,139.00,"okres Dolný Kubín",Jasenová,Jasenová,"OREA, s.r.o.","Dolný Kubín"
Judf0zzhq5f,land,28826,NULL,NULL,"okres Bytča",Bytča,"Veľká Bytča","Realitné kancelárie SR",Bratislava
JuFovldbtlH,land,1161,"gently sloped",100.00,"okres Žilina",Nededza,Nededza,"bezmaklérov, s.r.o.",Žilina
JueyWGcCtCo,land,857,"mostly flat",90.00,"okres Martin",Necpaly,Necpaly,"R2 SK, s.r.o.",Žilina
Ju16HqVho2l,land,894,"mostly flat",90.00,"okres Dolný Kubín","Dolný Kubín",Mokraď,"RK Dalmia s. r. o.","Dolný Kubín"
Juxlwl0cqfI,land,508,flat,123.00,"okres Liptovský Mikuláš",Podtureň,Podtureň,"BEŇO REALITY","Liptovský Mikuláš"
JuvwILxsaLE,land,1666,NULL,35.95,"okres Kysucké Nové Mesto","Dolný Vadičov","Dolný Vadičov","Realitné kancelárie SR",Bratislava
JuoEkan0OM3,land,685,NULL,120.00,"okres Dolný Kubín",Veličná,Veličná,"OREA, s.r.o.","Dolný Kubín"
JuEX_l_3Eqg,land,450,flat,100.00,"okres Liptovský Mikuláš","Liptovská Sielnica","Liptovská Sielnica","BEŇO REALITY","Liptovský Mikuláš"
JuCmj-PgWTq,land,1119,NULL,26.81,"okres Čadca",Dunajov,Dunajov,"WFG reality, s.r.o.",Žilina
JuASY12odtk,land,3049,flat,100.00,"okres Liptovský Mikuláš","Liptovská Anna","Liptovská Anna","Reality AK, spol. s r.o.",Martin
Ju-_lgQgjvC,land,497,NULL,120.02,"okres Liptovský Mikuláš",Ižipovce,Ižipovce,"Direct Real, spol. s r.o.",Bratislava
JueMz2TcIL-I,land,1330,NULL,100.00,"okres Ružomberok","Liptovské Sliače","Liptovské Sliače","Apollo House",Bratislava
JuIw5kl0QB9,land,5514,NULL,15.42,"okres Ružomberok",Ružomberok,Podsuchá,"REALITY SPOLU",Bratislava
Ju0UqyDriGS,land,1218,NULL,67.32,"okres Žilina",Lietava,Lietava,NULL,NULL
Jul7ugPXcvQ,land,1498,"gently sloped",100.00,"okres Martin",Martin,Záturčie,"ALT REAL, s.r.o.",Martin
Ju4lACVtBvB,land,1179,"gently sloped",79.30,"okres Čadca",Oščadnica,Oščadnica,"TRI LIPY, s. r. o.",Čadca
JufBIzJWZ0T,land,1027,"gently sloped",24.34,"okres Čadca",Korňa,Korňa,"RIEŠIME BÝVANIE",Bratislava
JuJ0YMlVen2,land,931,flat,75.00,"okres Dolný Kubín","Dlhá nad Oravou","Dlhá nad Oravou","OREA, s.r.o.","Dolný Kubín"
JuxIvOImC9j,land,1394,"gently sloped",71.74,"okres Bytča",Bytča,Pšurnovice,"TOCA, s.r.o. Realitná činnosť",Bytča
JufCqQz59Ij,land,815,NULL,114.11,"okres Žilina",Kunerad,Kunerad,"ŽILINAREAL, s.r.o.",Žilina
JuJGNURQ8kY,land,850,NULL,37.53,"okres Kysucké Nové Mesto",Snežnica,Snežnica,"Realitné kancelárie SR",Bratislava
JuS3utLekJS,land,1046,NULL,79.35,"okres Martin",Karlová,Karlová,"ATP stavby s.r.o.","Teplička nad Váhom"
JushtsOsA5D,land,1101,NULL,81.74,"okres Martin","Košťany nad Turcom","Košťany nad Turcom","Reality MT s.r.o.",Martin
JuPmsU7zgrG,land,1039,"gently sloped",NULL,"okres Ružomberok",Ludrová,Ludrová,"AstonReal s.r.o.","Banská Bystrica"
JumG3BQ732C,land,542,NULL,90.41,"okres Žilina",Ovčiarsko,Ovčiarsko,"RIEŠIME BÝVANIE",Bratislava
JuY5ba5W_4i,land,1600,flat,NULL,"okres Martin",Blatnica,Blatnica,"JMB REALITY s.r.o.",Ľubietová
JuzolLKcQyU,land,667,flat,80.21,"okres Námestovo",Krušetnica,Krušetnica,donidDevelop,"Dolný Kubín"
JuLfvRq95qS,land,NULL,NULL,NULL,"okres Liptovský Mikuláš","Liptovská Anna","Liptovská Anna","M&G, s.r.o.",Bratislava
JuBfaxcwUwF,land,2091,flat,64.00,"okres Martin",Karlová,Karlová,"MAX PROFI REALITY",Martin
JuVv2XDLd9H,land,866,"gently sloped",173.19,"okres Žilina",Varín,Varín,"TUreality s.r.o.",Žilina
Ju3oEfAZYzP,land,3062,NULL,13.06,"okres Liptovský Mikuláš",Východná,Východná,NULL,NULL
JuMAMHXJq7S,land,3759,NULL,25.00,"okres Liptovský Mikuláš",Beňadiková,Beňadiková,"RESIDENCE realitná kancelária","Liptovský Mikuláš"
JuNaGXxLOzZ,land,7699,"gently sloped",9.00,"okres Kysucké Nové Mesto",Snežnica,Snežnica,"WFG reality, s.r.o.",Žilina
JuCjQgzupuY,land,28826,NULL,NULL,"okres Bytča",Bytča,"Veľká Bytča",NULL,NULL
JuhCsanvxln,land,1783,flat,62.70,"okres Čadca",Svrčinovec,Svrčinovec,"SLNOVRAT, s.r.o.",Olešná
JuqxH07lW-i,land,2031,NULL,44.26,"okres Žilina",Ovčiarsko,Ovčiarsko,"RS Mansory s.r.o.",Bratislava
JuH12tFyQw2,land,917,NULL,200.00,"okres Žilina",Višňové,Višňové,"AnoReal, s.r.o.",Stráňavy
JuEjJSCiW8Ze,land,600,NULL,79.00,"okres Čadca",Skalité,Skalité,"JPE. Reality - Jozef Pajer",Čadca
JupXbR8DGJn,land,629,NULL,238.00,"okres Dolný Kubín","Dolný Kubín",Banisko,"OREA, s.r.o.","Dolný Kubín"
JuMvZKQOSvd,land,391,NULL,575.45,"okres Bytča","Veľké Rovné","Veľké Rovné","SLNOVRAT, s.r.o.",Olešná
Ju1CjLHLW69,land,7631,flat,NULL,"okres Dolný Kubín","Dlhá nad Oravou","Dlhá nad Oravou","Bosen Group s.r.o.",Bratislava
Ju22ZGBmO93,land,2580,NULL,90.00,"okres Liptovský Mikuláš","Liptovská Anna","Liptovská Anna",NULL,NULL
JuwTH_LMEMX,land,473,flat,NULL,"okres Liptovský Mikuláš","Liptovské Kľačany","Liptovské Kľačany","GERT , s.r.o.","Liptovský Mikuláš"
JufJ-j5ky3T,land,500,flat,149.80,"okres Žilina","Dolná Tižina","Dolná Tižina","Safe reality s. r. o.",Žilina
JuPGBZu28Sz,land,1401,"mostly flat",53.53,"okres Čadca",Oščadnica,Oščadnica,"RE/MAX Slovakia",Bratislava
JuXRWhaK2fl,land,25681,flat,30.00,"okres Turčianske Teplice",Mošovce,Mošovce,"Realitná kancelária",Bratislava
Jutyprw4Nso,land,1394,"gently sloped",71.74,"okres Bytča",Bytča,Pšurnovice,"TOCA, s.r.o. Realitná činnosť",Bytča
JutjPZbTZEK,land,2000,flat,NULL,"okres Martin",Sučany,Sučany,donidDevelop,"Dolný Kubín"
Juzs-YHkwHj,land,1500,sloped,82.00,"okres Martin","Turčianske Jaseno","Turčianske Jaseno","LIF REAL",Martin
JupRRfszbzs,land,1800,"mostly flat",41.50,"okres Turčianske Teplice",Sklené,Sklené,"Reality D.P.A.",Martin
JuiFvyOCpZO,land,4637,flat,105.00,"okres Žilina",Višňové,Višňové,"Realitné kancelárie SR",Bratislava
JuqfHhV7H4_,land,558,"gently sloped",95.65,"okres Žilina",Lietava,Lietava,"Georgi Conev",Žilina
JuhB5IsnAP3,land,6047,NULL,10.09,"okres Martin",Šútovo,Šútovo,"BALAŽI REAL ESTATE s.r.o.",Topoľčany
Ju4HZvYxEQL,land,5473,NULL,69.00,"okres Dolný Kubín",Párnica,Párnica,NULL,NULL
JuR1Vqvk3FA,land,807,flat,185.87,"okres Martin",Martin,Záturčie,"TARGETreal s. r. o.",Žilina
JuD-E2E_yvf,land,846,NULL,40.00,"okres Námestovo",Novoť,Novoť,"RIEŠIME BÝVANIE",Bratislava
JujqHk5Nsu-,land,1011,flat,110.00,"okres Čadca",Čadca,"U Sneheľníka","ETHOS reality, s. r. o.","Krásno nad Kysucou"
JumHegVgatu,land,1108,"gently sloped",47.65,"okres Martin",Podhradie,Podhradie,"Real Reality Development s.r.o.",Martin
JuYSlKjn22V2,land,16054,NULL,62.28,"okres Turčianske Teplice","Slovenské Pravno","Slovenské Pravno",Urbanista,Bratislava
JuTN7hEMhfs,land,961,flat,38.40,"okres Čadca",Turzovka,Predmier,"SLNOVRAT, s.r.o.",Olešná
Juo_LCQm7Zx,land,1140,"gently sloped",127.19,"okres Žilina",Svederník,Svederník,"YFE, s.r.o.",Žilina
JucfeqPEDUI,land,1327,flat,59.00,"okres Turčianske Teplice",Jazernica,Jazernica,"TARGETreal s. r. o.",Žilina
JuyewzTZPFk,land,917,"gently sloped",130.32,"okres Žilina",Lysica,Lysica,"Renovo Reality",Žilina
Jug8evCrAgI,land,561,NULL,79.00,"okres Čadca",Skalité,Skalité,"BeMi realitná kancelária",Nitra
JubfWlbtgdy,land,1889,"gently sloped",NULL,"okres Čadca",Olešná,Olešná,"RK4 REALITY",Bratislava
JuY9N1R47k4,land,643,NULL,776.05,"okres Žilina",Žilina,Bôrik,NULL,NULL
JuGtn_qttBC,land,803,NULL,130.00,"okres Liptovský Mikuláš","Liptovský Trnovec","Liptovský Trnovec","Direct Real, spol. s r.o.",Bratislava
Ju26ASiELkU,land,499,"gently sloped",162.32,"okres Žilina","Dolná Tižina","Dolná Tižina","Mamud Reality s. r. o.",Žilina
JuoYPByad-u,land,1401,flat,35.00,"okres Dolný Kubín",Malatiná,Malatiná,"RAI COMPANY s.r.o.","Banská Bystrica"
JueDQ4t8F1t,land,NULL,NULL,NULL,"okres Kysucké Nové Mesto",Povina,Povina,"MGM reality",Žilina
JuJBjXorHPL,land,NULL,NULL,NULL,"okres Ružomberok",Turík,Turík,"TUreality s.r.o.",Žilina
JugbHbksCr-,land,3767,flat,95.00,"okres Žilina",Višňové,Višňové,"TeEq Reality",Bratislava
JuRn13yIVnF,land,895,NULL,39.11,"okres Čadca",Dunajov,Dunajov,"ŽILINAREAL, s.r.o.",Žilina
Ju67f0ZUF6a,land,1339,flat,53.00,"okres Žilina","Dlhé Pole","Dlhé Pole","Realitné kancelárie SR",Bratislava
Jus7PkExcYQ,land,1734,flat,NULL,"okres Žilina",Rajec,Rajec,"AnoReal, s.r.o.",Stráňavy
JuuNE4PQz6D,land,860,"gently sloped",231.40,"okres Žilina",Žilina,Budatín,"RIEŠIME BÝVANIE",Bratislava
Ju1YLWtdCP4,land,569,"mostly flat",130.00,"okres Liptovský Mikuláš",Lazisko,Lazisko,"RESIDENCE realitná kancelária","Liptovský Mikuláš"
Jul88RI0614,land,947,NULL,167.00,"okres Liptovský Mikuláš",Beňadiková,Beňadiková,"Direct Real, spol. s r.o.",Bratislava
Ju192g79OHm,land,1984,"gently sloped",62.00,"okres Martin",Belá-Dulice,Belá-Dulice,"Reality Center, s.r.o.",Martin
JusbhL9UXOL,land,1193,"gently sloped",35.21,"okres Čadca",Staškov,Staškov,"SLNOVRAT, s.r.o.",Olešná
JuWIabvMs8m,land,250,"gently sloped",39.00,"okres Čadca",Čadca,Rieka,"1. Reality Rent, s.r.o.",Žilina
JukIKAnSuKC,land,580,"gently sloped",150.00,"okres Martin","Dolný Kalník","Dolný Kalník","Reality Alpia",Martin
JubUi5eOFbH,land,660,"mostly flat",89.39,"okres Ružomberok","Liptovská Štiavnica","Liptovská Štiavnica","RE/MAX Slovakia",Bratislava
JupQ7ehcKIt,land,810,"gently sloped",392.59,"okres Žilina",Žilina,Budatín,"Real Estate Group4U","Považská Bystrica"
JuUn4gk-elR,land,1097,"gently sloped",91.16,"okres Žilina","Kotrčiná Lúčka","Kotrčiná Lúčka","R2 SK, s.r.o.",Žilina
Ju7lj_P0z5e,land,NULL,NULL,NULL,"okres Žilina","Dolný Hričov","Dolný Hričov","MGM reality",Žilina
JufEhhRezN-,land,1462,flat,NULL,"okres Dolný Kubín","Dolný Kubín",Stred,"RK VILLEA, s. r. o.","Dolný Kubín"
JuqQ2VY6uD-,land,607,NULL,130.15,"okres Kysucké Nové Mesto",Snežnica,Snežnica,"RS Mansory s.r.o.",Bratislava
Ju97QEdz5sX,land,1311,NULL,62.93,"okres Čadca",Raková,Raková,"RS Mansory s.r.o.",Bratislava
JubAI3EWquo,land,2150,"gently sloped",NULL,"okres Liptovský Mikuláš","Liptovská Anna","Liptovská Anna","M&G, s.r.o.",Bratislava
JutVFvRJpYd,land,2364,"gently sloped",169.20,"okres Žilina",Višňové,Višňové,"Realitné kancelárie SR",Bratislava
JutuKcNv2OP,land,284,NULL,404.93,"okres Martin",Martin,Stred,"Realitná kancelária",Bratislava
JuErvfknoQB,land,898,"gently sloped",228.29,"okres Dolný Kubín","Vyšný Kubín","Vyšný Kubín","RK VILLEA, s. r. o.","Dolný Kubín"
JurzykGoa8Y,land,507,NULL,79.00,"okres Čadca",Skalité,Skalité,"BeMi realitná kancelária",Nitra
JuTu2EKoaZM,land,721,"gently sloped",125.00,"okres Dolný Kubín",Veličná,Veličná,donidDevelop,"Dolný Kubín"
JuB1sJQkopm,land,1005,NULL,53.63,"okres Kysucké Nové Mesto",Povina,Povina,"RS Mansory s.r.o.",Bratislava
JusK3lTtUjZ,land,5861,NULL,55.00,"okres Bytča","Veľké Rovné","Veľké Rovné","Realitné kancelárie SR",Bratislava
Ju6FhwnbvkK,land,4181,flat,60.00,"okres Martin",Martin,Tomčany,"ŽILINAREAL, s.r.o.",Žilina
JuMHyeDGK2f,land,481,NULL,93.56,"okres Martin",Necpaly,Necpaly,"Realitné kancelárie SR",Bratislava
JubNHDCg93x,land,1663,"gently sloped",119.06,"okres Námestovo","Oravská Jasenica","Oravská Jasenica","RE/MAX Slovakia",Bratislava
JubzyQhnL5j,land,10426,"gently sloped",19.09,"okres Turčianske Teplice",Sklené,Sklené,"RIEŠIME BÝVANIE",Bratislava
JuMFxRcxLzj,land,542,"gently sloped",90.41,"okres Žilina",Ovčiarsko,Ovčiarsko,"RIEŠIME BÝVANIE",Bratislava
JuMg-KktE1Q,land,5893,"gently sloped",18.00,"okres Dolný Kubín",Zázrivá,Zázrivá,"RE/MAX Slovakia",Bratislava
Jukt7sZSrva,land,775,"gently sloped",158.71,"okres Žilina",Ovčiarsko,Ovčiarsko,"TARGETreal s. r. o.",Žilina
JuLGf5aS3L1,land,807,"gently sloped",120.82,"okres Kysucké Nové Mesto","Kysucké Nové Mesto",Suľkov,"1. Reality Rent, s.r.o.",Žilina
JuTUUGHEQpu,land,11129,NULL,65.00,"okres Martin",Martin,NULL,"BALAŽI REAL ESTATE s.r.o.",Topoľčany
JubI61zDvAA,land,NULL,NULL,NULL,"okres Žilina",Svederník,Svederník,"MGM reality",Žilina
JupXyVwksGj,land,1500,"gently sloped",NULL,"okres Martin","Horný Kalník","Horný Kalník","Reality BL, s.r.o.","Kysucké Nové Mesto"
JuzsaTgRy0A,land,1193,"gently sloped",32.69,"okres Čadca",Staškov,Staškov,"1. Reality Rent, s.r.o.",Žilina
JuqT9jZ4Nn0,land,NULL,NULL,90.00,"okres Liptovský Mikuláš","Liptovská Sielnica","Liptovská Sielnica","Direct Real, spol. s r.o.",Bratislava
JuzowjqYdqV,land,3590,"gently sloped",17.00,"okres Čadca",Staškov,Staškov,"SLNOVRAT, s.r.o.",Olešná
Juw-BV-BqJp,land,1222,sloped,130.00,"okres Žilina",Lietava,Lietava,"Realitné kancelárie SR",Bratislava
Ju2_2a_gc9I,land,600,flat,96.00,"okres Liptovský Mikuláš","Liptovská Sielnica","Liptovská Sielnica",Limaxreal,"Liptovský Mikuláš"
Jus9HjYi9K6,land,867,NULL,74.86,"okres Liptovský Mikuláš",Vlachy,Vlachy,"Nové bývanie",Nitra
Ju-Vs-ZZEsP,land,1906,NULL,52.36,"okres Čadca",Turzovka,NULL,"SLNOVRAT, s.r.o.",Olešná
JuypdHR9V5h,land,1236,NULL,120.00,"okres Žilina","Lietavská Svinná-Babkov","Lietavská Svinná-Babkov","RS Mansory s.r.o.",Bratislava
JuC5HWpBoue,land,1670,flat,26.50,"okres Čadca",Staškov,Staškov,"SLNOVRAT, s.r.o.",Olešná
JuTMeTjk733,land,NULL,NULL,NULL,"okres Žilina",Rajec,Rajec,"MGM reality",Žilina
JuvBlvKpVOg,land,828,flat,96.61,"okres Liptovský Mikuláš",Jamník,Jamník,jabyvam.sk,"Liptovský Mikuláš"
JuLSvBwv_I5,land,759,NULL,250.00,"okres Žilina",Krasňany,Krasňany,"RS Mansory s.r.o.",Bratislava
Ju0KCQtbTTW,land,6881,NULL,66.02,"okres Čadca",Čadca,Podzávoz,"BeMi realitná kancelária",Nitra
JuaPQ_8Etfd,land,807,NULL,55.76,"okres Martin",Trnovo,Trnovo,"Realitné kancelárie SR",Bratislava
Ju9G8aO6wQl,land,4117,"gently sloped",120.00,"okres Liptovský Mikuláš","Pavčina Lehota","Pavčina Lehota","RE/MAX Slovakia",Bratislava
JuY9JBEYXXO,land,675,flat,65.19,"okres Čadca",Staškov,Staškov,"1. Reality Rent, s.r.o.",Žilina
JuEr-eDWZ62,land,334,flat,NULL,"okres Martin",Turany,Turany,"Reality Center, s.r.o.",Martin
JuuQurqTomT,land,429,"gently sloped",186.46,"okres Liptovský Mikuláš","Liptovský Mikuláš",Podbreziny,"AstonReal s.r.o.","Banská Bystrica"
JuXLA7wyDLl,land,544,flat,143.38,"okres Žilina",Čičmany,Čičmany,"Vianema s.r.o.",Bratislava
Ju1OJ87gVSa,land,NULL,NULL,NULL,"okres Žilina",Bitarová,Bitarová,"X-REAL, s. r. o.",Žilina
JuaF9UiM3uR1,land,501,NULL,97.80,"okres Žilina","Rajecké Teplice","Rajecké Teplice","BeMi realitná kancelária",Nitra
Jui0b4gHHzV,land,26420,"gently sloped",NULL,"okres Čadca",Oščadnica,Oščadnica,"1. Reality Rent, s.r.o.",Žilina
Jua_BRtxi_0,land,850,sloped,120.00,"okres Kysucké Nové Mesto",Snežnica,Snežnica,"Realitné kancelárie SR",Bratislava
Jud4Z0QIxb1B,land,922,NULL,NULL,"okres Martin",Blatnica,Blatnica,NULL,NULL
JumHCt0Er1_,land,434,NULL,184.33,"okres Liptovský Mikuláš","Liptovský Mikuláš",NULL,NULL,NULL
Ju6XcncfywZ,land,1372,NULL,43.64,"okres Žilina",Ovčiarsko,Ovčiarsko,"RS Mansory s.r.o.",Bratislava
Ju6R4Oxuhvk,land,1410,"gently sloped",41.77,"okres Bytča","Veľké Rovné","Veľké Rovné","1. Reality Rent, s.r.o.",Žilina
JuiJEU2gvVS,land,1229,"gently sloped",48.00,"okres Čadca",Oščadnica,Oščadnica,"1. Reality Rent, s.r.o.",Žilina
JuJIq68G1za,land,11672,NULL,65.00,"okres Martin",Martin,Záturčie,"BALAŽI REAL ESTATE s.r.o.",Topoľčany
Ju5OGHyG1_Y,land,617,"mostly flat",61.59,"okres Čadca",Raková,Raková,"HOLESTIAK.sk reality s.r.o.",Čadca
JupQvlRFk0k,land,553,"mostly flat",49.00,"okres Žilina",Kunerad,Kunerad,"StorkReal s. r. o.","Rajecká Lesná"
Ju2hmMFZQ4X,land,447,NULL,279.42,"okres Žilina",Višňové,Višňové,NULL,NULL
Ju1-_Cu9mID,land,NULL,NULL,NULL,"okres Martin","Turčiansky Peter","Turčiansky Peter","Reality Alpia",Martin
JuX4tTXYKir,land,994,NULL,35.21,"okres Kysucké Nové Mesto","Horný Vadičov","Horný Vadičov","SLNOVRAT, s.r.o.",Olešná
JuI4QwFHXkB,land,2645,NULL,120.00,"okres Liptovský Mikuláš","Liptovský Mikuláš","Liptovská Ondrašová","RESIDENCE realitná kancelária","Liptovský Mikuláš"
Juw3LRApeaS,land,812,flat,160.10,"okres Žilina","Horný Hričov","Horný Hričov","RES GROUP, s.r.o.",Žilina
JueC24ZQ1o3,land,8000,other,15.25,"okres Žilina",Varín,Varín,"MGM reality",Žilina
Juh_NFZPlxN,land,500,NULL,179.00,"okres Žilina",Ovčiarsko,Ovčiarsko,"PRIMA reality s.r.o.",Žilina
Ju_KMqj7vmd,land,832,NULL,99.00,"okres Martin",Rakovo,Rakovo,"Reality Center, s.r.o.",Martin
JujjYxzg2zO,land,495,"gently sloped",86.06,"okres Kysucké Nové Mesto",Nesluša,Nesluša,"Realitka pre každého",Žilina
JudcG-iBr32,land,744,sloped,139.11,"okres Žilina",Divinka,Divinka,"Safe reality s. r. o.",Žilina
Jug0yKTQ2pn,land,1350,flat,55.00,"okres Čadca",Raková,Raková,"SLNOVRAT, s.r.o.",Olešná
JuveNCiurSC,land,1173,flat,75.02,"okres Dolný Kubín",Žaškov,Žaškov,"RK VILLEA, s. r. o.","Dolný Kubín"
JuMmLaRBnk-,land,520,flat,238.46,"okres Martin",Martin,Stráne,"Real Reality Development s.r.o.",Martin
JuAEEafI2yh,land,682,flat,110.00,"okres Žilina",Kľače,Kľače,"AnoReal, s.r.o.",Stráňavy
JuGEa5Szg2S,land,904,"gently sloped",94.03,"okres Bytča",Súľov-Hradná,Súľov-Hradná,"ELITE reality","Považská Bystrica"
JuldPobEyqZ,land,664,sloped,42.17,"okres Bytča","Veľké Rovné","Veľké Rovné","TARGETreal s. r. o.",Žilina
JuxUrTWen36,land,NULL,NULL,NULL,"okres Žilina",Ďurčiná,Ďurčiná,"MGM reality",Žilina
JutHLS-i8Kk,land,2955,"gently sloped",59.22,"okres Kysucké Nové Mesto",Povina,Povina,"DreamReality s.r.o.",Žilina
JuFMSKsdInV,land,1123,NULL,155.83,"okres Žilina",Bitarová,Bitarová,"Realitná kancelária",Bratislava
Ju266Dr49Ba,land,1666,NULL,52.00,"okres Kysucké Nové Mesto","Dolný Vadičov","Dolný Vadičov","BeMi realitná kancelária",Nitra
JubyLcoXkeA,land,905,flat,287.29,"okres Žilina",Gbeľany,Gbeľany,"bezmaklérov, s.r.o.",Žilina
JuDgMZQaDeJ,land,1292,"gently sloped",48.50,"okres Čadca",Oščadnica,Oščadnica,"1. Reality Rent, s.r.o.",Žilina
Juv8WDTsSPy,land,707,sloped,111.74,"okres Žilina",Konská,Konská,"1. Reality Rent, s.r.o.",Žilina
Ju9noiJ3M5h,land,1036,NULL,50.19,"okres Martin",Vrícko,Vrícko,"BALAŽI REAL ESTATE s.r.o.",Topoľčany
JuPmyuLY0AU,land,508,flat,123.00,"okres Liptovský Mikuláš",Podtureň,Podtureň,"Q REAL s.r.o.",Bratislava
JunJu6IyBiX,land,2965,"gently sloped",37.50,"okres Turčianske Teplice",Sklené,Sklené,"TARGETreal s. r. o.",Žilina
JuhDFgB8Eya,land,2061,"gently sloped",90.00,"okres Kysucké Nové Mesto",Povina,Povina,"1. Reality Rent, s.r.o.",Žilina
Jukxm6yZ0hf6,land,586,NULL,79.00,"okres Čadca",Skalité,Skalité,"BeMi realitná kancelária",Nitra
JuQnOzH4Mve,land,NULL,NULL,NULL,"okres Žilina",Svederník,Svederník,"MGM reality",Žilina
JuO__97iq4d,land,618,NULL,122.98,"okres Žilina","Lietavská Svinná-Babkov","Lietavská Svinná-Babkov","RS Mansory s.r.o.",Bratislava
JukIX3v-4aJ,land,859,NULL,50.00,"okres Žilina",Kľače,Kľače,NULL,NULL
Ju5L-boRlBV,land,3800,flat,50.00,"okres Čadca",Podvysoká,Podvysoká,"HALO reality, s.r.o.",Prievidza
JuxLDdGxofv,land,3500,flat,65.00,"okres Liptovský Mikuláš",Kvačany,Kvačany,NULL,NULL
Jur27j-ejmc,land,2850,NULL,65.00,"okres Martin",Martin,Záturčie,"BALAŽI REAL ESTATE s.r.o.",Topoľčany
Juxv4BCWFjN,land,574,NULL,109.76,"okres Liptovský Mikuláš",Hybe,Hybe,"Realitné kancelárie SR",Bratislava
JuH2wdrPPMN,land,903,NULL,253.60,"okres Žilina",Hôrky,Hôrky,NULL,NULL
JuoLQW0Li8l,land,1023,flat,NULL,"okres Žilina",Bitarová,Bitarová,"Realitka pre každého",Žilina
JuI-7Aiqe6M,land,575,flat,55.48,"okres Čadca","Vysoká nad Kysucou","Vysoká nad Kysucou","Ing. Marcela Pišteková",Turzovka
Ju1V4Qfns7o,land,2862,flat,50.00,"okres Liptovský Mikuláš","Liptovské Beharovce","Liptovské Beharovce","OVERENÉ REALITY","Banská Bystrica"
JuApbqYiTwl,land,1500,sloped,82.00,"okres Martin","Dolný Kalník","Dolný Kalník","Realitná kancelária",Bratislava
JuXs9XHVo90,land,913,NULL,131.43,"okres Martin",Vrútky,"Karvaša a Bláhovca","Realitná kancelária",Bratislava
JuSvmhJEqG1,land,1000,NULL,60.00,"okres Martin",Vrútky,"Karvaša a Bláhovca","FINREA - ak vám záleží na výsledku","Dolný Kubín"
JuYB0zOc7gD,land,NULL,NULL,40.00,"okres Ružomberok","Liptovské Sliače","Liptovské Sliače",NULL,NULL
JuXWDVHuKu7,land,1375,flat,32.73,"okres Bytča",Petrovice,Petrovice,"B10 Slovensko, a. s.",Žilina
Jui1yUD8ZRT,land,600,"gently sloped",91.67,"okres Čadca",Turzovka,Predmier,"SLNOVRAT, s.r.o.",Olešná
Ju8HOtKyMF8,land,733,flat,NULL,"okres Žilina",Višňové,Višňové,"Safe reality s. r. o.",Žilina
JuOZEwkJjt3,land,538,"mostly flat",120.82,"okres Dolný Kubín","Dolný Kubín",Mokraď,"RK Dalmia s. r. o.","Dolný Kubín"
JukvtXQXqqN,land,451,sloped,188.47,"okres Žilina",Višňové,Višňové,"Mgr. Nina Herčková, RSc.",Žilina
JuIyQ6FpRLK,land,1156,"gently sloped",55.00,"okres Námestovo",Vasiľov,Vasiľov,"RK Dalmia s. r. o.","Dolný Kubín"
Ju1cmZVZL9p,land,11129,NULL,65.00,"okres Martin",Martin,NULL,"BALAŽI REAL ESTATE s.r.o.",Topoľčany
JuFjy1TVvsF,land,2777,flat,NULL,"okres Bytča",NULL,NULL,"B10 Slovensko, a. s.",Žilina
Ju_utm8DAV9,land,1700,flat,99.00,"okres Čadca",Čadca,Rieka,NULL,NULL
JuaoRgRgfTM,land,2140,sloped,0.00,"okres Kysucké Nové Mesto",Nesluša,Nesluša,"B10 Slovensko, a. s.",Žilina
JuVIY0GAADR,land,NULL,NULL,99.00,"okres Ružomberok","Liptovské Sliače","Liptovské Sliače",NULL,NULL
JuC0KIbI5oB,land,1801,"gently sloped",75.00,"okres Čadca",Raková,Raková,"1. Reality Rent, s.r.o.",Žilina
