offer_id,property_type,area,terrain,price_m2,location_district,location_city,location_area,agency,office_city
Ju9yYyvLM4S,land,720,flat,NULL,"okres Liptovský Mikuláš","Pavčina Lehota","Pavčina Lehota","AstonReal s.r.o.","Banská Bystrica"
JuEOlFJy7eI,land,2714,flat,44.22,"okres Liptovský Mikuláš","Svätý Kríž","Svätý Kríž","Realitná kancelária",Bratislava
Ju_3Vu8GkBj,land,922,"gently sloped",NULL,"okres Žilina",Žilina,Brodno,"YNI reality",Žilina
JuCdo9RybP_,land,1783,NULL,53.37,"okres Čadca",Svrčinovec,Svrčinovec,"BeMi realitná kancelária",Nitra
JuQqb1Uylo_,land,1003,NULL,26.92,"okres Turčianske Teplice","Horná Štubňa","Horná Štubňa","BALAŽI REAL ESTATE s.r.o.",Topoľčany
Juo4-ERrO5Y,land,898,NULL,NULL,"okres Martin",Turany,Turany,"BALAŽI REAL ESTATE s.r.o.",Topoľčany
JuqKis-FMaT,land,580,NULL,153.45,"okres Žilina",Svederník,Svederník,NULL,NULL
Ju11TbSO8Lx,land,NULL,NULL,NULL,"okres Martin",Valča,Valča,"MGM reality",Žilina
Jumx1pcB1EA,land,850,sloped,103.29,"okres Žilina","Dolná Tižina","Dolná Tižina","Realitka pre každého",Žilina
Ju_om9GbVZa,land,509,NULL,NULL,"okres Martin",Martin,Priekopa,"ROMDOM, s. r. o",Žilina
JuDFkgbrvLz,land,883,flat,152.89,"okres Dolný Kubín",Veličná,Veličná,"RK Dalmia s. r. o.","Dolný Kubín"
JuWNBUmtL8H,land,819,"gently sloped",96.46,"okres Čadca",Čadca,Podzávoz,"Realitka pre každého",Žilina
JuI3WIo1gnr,land,744,flat,100.00,"okres Kysucké Nové Mesto",Povina,Povina,Envire,Bratislava
JuHPdbSyfw3,land,4700,NULL,19.00,"okres Turčianske Teplice",Turček,Turček,"XEMAR realitná spoločnosť s.r.o.","Banská Bystrica"
JummK5hE8Lr,land,522,"gently sloped",124.33,"okres Žilina",Žilina,"Žilinská Lehota","DRR INVEST, s. r. o.","Horný Hričov"
Jue_IKSyNYA,land,551,"mostly flat",30.00,"okres Čadca",Raková,Raková,"JPE. Reality - Jozef Pajer",Čadca
Jufp6SmYJxs,land,913,flat,131.43,"okres Martin",Vrútky,"Karvaša a Bláhovca","LIF REAL",Martin
JuKcCOH5Bgu,land,2160,NULL,68.98,"okres Žilina",Ovčiarsko,Ovčiarsko,"Realitné kancelárie SR",Bratislava
JuQXoAMiC5M,land,3948,NULL,60.00,"okres Žilina",Kunerad,Kunerad,NULL,NULL
JujYYo9Qtpi,land,3099,"gently sloped",NULL,"okres Bytča","Hlboké nad Váhom","Hlboké nad Váhom","TOCA, s.r.o. Realitná činnosť",Bytča
JuY_o0Hq1ua,land,758,"gently sloped",39.45,"okres Kysucké Nové Mesto",Snežnica,Snežnica,"Reality IQ, s.r.o.",Žilina
Ju9DTwAgiHG,land,879,flat,139.00,"okres Liptovský Mikuláš",Beňadiková,Beňadiková,"RE/MAX Slovakia",Bratislava
JuARnh9cPNq,land,930,flat,108.00,"okres Liptovský Mikuláš",Jamník,Jamník,"Realitné kancelárie SR",Bratislava
