property_type,condition,location_district,dis_avg_price,agency,agency_avg_price,price_diff
"3-room apartment","partially renovated","okres Martin",1871.712143,"NajBývanie, s.r.o.",1710.140000,-0.0863231793
"3-room apartment","partially renovated","okres Žilina",2360.442222,"Effecting s.r.o.",2972.840000,0.2594419691
"3-room apartment","partially renovated","okres Turčianske Teplice",1384.925000,"Reality AK, spol. s r.o.",NULL,NULL
"3-room apartment","partially renovated","okres Martin",1871.712143,"Reality Turiec s.r o.",NULL,NULL
"3-room apartment","partially renovated","okres Žilina",2360.442222,"DreamReality s.r.o.",2362.500000,0.0008717765
"3-room apartment","partially renovated","okres Liptovský Mikuláš",2084.653077,"TUreality s.r.o.",2831.460000,0.3582403860
"3-room apartment","partially renovated","okres Turčianske Teplice",1384.925000,NULL,NULL,NULL
"3-room apartment","partially renovated","okres Bytča",1752.222500,"R2 SK, s.r.o.",1690.130000,-0.0354364243
"3-room apartment","partially renovated","okres Ružomberok",1988.912000,"TUreality s.r.o.",1772.805000,-0.1086558882
"3-room apartment","partially renovated","okres Čadca",1920.963333,"Realitná kancelária",NULL,NULL
"3-room apartment","partially renovated","okres Ružomberok",1988.912000,"Reality Alpia",1854.400000,-0.0676309460
"3-room apartment","partially renovated","okres Tvrdošín",2149.100000,"TUreality s.r.o.",2149.100000,0.0000000000
"3-room apartment","partially renovated","okres Martin",1871.712143,"Reality ASTORIA, s.r.o.",1792.455000,-0.0423447288
"3-room apartment","partially renovated","okres Žilina",2360.442222,"Buby reality, s.r.o.",1685.200000,-0.2860659819
"3-room apartment","partially renovated","okres Martin",1871.712143,"FINREA - ak vám záleží na výsledku",1527.780000,-0.1837526910
"3-room apartment","partially renovated","okres Martin",1871.712143,"RECLOUD Reality a.s.",NULL,NULL
"3-room apartment","partially renovated","okres Liptovský Mikuláš",2084.653077,"RESIDENCE realitná kancelária",1792.450000,-0.1401686833
"3-room apartment","partially renovated","okres Martin",1871.712143,"Reality AK, spol. s r.o.",2162.175000,0.1551856454
"3-room apartment","partially renovated","okres Ružomberok",1988.912000,"AstonReal s.r.o.",NULL,NULL
"3-room apartment","partially renovated","okres Čadca",1920.963333,NULL,2213.850000,0.1524686401
"3-room apartment","partially renovated","okres Ružomberok",1988.912000,NULL,2280.515000,0.1466143298
"3-room apartment","partially renovated","okres Bytča",1752.222500,"Reality Alpia",1784.520000,0.0184323053
"3-room apartment","partially renovated","okres Liptovský Mikuláš",2084.653077,"OVERENÉ REALITY",1941.646667,-0.0685996205
"3-room apartment","partially renovated","okres Martin",1871.712143,"Realitná kancelária",2028.156667,0.0835836454
"3-room apartment","partially renovated","okres Ružomberok",1988.912000,"RECLOUD Reality a.s.",NULL,NULL
"3-room apartment","partially renovated","okres Kysucké Nové Mesto",2123.590000,"BeMi realitná kancelária",2231.880000,0.0509938359
"3-room apartment","partially renovated","okres Žilina",2360.442222,"Piata Avenue",2117.530000,-0.1029096242
"3-room apartment","partially renovated","okres Liptovský Mikuláš",2084.653077,"GERT , s.r.o.",NULL,NULL
"3-room apartment","partially renovated","okres Bytča",1752.222500,"RIEŠIME BÝVANIE",1767.120000,0.0085020595
"3-room apartment","partially renovated","okres Martin",1871.712143,"Like Reality s.r.o.",1777.767500,-0.0501918222
"3-room apartment","partially renovated","okres Martin",1871.712143,"Mgr. Silvia Lukáčová - RealPoint",NULL,NULL
"3-room apartment","partially renovated","okres Žilina",2360.442222,"MGM reality",2534.590000,0.0737776067
"3-room apartment","partially renovated","okres Liptovský Mikuláš",2084.653077,"HALO reality, s.r.o.",2133.245000,0.0233093571
"3-room apartment","partially renovated","okres Žilina",2360.442222,"TUreality s.r.o.",2298.380000,-0.0262926249
"3-room apartment","partially renovated","okres Liptovský Mikuláš",2084.653077,"Direct Real, spol. s r.o.",2307.680000,0.1069851504
"3-room apartment","partially renovated","okres Ružomberok",1988.912000,"Piešťany Reality",2833.330000,0.4245627760
"3-room apartment","partially renovated","okres Ružomberok",1988.912000,"A-Byt Consult, s.r.o.",1693.620000,-0.1484691128
"3-room apartment","partially renovated","okres Martin",1871.712143,"TUreality s.r.o.",1746.750000,-0.0667635477
"3-room apartment","partially renovated","okres Martin",1871.712143,"LIF REAL",1785.710000,-0.0459483812
"3-room apartment","partially renovated","okres Martin",1871.712143,"Reality D.P.A.",1779.070000,-0.0494959352
"3-room apartment","partially renovated","okres Žilina",2360.442222,NULL,NULL,NULL
"3-room apartment","partially renovated","okres Martin",1871.712143,"TARGETreal s. r. o.",1687.500000,-0.0984190564
"3-room apartment","partially renovated","okres Žilina",2360.442222,"ROMDOM, s. r. o",2265.330000,-0.0402942386
"3-room apartment","partially renovated","okres Turčianske Teplice",1384.925000,"TUreality s.r.o.",NULL,NULL
"4-room apartment","new construction","okres Žilina",2968.784762,"Reinoo a.s.",3500.005000,0.1789352481
"4-room apartment","new construction","okres Žilina",2968.784762,"Bosen Group s.r.o.",2515.385000,-0.1527223421
"4-room apartment","new construction","okres Žilina",2968.784762,"WFG reality, s.r.o.",3323.810000,0.1195860483
"4-room apartment","new construction","okres Liptovský Mikuláš",2746.960000,"Bosen Group s.r.o.",2895.290000,0.0539978740
"4-room apartment","new construction","okres Liptovský Mikuláš",2746.960000,"RK SPIRIT s.r.o.",2187.700000,-0.2035923348
"4-room apartment","new construction","okres Žilina",2968.784762,"KORSO Project, s.r.o.",3658.756667,0.2324088677
"4-room apartment","new construction","okres Ružomberok",2482.890000,NULL,2504.240000,0.0085988505
"4-room apartment","new construction","okres Martin",1863.000000,"Buby reality, s.r.o.",NULL,NULL
"4-room apartment","new construction","okres Čadca",1570.420000,"MGM reality",1570.420000,0.0000000000
"4-room apartment","new construction","okres Žilina",2968.784762,"DreamReality s.r.o.",2761.590000,-0.0697911026
"4-room apartment","new construction","okres Žilina",2968.784762,"TUreality s.r.o.",2386.970000,-0.1959774145
"4-room apartment","new construction","okres Žilina",2968.784762,"MGM reality",NULL,NULL
"4-room apartment","new construction","okres Žilina",2968.784762,"B10 Slovensko, a. s.",2557.250000,-0.1386206125
"4-room apartment","new construction","okres Žilina",2968.784762,"HMS Services, a. s.",3143.080000,0.0587092875
"4-room apartment","new construction","okres Turčianske Teplice",NULL,"Arvin & Benet",NULL,NULL
"4-room apartment","new construction","okres Liptovský Mikuláš",2746.960000,"Occam New Home",NULL,NULL
