agency,apt_listings,apt_pricing_idx,apt_top5,house_listings,house_pricing_idx,house_top5,land_listings,land_pricing_idx,land_top5
"JPE. Reality - Jozef Pajer",3,-0.02110000,NULL,7,0.00027143,NULL,4,0.11310000,NULL
"Juraj Hegyi Reality & Development s.r.o.",1,0.32050000,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"K&B Partners, s.r.o.",NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL
"KA Real",4,-0.00847500,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"KARIN & PARTNERS, s.r.o.",1,0.01100000,NULL,2,-0.11400000,NULL,NULL,NULL,NULL
"KES - RV s.r.o.",1,-0.02390000,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"KING REAL s. r. o.",NULL,NULL,NULL,1,0.00470000,NULL,NULL,NULL,NULL
"KORIJKOV & AGENTS",NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL
"KORSO Project, s.r.o.",13,0.00387692,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"KOSIBA reality s.r.o.",NULL,NULL,NULL,1,-0.12700000,NULL,NULL,NULL,NULL
"KRALIKOVA reality",1,0.21640000,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Kristína Čanády",NULL,NULL,NULL,NULL,NULL,NULL,1,0.13080000,NULL
"KRUPPKY, s.r.o.",2,0.18620000,NULL,3,0.00000000,NULL,2,0.12865000,NULL
"KUBALA REALITY, s.r.o.",1,NULL,NULL,1,0.31990000,NULL,1,-0.19350000,NULL
"LAVENTURA s.r.o.",1,-0.00290000,NULL,1,NULL,NULL,NULL,NULL,NULL
"LAWIS s.r.o.",NULL,NULL,NULL,1,0.00000000,NULL,1,-0.03390000,NULL
"LEGEND realitná spoločnosť  s. r. o.",NULL,NULL,NULL,1,0.00000000,NULL,NULL,NULL,NULL
"LICITOR group, a.s.",1,0.00000000,NULL,4,0.00000000,NULL,NULL,NULL,NULL
"LIF REAL",5,-0.04813333,NULL,5,-0.08270000,NULL,3,-0.00036667,NULL
"Like Reality s.r.o.",12,-0.01404000,NULL,8,0.12713333,NULL,2,0.00000000,NULL
