location_district,location_area,property_type,condition,rent_count,sale_count,rent_share,min_ptr,avg_ptr,max_ptr
"okres Liptovský Mikuláš",Palúdzka,"3-room apartment","partially renovated",14,7,0.6667,14.669975,17.6822095000,20.694444
"okres Martin",Ľadoveň,"4-room apartment","partially renovated",6,19,0.2400,21.043349,21.8125240000,22.581699
"okres Kysucké Nové Mesto",Kamence,"3-room apartment","new construction",4,30,0.1176,15.025801,15.0258010000,15.025801
"okres Žilina",Vlčince,"studio apartment","new construction",32,65,0.3299,19.666667,20.5919040000,21.517141
"okres Martin","Karvaša a Bláhovca",house,"new construction",2,15,0.1176,1.679587,2.2007650000,2.721943
"okres Liptovský Mikuláš","Vrbica - Nábrežie","2-room apartment",unrenovated,5,20,0.2000,12.987773,12.9877730000,12.987773
"okres Dolný Kubín","Veľký Bysterec","3-room apartment","fully renovated",5,11,0.3125,20.339348,23.0352795000,25.750646
"okres Kysucké Nové Mesto",Sídlisko,"2-room apartment","fully renovated",8,13,0.3810,23.681904,24.3494170000,25.016930
"okres Čadca",Kyčerka,"3-room apartment","fully renovated",4,8,0.3333,18.705574,18.7055740000,18.705574
"okres Čadca",Čierne,house,unrenovated,2,10,0.1667,28.288072,28.2880720000,28.288072
"okres Martin",Košúty,"3-room apartment","fully renovated",6,15,0.2857,17.488632,17.6252620000,17.761892
"okres Žilina",Hliny,"2-room apartment","new construction",24,37,0.3934,24.033030,25.4682443333,27.546997
"okres Dolný Kubín",Stred,"2-room apartment","new construction",3,11,0.2143,31.469314,31.4693140000,31.469314
"okres Žilina",Bôrik,"2-room apartment","development project",7,25,0.2188,32.338200,32.3382000000,32.338200
"okres Liptovský Mikuláš",Stošice,"1-room apartment","new construction",1,6,0.1429,18.426529,18.4265290000,18.426529
"okres Čadca",Žarec,"3-room apartment","fully renovated",5,11,0.3125,18.523451,18.5234510000,18.523451
