price_m2,ln_price_m2,holiday_apartment,rooms,area,ln_area,unrenovated,partially_renovated,fully_renovated,new_construction,new_project,ground_floor,upper_floor,top_floor,missing_floor,floor_upto_8,very_high_floor,elevator,age,ln_age,energy_certificate,north,south,east,west,BY,ZA,KM,CA,MT,TR,DK,NO,TS,RK,LM,area_price_index
1430.69,7.265912124362344,0,3.0,202,5.308267697401205,0,0,0,1,0,0,1,0,0,5.0,0,1,4.47,1.6992786164338898,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-15.45623996511111
2941.64,7.986722527936491,0,3.0,63,4.143134726391533,0,0,0,0,1,0,1,0,0,2.0,0,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,-3.70425049726667
2965.36,7.994753720587575,0,3.0,63,4.143134726391533,0,0,0,0,1,0,1,0,0,5.0,0,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,-3.70425049726667
2931.68,7.983330916531865,0,4.0,77,4.343805421853684,0,0,0,0,1,0,1,0,0,5.0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,-3.70425049726667
2964.29,7.994392822385619,0,3.0,84,4.430816798843313,0,0,0,1,0,0,1,0,0,3.0,0,0,2,1.0986122886681098,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-3.70425049726667
2815.49,7.942891592921361,0,4.0,80,4.382026634673881,0,0,0,0,1,0,1,0,0,2.0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,-3.70425049726667
2832.33,7.948854973448779,0,4.0,79,4.3694478524670215,0,0,0,0,1,0,1,0,0,3.0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,-3.70425049726667
3685.71,8.212218459063022,0,1.0,35,3.5553480614894135,0,0,0,1,0,1,0,0,1,2.8,0,0,4,1.6094379124341003,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,-3.70425049726667
2857.50,7.957702395668965,0,4.0,79,4.3694478524670215,0,0,0,0,1,0,1,0,0,5.0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,-3.70425049726667
2138.89,7.668042281860095,0,3.0,72,4.276666119016055,0,1,0,0,0,0,1,0,0,8.0,0,0,36,3.6109179126442243,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-3.70425049726667
2742.57,7.916650715980441,0,4.0,101,4.61512051684126,0,0,0,0,1,0,1,0,0,5.0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-3.70425049726667
3120.96,8.04589592578365,0,2.0,54,3.9889840465642745,0,0,0,0,1,0,1,0,0,2.0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,-3.70425049726667
2693.72,7.898678416899091,0,4.0,87,4.465908118654584,0,0,0,0,1,1,0,0,0,2.0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,-3.70425049726667
3120.96,8.04589592578365,0,2.0,54,3.9889840465642745,0,0,0,0,1,1,0,0,0,1.0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,-3.70425049726667
2832.33,7.948854973448779,0,4.0,79,4.3694478524670215,0,0,0,0,1,0,1,0,0,4.0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,-3.70425049726667
2892.94,7.970028565044507,0,4.0,77,4.343805421853684,0,0,0,0,1,0,1,0,0,2.0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,-3.70425049726667
2845.34,7.953437847328542,0,3.0,65,4.174387269895637,0,0,0,0,1,0,1,0,0,2.0,0,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,-3.70425049726667
1923.06,7.561672946350081,0,4.0,78,4.356708826689592,0,1,0,0,0,0,0,0,1,2.8,0,0,8,2.1972245773362196,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-3.70425049726667
3120.96,8.04589592578365,0,2.0,54,3.9889840465642745,0,0,0,0,1,0,1,0,0,2.0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,-3.70425049726667
2892.94,7.970028565044507,0,4.0,77,4.343805421853684,0,0,0,0,1,0,1,0,0,2.0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,-3.70425049726667
1943.06,7.572019328983007,0,3.0,72,4.276666119016055,1,0,0,0,0,0,1,0,0,9.0,1,1,44,3.8066624897703196,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-3.70425049726667
2905.85,7.97448122545458,0,4.0,77,4.343805421853684,0,0,0,0,1,0,1,0,0,3.0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,-3.70425049726667
2397.44,7.782156780375614,0,3.0,78,4.356708826689592,1,0,0,0,0,1,0,0,0,1.0,0,0,18,2.9444389791664403,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-3.70425049726667
