price_m2,area,ln_area,flat,sloped,BY,ZA,KM,CA,MT,TR,DK,NO,TS,RK,LM,area_price_index
51.72,406,6.0063531596017325,1,0,0,0,0,1,0,0,0,0,0,0,0,-22.05749759994000
116.64,703,6.555356891810665,0,0,0,0,0,1,0,0,0,0,0,0,0,-22.05749759994000
67.50,960,6.866933284461882,1,0,0,0,0,1,0,0,0,0,0,0,0,-22.05749759994000
75.00,1801,7.496097345175956,0,1,0,0,0,1,0,0,0,0,0,0,0,-22.05749759994000
55.00,1350,7.2078598714324755,1,0,0,0,0,1,0,0,0,0,0,0,0,-22.05749759994000
61.59,617,6.424869023905388,1,0,0,0,0,1,0,0,0,0,0,0,0,-22.05749759994000
62.93,1311,7.1785454837637,0,0,0,0,0,1,0,0,0,0,0,0,0,-22.05749759994000
60.00,1350,7.2078598714324755,1,0,0,0,0,1,0,0,0,0,0,0,0,-22.05749759994000
68.88,1234,7.1180162044653335,1,0,0,0,0,1,0,0,0,0,0,0,0,-22.05749759994000
30.00,551,6.311734809152915,1,0,0,0,0,1,0,0,0,0,0,0,0,-22.05749759994000
65.00,1362,7.216709486709457,1,0,0,0,0,1,0,0,0,0,0,0,0,-22.05749759994000
243.89,778,6.656726524178391,0,1,0,1,0,0,0,0,0,0,0,0,0,5.07869344151667
97.80,501,6.2166061010848646,0,0,0,1,0,0,0,0,0,0,0,0,0,5.07869344151667
100.00,686,6.530877627725885,0,0,0,0,0,0,0,0,0,0,0,1,0,16.39579969891111
58.00,802,6.687108607866515,0,1,0,0,0,0,0,0,0,0,0,1,0,16.39579969891111
0.05,1481,7.300472814267799,0,0,0,0,0,0,0,0,0,1,0,0,0,-55.82763356716667
100.00,350,5.857933154483459,0,0,0,0,0,0,0,0,0,1,0,0,0,-55.82763356716667
100.00,350,5.857933154483459,1,0,0,0,0,0,0,0,0,1,0,0,0,-55.82763356716667
91.66,971,6.878326468291325,1,0,0,0,0,0,1,0,0,0,0,0,0,-5.65874862225000
88.00,1409,7.25063551189868,1,0,0,1,0,0,0,0,0,0,0,0,0,9.02103437447500
125.54,693,6.541029999189903,0,0,0,1,0,0,0,0,0,0,0,0,0,9.02103437447500
125.54,693,6.541029999189903,0,0,0,1,0,0,0,0,0,0,0,0,0,9.02103437447500
130.00,500,6.214608098422191,0,1,0,1,0,0,0,0,0,0,0,0,0,9.02103437447500
134.40,625,6.437751649736401,0,0,0,1,0,0,0,0,0,0,0,0,0,9.02103437447500
127.75,1409,7.25063551189868,0,1,0,1,0,0,0,0,0,0,0,0,0,9.02103437447500
155.83,1123,7.023758954738443,0,0,0,1,0,0,0,0,0,0,0,0,0,9.02103437447500
99.00,736,6.601230118728877,0,1,0,1,0,0,0,0,0,0,0,0,0,9.02103437447500
179.43,418,6.035481432524756,0,0,0,1,0,0,0,0,0,0,0,0,0,9.02103437447500
289.09,1100,7.003065458786462,0,1,0,1,0,0,0,0,0,0,0,0,0,9.02103437447500
198.14,429,6.061456918928017,0,1,0,0,0,0,0,0,0,0,0,0,1,13.11195283041667
159.43,439,6.0844994130751715,0,0,0,0,0,0,0,0,0,0,0,0,1,13.11195283041667
222.00,491,6.19644412779452,0,0,0,0,0,0,0,0,0,0,0,0,1,13.11195283041667
184.31,434,6.073044534100405,0,1,0,0,0,0,0,0,0,0,0,0,1,13.11195283041667
170.53,431,6.066108090103747,0,1,0,0,0,0,0,0,0,0,0,0,1,13.11195283041667
186.46,429,6.061456918928017,0,1,0,0,0,0,0,0,0,0,0,0,1,13.11195283041667
85.00,3653,8.203304026795282,0,0,0,0,0,0,1,0,0,0,0,0,0,-12.61345316354545
65.00,4662,8.447199819595703,0,0,0,0,0,0,1,0,0,0,0,0,0,-12.61345316354545
65.00,2884,7.96693349840484,0,0,0,0,0,0,1,0,0,0,0,0,0,-12.61345316354545
65.00,11672,9.364948090202622,0,0,0,0,0,0,1,0,0,0,0,0,0,-12.61345316354545
65.00,3310,8.104703468371108,0,0,0,0,0,0,1,0,0,0,0,0,0,-12.61345316354545
65.00,2850,7.955074273262696,0,0,0,0,0,0,1,0,0,0,0,0,0,-12.61345316354545
65.00,11672,9.364948090202622,0,0,0,0,0,0,1,0,0,0,0,0,0,-12.61345316354545
185.87,807,6.693323668269949,1,0,0,0,0,0,1,0,0,0,0,0,0,-12.61345316354545
100.00,1498,7.311886164077165,0,1,0,0,0,0,1,0,0,0,0,0,0,-12.61345316354545
85.00,3653,8.203304026795282,0,0,0,0,0,0,1,0,0,0,0,0,0,-12.61345316354545
110.00,1199,7.089243155027514,1,0,0,0,0,1,0,0,0,0,0,0,0,-22.04248484540000
135.24,403,5.998936561946683,0,0,0,0,0,1,0,0,0,0,0,0,0,-22.04248484540000
8.00,2147,7.671826797878781,0,1,0,0,0,1,0,0,0,0,0,0,0,-22.04248484540000
102.09,431,6.066108090103747,1,0,0,0,0,1,0,0,0,0,0,0,0,-22.04248484540000
56.10,533,6.278521424165844,0,1,0,0,0,1,0,0,0,0,0,0,0,-22.04248484540000
126.55,403,5.998936561946683,0,0,0,0,0,1,0,0,0,0,0,0,0,-22.04248484540000
85.63,467,6.1463292576688975,0,0,0,0,0,1,0,0,0,0,0,0,0,-22.04248484540000
66.97,1193,7.084226422097916,1,0,0,0,0,1,0,0,0,0,0,0,0,-22.04248484540000
67.53,385,5.953243334287785,1,0,0,0,0,1,0,0,0,0,0,0,0,-22.04248484540000
48.50,1292,7.163946684342547,0,1,0,0,0,1,0,0,0,0,0,0,0,-22.04248484540000
48.00,1229,7.113956109566034,0,1,0,0,0,1,0,0,0,0,0,0,0,-22.04248484540000
53.53,1401,7.244941546337007,1,0,0,0,0,1,0,0,0,0,0,0,0,-22.04248484540000
79.30,1179,7.072421900537371,0,1,0,0,0,1,0,0,0,0,0,0,0,-22.04248484540000
27.00,1817,7.504942068396171,0,1,0,0,0,1,0,0,0,0,0,0,0,-22.04248484540000
22.15,2618,7.870165946469845,0,1,0,0,0,1,0,0,0,0,0,0,0,-22.04248484540000
55.45,523,6.259581464064923,0,1,0,0,0,1,0,0,0,0,0,0,0,-22.04248484540000
85.00,679,6.520621127558696,1,0,0,0,0,0,0,0,0,0,0,1,0,-17.01205561955556
120.00,500,6.214608098422191,0,1,0,0,0,0,0,0,0,0,0,1,0,-17.01205561955556
148.00,1010,6.917705609835305,1,0,0,0,0,0,1,0,0,0,0,0,0,-19.13181231142143
95.02,1625,7.393263094763838,0,0,0,0,0,0,1,0,0,0,0,0,0,-19.13181231142143
120.00,642,6.464588303689961,1,0,0,0,0,0,1,0,0,0,0,0,0,-19.13181231142143
120.00,642,6.464588303689961,1,0,0,0,0,0,1,0,0,0,0,0,0,-19.13181231142143
140.00,723,6.583409222158765,0,0,0,0,0,0,1,0,0,0,0,0,0,-19.13181231142143
96.35,37067,10.52048236489583,1,0,0,0,0,0,1,0,0,0,0,0,0,-19.13181231142143
113.86,966,6.873163834212518,0,0,0,0,0,0,1,0,0,0,0,0,0,-19.13181231142143
123.19,966,6.873163834212518,1,0,0,0,0,0,1,0,0,0,0,0,0,-19.13181231142143
37.75,1322,7.186901020411631,0,1,0,0,0,0,1,0,0,0,0,0,0,-32.67598336871000
104.90,572,6.349138991379798,0,0,0,0,0,0,1,0,0,0,0,0,0,-32.67598336871000
111.36,440,6.0867747269123065,1,0,0,0,0,0,1,0,0,0,0,0,0,-32.67598336871000
46.84,1537,7.337587743538596,0,1,0,0,0,0,1,0,0,0,0,0,0,-32.67598336871000
73.14,793,6.675823221634848,0,0,0,0,0,0,1,0,0,0,0,0,0,-32.67598336871000
55.56,648,6.473890696352274,0,1,0,0,0,1,0,0,0,0,0,0,0,-22.98083208213333
27.00,1784,7.486613313139955,1,0,0,0,0,1,0,0,0,0,0,0,0,-22.98083208213333
82.00,920,6.824373670043086,1,0,0,0,0,1,0,0,0,0,0,0,0,-22.98083208213333
18.00,3590,8.185907481482324,0,0,0,0,0,1,0,0,0,0,0,0,0,-22.98083208213333
65.19,675,6.51471269087253,1,0,0,0,0,1,0,0,0,0,0,0,0,-22.98083208213333
26.50,1670,7.4205789054108005,1,0,0,0,0,1,0,0,0,0,0,0,0,-22.98083208213333
17.00,3590,8.185907481482324,0,1,0,0,0,1,0,0,0,0,0,0,0,-22.98083208213333
32.69,1193,7.084226422097916,0,1,0,0,0,1,0,0,0,0,0,0,0,-22.98083208213333
35.21,1193,7.084226422097916,0,1,0,0,0,1,0,0,0,0,0,0,0,-22.98083208213333
18.21,2306,7.743269700829004,0,0,0,0,0,1,0,0,0,0,0,0,0,-22.98083208213333
87.40,389,5.963579343618446,1,0,0,0,0,1,0,0,0,0,0,0,0,-22.98083208213333
199.00,789,6.670766320845874,0,1,0,0,0,0,0,0,0,0,0,0,1,36.03249652925000
57.40,4181,8.338305731356565,0,1,0,0,0,0,1,0,0,0,0,0,0,6.76942205142500
