price_m2,area,house_area,land_area,unrenovated,partially_renovated,fully_renovated,new_construction,in_development,age,flat,sloped,BY,ZA,KM,CA,MT,TR,DK,NO,TS,RK,LM,area_price_index
181.82,1375,1375,1375,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,-7.51349586389167
3913.58,81,81,948,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,8.56440930826000
1145.83,240,240,596,0,1,0,0,0,34,1,0,1,0,0,0,0,0,0,0,0,0,0,8.56440930826000
1458.33,240,240,1707,0,0,1,0,0,16,1,0,0,0,0,1,0,0,0,0,0,0,0,19.26102547363333
1458.33,240,240,1707,1,0,0,0,0,16,1,0,0,0,0,1,0,0,0,0,0,0,0,19.26102547363333
1822.15,135,135,780,0,1,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,1,36.87411693513750
2616.28,86,86,986,0,0,0,1,0,15,0,1,0,0,0,0,0,1,0,0,0,0,0,-16.60077456878182
990.00,200,200,706,0,1,0,0,0,115,1,0,0,0,0,0,0,1,0,0,0,0,0,-16.60077456878182
104.17,1200,1200,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,-16.60077456878182
1062.22,225,225,583,1,0,0,0,0,49,1,0,0,0,0,0,0,1,0,0,0,0,0,-16.60077456878182
3180.56,72,72,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,-18.54957232614000
587.06,85,85,3271,1,0,0,0,0,75,1,0,0,0,0,0,0,0,0,0,0,0,1,-18.54957232614000
768.46,130,130,956,0,1,0,0,0,50,0,0,0,0,0,1,0,0,0,0,0,0,0,-22.05749759994000
407.41,270,270,877,1,0,0,0,0,55,0,0,0,0,0,1,0,0,0,0,0,0,0,-22.05749759994000
1369.10,233,233,1483,0,1,0,0,0,55,1,0,0,0,0,1,0,0,0,0,0,0,0,-22.05749759994000
1369.10,233,233,1483,0,1,0,0,0,65,1,0,0,0,0,1,0,0,0,0,0,0,0,-22.05749759994000
260.00,300,300,383,1,0,0,0,0,125,0,0,0,0,0,0,0,0,0,0,0,0,1,-20.16382432333333
320.54,808,808,808,1,0,0,0,0,60,0,0,0,0,0,0,1,0,0,0,0,0,0,-5.00191563665556
2250.00,120,120,737,1,0,0,0,0,55,1,0,0,0,0,0,1,0,0,0,0,0,0,-5.00191563665556
1317.57,148,148,395,0,1,0,0,0,65,1,0,0,1,0,0,0,0,0,0,0,0,0,5.07869344151667
2453.85,130,130,250,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5.07869344151667
2576.92,130,130,250,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5.07869344151667
1642.86,210,210,444,0,0,1,0,0,45,0,0,0,1,0,0,0,0,0,0,0,0,0,5.07869344151667
2230.69,130,130,365,0,0,0,1,0,9,0,0,0,1,0,0,0,0,0,0,0,0,0,5.07869344151667
184.86,865,865,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,5.07869344151667
1445.95,148,148,1100,1,0,0,0,0,62,0,1,0,1,0,0,0,0,0,0,0,0,0,5.07869344151667
1034.14,290,290,0,0,1,0,0,0,65,1,0,0,0,0,0,0,0,0,0,0,1,0,16.39579969891111
194.50,400,400,400,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,-47.19670082116667
1833.33,90,90,392,0,0,0,1,0,125,0,0,0,0,0,0,0,0,0,1,0,0,0,-47.19670082116667
1191.18,340,340,780,0,0,1,0,0,55,0,0,0,0,0,0,1,0,0,0,0,0,0,-5.65874862225000
1954.25,153,153,671,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,9.02103437447500
2860.15,125,125,426,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,9.02103437447500
2617.11,125,125,286,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,9.02103437447500
1443.30,97,97,574,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,9.02103437447500
1546.96,91,91,577,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,9.02103437447500
1870.31,186,186,288,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,9.02103437447500
1870.31,186,186,288,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,9.02103437447500
