offer_id,built_in,house_area,land_area,built_up_area,terrain,energy_certificate,electricity,water
Ju2mmFeZCca,1995,85,389.0,244.0,"mostly flat","not available",NULL,NULL
Ju_D1IbOI5l,2018,318,1037.0,159.0,"mostly flat",B,on-site,"public water"
JucYnfxB91V,2019,55,NULL,70.0,flat,A,on-site,"public water"
JufRC9onHuL,2020,295,NULL,295.0,"gently sloped","not available",on-site,well
Ju5R8pDPeWZ,1920,264,2032.0,200.0,flat,"not available",NULL,"public water"
Ju6HLriDjfB,2013,135,1236.0,147.0,flat,"not available",on-site,"public water"
Ju7mrdPR_cn,1991,305,544.0,200.0,NULL,"not available",NULL,NULL
Ju-2YZ37zxt,1921,95,876.0,120.0,flat,"in preparation",on-site,"public water"
Ju1cp4Zdad9,2025,134,750.0,157.0,"mostly flat","not available",on-site,"public water"
JulXcIcccXx,2024,200,805.0,230.0,NULL,A,NULL,NULL
Ju2sBY5BIo1,1940,250,750.0,NULL,NULL,"not available",NULL,NULL
JuE7_yY48hp,1963,150,570.0,150.0,NULL,NULL,NULL,NULL
JuZhO-rErgT,1970,170,774.0,170.0,flat,"not available",on-site,"public water"
JuOha8XJ-eZ,1990,100,800.0,100.0,NULL,"not available",NULL,NULL
Ju2EG21S4h4,2024,29,NULL,26.0,other,A,"not available","not available"
Jum5hTEjQIq,2025,1200,NULL,NULL,flat,"not available","not available","not available"
JuG-bGr9or0,2025,680,NULL,NULL,"gently sloped","not available","not available",well
JumII_lj6i4,2020,84,497.0,99.0,NULL,NULL,NULL,NULL
JunpOFmuQsM,2018,300,994.0,392.0,flat,"not available",NULL,NULL
JuaDU5eWN9y,2024,119,514.0,72.6,"mostly flat","not available",NULL,NULL
JucsRg9RieN,2000,248,1042.0,248.0,NULL,"not available",NULL,NULL
JuM4P4vy0RV,2024,131,588.0,90.0,NULL,A,NULL,NULL
JuUMimgiwBf,1900,130,1515.0,110.0,sloped,"not available",NULL,NULL
Jukz4cqoQIH,2025,156,632.0,167.0,other,A,NULL,"not available"
JuKIg369MuS,1980,2850,2850.0,NULL,NULL,"not available",NULL,NULL
JuBqrsBTBJs,2024,140,620.0,140.0,flat,"not available",on-site,"public water"
Jusa_KVAuJ7,1975,70,NULL,90.0,"gently sloped",A,on-site,"public water"
Jupd__eIrfW,2025,110,400.0,110.0,NULL,NULL,NULL,NULL
Ju419iKir6V,2023,160,NULL,180.0,flat,B,on-site,well
JuVNXqUSw6h,1900,400,519.0,260.0,"gently sloped","not available",NULL,well
JuV0_j6OG4Q,1970,80,327.0,90.0,flat,"not available",NULL,NULL
Juoa-Iz2VRV,1960,140,492.0,90.0,flat,"not available",NULL,NULL
JuEW0eTR9MG,1975,165,NULL,165.0,flat,"not available","at property line","public water"
Ju7atSyCG1P,1965,100,957.0,128.0,flat,"not available",NULL,NULL
JuvIyu9zHe0,2025,131,849.0,131.0,flat,"not available",on-site,well
