offer_id,position,floor,total_floors,elevator,built_in,energy_certificate,north,south,east,west
JunnFbGwfA5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
JuFv7NTgqug,"ground floor",1,4,yes,2021,B,NULL,NULL,NULL,NULL
JuxZgQdKO7u,"upper floor",4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Ju0iFsZ1mnv,"ground floor",NULL,NULL,NULL,2024,NULL,NULL,NULL,NULL,NULL
JuN4KXjUyk-,"raised ground floor",1,3,NULL,2024,A,NULL,NULL,NULL,NULL
JuWV1dgtiBd,"ground floor",1,2,yes,2025,"not available",NULL,NULL,NULL,NULL
Judmv08qh2A,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
JugXYWqkt4N,"upper floor",5,9,NULL,2025,D,NULL,NULL,NULL,NULL
JuqvNgpYqrd,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Ju_Lr-2Vc09,"raised ground floor",NULL,NULL,NULL,2025,"not available",NULL,NULL,NULL,NULL
JubDtFpPZPz,"ground floor",1,2,NULL,2025,"not available",NULL,NULL,NULL,NULL
Ju46Wlvz4BP,"raised ground floor",1,4,NULL,2023,B,NULL,yes,NULL,yes
Jus8fVVapj9,"upper floor",2,7,yes,NULL,A,NULL,yes,yes,NULL
JurldwLKNhM,"ground floor",1,3,NULL,1960,"not available",NULL,NULL,NULL,NULL
JulollxgJp5,"upper floor",2,7,yes,2024,A,NULL,NULL,yes,NULL
JupBjnV0coU,"raised ground floor",NULL,NULL,NULL,1985,"not available",NULL,NULL,NULL,NULL
JuqAM-ZO9ir,NULL,NULL,NULL,NULL,NULL,A,NULL,NULL,NULL,NULL
Ju5VjRRX_4J,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Juarr5O2upK,"ground floor",1,5,yes,2025,A,yes,NULL,yes,NULL
JuXRtZdfweI,"upper floor",3,8,yes,1981,B,NULL,NULL,yes,yes
JuNZupA7Ru4,"ground floor",1,3,NULL,2025,B,NULL,NULL,NULL,NULL
JuA8-pf41pn,"upper floor",2,NULL,NULL,2025,"not available",NULL,NULL,NULL,yes
JumbMyGo4iI,"ground floor",1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL
JuaCjfZIx81,"upper floor",3,8,NULL,2025,A,NULL,NULL,NULL,NULL
JuUnD0myJmK,"upper floor",2,NULL,yes,NULL,"not available",NULL,NULL,NULL,NULL
JuIP59md355,"upper floor",7,8,NULL,2025,A,NULL,NULL,NULL,NULL
JuIh9K2txJ3,NULL,NULL,NULL,NULL,NULL,A,NULL,NULL,NULL,NULL
Jub5nNi4yTF,"upper floor",6,7,NULL,1975,B,NULL,NULL,NULL,NULL
Juqj8-BDIgQ,"ground floor",1,5,yes,2024,A,NULL,NULL,NULL,NULL
JuQfQh_4sSF,"upper floor",4,NULL,NULL,2025,"not available",NULL,NULL,NULL,NULL
JujYXXx5gXi,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
JuxBkaifl6df,"ground floor",1,2,NULL,2025,A,NULL,NULL,yes,NULL
JugTLMsHTVi,"upper floor",NULL,NULL,NULL,1970,NULL,NULL,NULL,NULL,NULL
