offer_id,position,floor,total_floors,elevator,built_in,energy_certificate,north,south,east,west
JuJITXm9Zsf,"upper floor",2,3,NULL,1981,"not available",yes,NULL,NULL,NULL
JueaFakyLvY,"upper floor",3,7,yes,2022,A,NULL,NULL,NULL,NULL
Ju1F-eiNHx4,"top floor",4,4,NULL,1970,"not available",yes,yes,yes,yes
JuL3MT7o1WL,"upper floor",2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Ju_qGSnLBzz,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
JuhigkHR5x2,"top floor",2,2,yes,2022,A,NULL,NULL,NULL,NULL
Ju5eub1EsyB,"upper floor",6,25,yes,2010,"not available",NULL,NULL,NULL,NULL
JuDetN4gLGy,"ground floor",1,2,NULL,2019,B,NULL,NULL,NULL,NULL
JuxJN0jj6xv,"ground floor",1,2,NULL,2025,A,NULL,NULL,yes,NULL
JuQY1ZnmE4m,"upper floor",2,2,NULL,2021,A,NULL,NULL,yes,NULL
Ju9zHP-4dng,"ground floor",1,6,yes,1900,"not available",NULL,NULL,NULL,NULL
JuTy8iCXD6j,"ground floor",1,2,NULL,1900,A,yes,NULL,NULL,yes
JuMhyPasgwl,"upper floor",NULL,NULL,NULL,1958,NULL,NULL,NULL,NULL,NULL
JuPet_Ep-JW,"ground floor",NULL,NULL,NULL,1980,"not available",NULL,NULL,NULL,NULL
JuGJ3bcseaG,"ground floor",1,6,NULL,1975,"not available",NULL,NULL,yes,NULL
JuI3iwt9MRR,"upper floor",2,4,NULL,2020,"in preparation",NULL,NULL,yes,NULL
JumSU3uP1r7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
JuCyeszuCeF,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
JuDZ3hA20uQ,NULL,NULL,NULL,NULL,2024,"not available",NULL,NULL,NULL,NULL
Ju1Cm4LoVXM,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
JuOOVFGvzwX,"upper floor",2,4,NULL,2024,"not available",NULL,yes,NULL,yes
JuuuYAHYGX8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
